Vertices,Edges,StartTime,EndTime
2,2,18094831,18094831
2,2,18094831,18094832
2,3,18094832,18094832
2,2,18094832,18094832
2,3,18094832,18094832
12,31,18094833,18094833
12,34,18094834,18094834
12,23,18094835,18094836
12,35,18094837,18094837
12,34,18094838,18094839
22,84,18094842,18094845
22,80,18094848,18094850
22,92,18094853,18094856
22,90,18094859,18094862
22,83,18094864,18094867
32,137,18094871,18094873
32,171,18094877,18094886
32,162,18094888,18094893
32,186,18094895,18094898
32,164,18094900,18094903
42,269,18094907,18094916
42,270,18094919,18094923
42,275,18094933,18094939
42,249,18094943,18094948
42,257,18094950,18094952
52,401,18094957,18094962
52,410,18094967,18094976
52,366,18094982,18095000
52,430,18095006,18095021
52,394,18095030,18095044
62,545,18095051,18095072
62,563,18095080,18095097
62,569,18095104,18095119
62,529,18095131,18095158
62,557,18095165,18095181
72,758,18095191,18095218
72,720,18095227,18095245
72,763,18095260,18095291
72,659,18095302,18095312
72,731,18095322,18095342
82,929,18095360,18095383
82,963,18095395,18095415
82,941,18095431,18095452
82,951,18095464,18095481
82,945,18095496,18095543
92,1198,18095557,18095594
92,1185,18095613,18095672
92,1202,18095688,18095730
92,1176,18095749,18095783
92,1098,18095799,18095869
102,1414,18095900,18096003
102,1420,18096030,18096077
102,1431,18096096,18096154
102,1483,18096179,18096234
102,1411,18096258,18096312
112,1715,18096339,18096427
112,1706,18096455,18096531
112,1809,18096558,18096629
112,1680,18096656,18096777
112,1748,18096802,18096886
122,2058,18096917,18096994
122,2140,18097024,18097133
122,1996,18097164,18097337
122,2053,18097367,18097486
122,1970,18097615,18097668
132,2346,18097703,18097785
132,2449,18097817,18097972
132,2416,18098005,18098157
132,2326,18098208,18098355
132,2322,18098386,18098515
142,2778,18098569,18098679
142,2675,18098717,18098931
142,2731,18098968,18099074
142,2715,18099128,18099317
142,2622,18099354,18099485
152,3147,18099545,18099783
152,3165,18099826,18100072
152,3129,18100130,18100364
152,3227,18100406,18100696
152,3067,18100753,18100935
162,3587,18100984,18101161
162,3476,18101223,18101339
162,3595,18101400,18101658
162,3571,18101713,18101980
162,3592,18102042,18102295
172,3981,18102361,18102706
172,3996,18102772,18103122
172,3940,18103186,18103415
172,3850,18103480,18103712
172,3859,18103773,18104055
182,4459,18104122,18104463
182,4506,18104530,18104867
182,4389,18104933,18105323
182,4437,18105387,18105607
182,4475,18105672,18105899
192,5044,18105972,18106167
192,4943,18106240,18106603
192,4937,18106745,18107195
192,4820,18107262,18107691
192,4929,18107779,18107972
202,5603,18108066,18108486
202,5478,18108579,18109294
202,5306,18109386,18109752
202,5433,18109847,18110321
