Vertices,Edges,StartTime,EndTime
2,2,1369471,1369471
2,3,1369471,1369471
2,2,1369471,1369471
2,2,1369471,1369471
2,2,1369472,1369472
12,53,1369472,1369473
12,46,1369473,1369474
12,53,1369474,1369474
12,46,1369475,1369476
12,51,1369476,1369476
22,139,1369477,1369479
22,155,1369480,1369482
22,140,1369483,1369484
22,126,1369485,1369487
22,128,1369487,1369490
32,267,1369492,1369497
32,263,1369499,1369501
32,270,1369503,1369507
32,276,1369509,1369515
32,272,1369517,1369522
42,493,1369525,1369535
42,478,1369538,1369547
42,498,1369550,1369559
42,488,1369562,1369571
42,495,1369574,1369585
52,695,1369590,1369604
52,698,1369611,1369628
52,701,1369632,1369644
52,754,1369649,1369664
52,716,1369669,1369686
62,969,1369692,1369710
62,997,1369716,1369737
62,991,1369745,1369765
62,1041,1369772,1369795
62,978,1369803,1369824
72,1277,1369832,1369860
72,1353,1369870,1369900
72,1347,1369908,1369925
72,1387,1369936,1369966
72,1302,1369974,1370004
82,1775,1370015,1370060
82,1756,1370071,1370132
82,1749,1370144,1370202
82,1708,1370213,1370254
82,1760,1370266,1370310
92,2163,1370325,1370386
92,2167,1370429,1370467
92,2225,1370481,1370541
92,2168,1370555,1370616
92,2215,1370630,1370689
102,2763,1370706,1370788
102,2592,1370805,1370880
102,2715,1370897,1370967
102,2642,1370984,1371046
102,2712,1371063,1371134
112,3246,1371154,1371320
112,3215,1371342,1371492
112,3237,1371514,1371613
112,3287,1371636,1371745
112,3268,1371772,1371818
122,3687,1371842,1371967
122,3810,1371996,1372168
122,3804,1372199,1372352
122,3656,1372374,1372487
122,3954,1372511,1372672
132,4373,1372706,1372811
132,4432,1372838,1373036
132,4446,1373071,1373225
132,4446,1373253,1373357
132,4457,1373385,1373530
142,5051,1373562,1373738
142,5146,1373776,1373900
142,5104,1373931,1374131
142,5175,1374168,1374371
142,5223,1374404,1374598
152,5830,1374638,1374910
152,5873,1374950,1375169
152,5826,1375213,1375403
152,5991,1375440,1375630
152,5872,1375665,1375851
162,6773,1375896,1376169
162,6771,1376213,1376461
162,6734,1376504,1376833
162,6529,1376875,1377121
162,6584,1377164,1377381
172,7540,1377433,1377633
172,7390,1377707,1378045
172,7441,1378090,1378327
172,7620,1378379,1378726
172,7404,1378779,1379067
182,8308,1379119,1379512
182,8528,1379564,1379870
182,8380,1379928,1380383
182,8360,1380439,1380611
182,8432,1380673,1380987
192,9200,1381053,1381419
192,9333,1381484,1382018
192,9353,1382106,1382488
192,9287,1382566,1383055
192,9503,1383121,1383805
202,10337,1383875,1384313
202,10366,1384385,1384810
202,10348,1384883,1385390
202,10360,1385464,1385955
202,10501,1386053,1386567
212,11194,1386646,1387146
212,11310,1387222,1387708
212,11370,1387810,1388101
212,11320,1388179,1388802
212,11330,1388881,1389379
222,12271,1389472,1389997
222,12664,1390082,1390737
222,12578,1390823,1391493
222,12323,1391574,1392150
222,12399,1392234,1392927
232,13694,1393046,1393751
232,13673,1393841,1394819
232,13656,1394909,1395662
232,13556,1395751,1396348
232,13579,1396440,1397019
242,14854,1397146,1398115
242,14975,1398213,1398910
242,14830,1399005,1399849
242,14667,1399946,1400712
242,14914,1400813,1401975
252,16107,1402106,1402911
252,16113,1403022,1403971
252,16053,1404078,1405236
252,16085,1405346,1406325
252,16003,1406440,1407567
262,17583,1407709,1409142
262,17375,1409256,1409916
262,17276,1410028,1411040
262,17322,1411159,1412270
262,17080,1412423,1413672
272,18555,1413809,1414772
272,18556,1414913,1415535
272,18738,1415661,1416324
272,18819,1416477,1417579
272,18735,1417708,1419067
282,20141,1419199,1419905
282,20142,1420041,1420763
282,20114,1420928,1422743
282,20120,1422878,1424771
282,20261,1424912,1425720
292,21613,1425905,1426826
292,21706,1426971,1427743
292,21655,1427888,1428813
292,21666,1428987,1430096
292,21634,1430240,1431217
302,22899,1431371,1432874
302,23159,1433057,1434785
302,22995,1434941,1436023
302,23024,1436211,1437544
302,22931,1437725,1439863
312,24615,1440025,1440987
312,24800,1441152,1442843
312,24680,1443044,1444976
312,24642,1445140,1446422
312,24488,1446584,1448333
322,26179,1448536,1450193
322,26240,1450364,1451942
322,26032,1452123,1453183
322,26113,1453386,1455467
322,26081,1455644,1457603
332,27979,1457827,1460107
332,27826,1460294,1461610
332,27878,1461827,1464351
332,27806,1464534,1466369
332,27634,1466631,1468716
342,29409,1468911,1471903
342,29457,1472133,1474212
342,29532,1474409,1476500
342,29759,1476726,1479274
342,29391,1479466,1481642
352,31231,1481884,1484186
352,31172,1484397,1485844
352,31376,1486116,1488448
352,31324,1488650,1491592
352,30978,1491831,1493191
362,33367,1493413,1495700
362,33199,1495956,1498054
