Vertices,Edges,StartTime,EndTime
2,2,78459,78459
2,3,78459,78459
2,2,78459,78460
2,3,78460,78460
2,2,78460,78460
12,46,78460,78460
12,33,78461,78461
12,40,78461,78462
12,44,78462,78463
12,45,78463,78463
22,117,78463,78464
22,134,78465,78465
22,147,78467,78467
22,132,78469,78469
22,141,78471,78471
32,289,78474,78475
32,275,78478,78479
32,298,78481,78482
32,272,78485,78486
32,276,78488,78489
42,472,78493,78495
42,476,78499,78502
42,499,78506,78508
42,477,78512,78514
42,467,78518,78520
52,747,78526,78529
52,700,78535,78538
52,728,78549,78552
52,693,78558,78561
52,715,78567,78570
62,1071,78578,78582
62,997,78589,78594
62,1018,78602,78606
62,969,78614,78618
62,1060,78631,78635
72,1376,78644,78648
72,1393,78656,78660
72,1377,78668,78672
72,1324,78679,78689
72,1348,78696,78700
82,1756,78710,78715
82,1736,78725,78730
82,1720,78745,78750
82,1752,78759,78765
82,1723,78774,78780
92,2161,78796,78802
92,2125,78814,78821
92,2183,78833,78845
92,2180,78860,78867
92,2134,78879,78886
102,2739,78905,78914
102,2667,78938,78952
102,2613,78981,78994
102,2627,79017,79027
102,2679,79050,79062
112,3265,79088,79107
112,3215,79125,79135
112,3157,79157,79166
112,3203,79184,79198
112,3271,79216,79230
122,3770,79250,79262
122,3775,79287,79299
122,3843,79324,79336
122,3890,79360,79371
122,3839,79395,79407
132,4482,79436,79456
132,4426,79484,79500
132,4439,79526,79546
132,4400,79573,79591
132,4474,79616,79636
142,5222,79665,79689
142,5144,79732,79760
142,5145,79833,79854
142,5133,79883,79908
142,5108,79945,79963
152,5979,80003,80034
152,5956,80073,80098
152,5915,80129,80156
152,5835,80188,80209
152,5911,80258,80279
162,6674,80321,80357
162,6771,80394,80417
162,6788,80468,80504
162,6524,80547,80569
162,6643,80605,80635
172,7626,80675,80707
172,7376,80749,80790
172,7781,80832,80872
172,7429,80918,80944
172,7651,80992,81019
182,8255,81073,81107
182,8469,81160,81205
182,8655,81264,81294
182,8461,81349,81381
182,8407,81432,81475
192,9368,81532,81567
192,9453,81627,81663
192,9316,81721,81790
192,9376,81842,81883
192,9401,81937,81992
202,10386,82063,82107
202,10430,82175,82218
202,10288,82285,82321
202,10410,82387,82430
202,10314,82493,82528
212,11306,82595,82640
212,11268,82709,82752
212,11490,82822,82865
212,11245,82931,82976
212,11346,83046,83090
222,12462,83170,83247
222,12525,83323,83367
222,12404,83446,83498
222,12316,83567,83617
222,12415,83691,83740
232,13501,83819,83871
232,13732,83952,84008
232,13630,84097,84147
232,13641,84227,84280
232,13762,84370,84453
242,14665,84541,84595
242,14943,84683,84755
242,14783,84840,84897
242,14835,84983,85039
242,14908,85124,85180
252,16159,85277,85338
252,16099,85430,85494
252,16049,85624,85680
252,16153,85782,85847
252,15862,85940,86001
262,17419,86101,86189
262,17393,86290,86365
262,17259,86466,86546
262,17481,86649,86754
262,17147,86856,86933
272,18467,87041,87122
272,18568,87235,87315
272,18726,87427,87510
272,18486,87618,87699
272,18732,87847,87920
282,20151,88041,88127
282,19939,88252,88346
282,20203,88471,88560
282,20131,88682,88801
282,20136,88919,89007
292,21514,89137,89227
292,21460,89355,89453
292,21424,89586,89711
292,21670,89837,89929
292,21740,90061,90157
302,23058,90295,90393
302,23185,90533,90665
302,22939,90816,90916
302,22899,91060,91155
302,23036,91292,91395
312,24601,91543,91681
312,24356,91836,91947
312,24680,92106,92231
312,24634,92380,92519
312,24452,92669,92774
322,26110,93029,93142
322,26040,93302,93445
322,26061,93608,93715
322,26045,93871,93987
322,26063,94151,94304
332,27674,94471,94593
332,28049,94765,94900
332,27884,95071,95221
332,27743,95388,95509
332,27819,95679,95832
342,29436,96010,96155
342,29440,96338,96472
342,29309,96653,96814
342,29673,96989,97120
342,29403,97303,97458
352,31314,97652,97790
352,31296,97990,98154
352,31393,98340,98542
352,31430,98738,98909
352,31246,99094,99231
362,32936,99433,99608
362,32951,99804,99960
362,33029,100161,100330
362,32988,100528,100671
362,33203,100873,101045
372,34893,101257,101415
372,34988,101646,101826
372,34832,102041,102246
372,34841,102461,102644
372,34810,102858,103006
382,36590,103234,103422
382,36717,103654,103851
382,36899,104076,104230
382,36756,104450,104629
382,36553,104846,105001
392,38888,105263,105422
392,38490,105657,105848
392,38570,106072,106237
392,38738,106498,106657
392,38590,106892,107084
402,40545,107321,107497
402,40756,107768,107942
402,40480,108185,108390
402,40738,108641,108850
402,40845,109096,109277
412,42705,109567,109751
412,43033,110050,110278
412,42454,110548,110770
412,42422,111037,111221
412,42718,111522,111699
422,44827,111971,112205
422,44999,112516,112750
422,44774,113028,113241
422,44714,113551,113759
422,44966,114036,114259
432,46696,114547,114778
432,46906,115072,115305
432,47336,115596,115830
432,47014,116144,116388
432,47098,116716,116959
442,49177,117271,117526
442,49133,117839,118082
442,49396,118396,118644
442,49189,118956,119199
442,49125,119521,119765
452,51504,120080,120323
452,51151,120630,120873
452,51223,121179,121428
452,51397,121733,121983
452,51241,122304,122549
462,53694,122885,123170
462,53785,123512,123787
462,53730,124125,124388
462,53674,124716,124990
462,53238,125324,125586
472,56056,125939,126231
472,56047,126571,126874
472,55944,127258,127534
472,56070,127915,128178
472,56071,128566,128863
482,58082,129231,129538
482,58324,129927,130196
482,58249,130602,130899
482,58650,131268,131576
482,58586,131974,132315
492,60989,132703,133071
492,60676,133450,133756
492,61032,134174,134443
492,61031,134842,135142
492,60844,135519,135816
502,63758,136246,136578
502,63511,136980,137332
502,63268,137718,138035
502,63540,138450,138763
502,63236,139156,139502
