Vertices,Edges,StartTime,EndTime
2,2,611,611
2,3,611,611
2,1,611,611
2,1,611,611
2,1,611,611
12,45,612,612
12,48,612,612
12,39,613,613
12,48,613,613
12,41,613,613
22,135,614,615
22,148,616,616
22,143,617,618
22,142,619,620
22,135,621,621
32,274,623,624
32,277,625,626
32,282,628,629
32,271,631,633
32,291,635,636
42,477,638,640
42,472,643,645
42,477,648,650
42,500,653,655
42,468,658,660
52,688,664,667
52,723,672,674
52,664,678,682
52,698,686,689
52,705,694,699
62,1024,705,710
62,1020,725,733
62,971,739,743
62,1039,750,755
62,987,762,770
72,1316,778,784
72,1366,793,798
72,1371,806,811
72,1340,819,825
72,1343,834,841
82,1754,857,863
82,1771,875,881
82,1751,893,901
82,1741,912,921
82,1752,933,940
92,2187,959,971
92,2091,985,996
92,2201,1010,1026
92,2156,1040,1059
92,2166,1073,1081
102,2680,1104,1117
102,2613,1136,1157
102,2638,1178,1194
102,2727,1211,1241
102,2688,1264,1277
112,3149,1297,1313
112,3157,1333,1349
112,3201,1376,1390
112,3192,1411,1426
112,3295,1446,1488
122,3810,1517,1545
122,3858,1569,1593
122,3814,1618,1652
122,3876,1683,1707
122,3777,1732,1748
132,4479,1781,1824
132,4447,1853,1881
132,4399,1910,1968
132,4468,2006,2055
132,4405,2089,2123
142,5192,2163,2203
142,5248,2237,2271
142,5165,2310,2359
142,5065,2397,2440
142,5154,2480,2527
152,5956,2572,2632
152,5854,2677,2729
152,5772,2774,2831
152,5944,2870,2919
152,5845,2967,3003
162,6823,3055,3120
162,6677,3163,3214
162,6552,3265,3318
162,6764,3367,3427
162,6571,3470,3520
172,7427,3575,3623
172,7452,3679,3753
172,7474,3810,3906
172,7479,3961,4029
172,7537,4077,4159
182,8362,4219,4277
182,8378,4338,4415
182,8526,4475,4574
182,8369,4634,4727
182,8359,4787,4996
192,9283,5060,5159
192,9404,5225,5322
192,9411,5392,5469
192,9322,5537,5645
192,9279,5709,5827
202,10422,5903,6014
202,10325,6089,6186
202,10435,6273,6386
202,10275,6464,6569
202,10375,6642,6760
212,11257,6840,6944
212,11435,7030,7157
212,11386,7245,7357
212,11300,7441,7558
212,11267,7642,7728
222,12297,7815,8037
222,12669,8136,8373
222,12477,8462,8590
222,12429,8703,8871
222,12426,8958,9116
232,13606,9210,9389
232,13542,9493,9636
232,13601,9734,9863
232,13896,9957,10133
232,13759,10231,10379
242,14658,10478,10668
242,14851,10776,10959
242,14667,11061,11282
242,14683,11391,11546
242,14780,11656,11857
252,16125,11976,12191
252,16181,12306,12585
252,16195,12722,13000
252,16102,13117,13316
252,15942,13433,13589
262,17248,13710,13959
262,17390,14084,14361
262,17442,14486,14731
262,17222,14852,15174
262,17265,15298,15539
272,18731,15671,15902
272,18748,16057,16270
272,18780,16397,16651
272,18787,16786,17026
272,18622,17159,17416
282,20190,17560,17842
282,20021,17983,18236
282,20099,18382,18672
282,20179,18818,19106
282,19835,19246,19538
292,21531,19686,20034
292,21407,20182,20476
292,21862,20629,20967
292,21602,21118,21415
292,21569,21566,21879
302,23175,22045,22406
302,23048,22584,23037
302,22965,23238,23495
302,23115,23658,24035
302,23113,24201,24582
312,24759,24775,25213
312,24386,25407,25745
312,24681,25920,26268
312,24689,26442,26877
312,24621,27052,27500
322,26070,27686,28202
322,26219,28385,28963
322,26205,29151,29585
322,25992,29768,30122
322,26313,30310,30714
332,27997,30931,31352
332,27789,31544,31978
332,27700,32175,32593
332,27747,32788,33240
332,27652,33438,33878
342,29661,34086,34732
342,29172,34939,35386
342,29241,35592,36090
342,29370,36314,36821
342,29362,37094,37650
352,31095,37871,38390
352,31398,38648,39180
352,31415,39402,40002
352,31156,40222,40878
352,31299,41099,41657
362,33382,41895,42486
362,33245,42725,43318
362,33073,43575,44214
362,32864,44459,45290
362,33292,45532,46132
372,34661,46405,46910
372,34840,47152,47876
372,34579,48139,48629
372,34555,48882,49528
372,35069,49776,50573
382,36558,50969,51555
382,36869,51828,52713
382,36951,53052,53687
382,36757,53995,54762
382,36648,55037,56094
392,38587,56377,57053
392,38782,57324,58051
392,38520,58327,59021
392,38686,59293,60117
392,38661,60411,61319
402,40567,61622,62451
402,40762,62739,63573
402,40540,63864,64536
402,40785,64821,65601
402,40612,65892,66733
412,42742,67038,67913
412,42897,68221,68941
412,42432,69271,69983
412,42623,70278,71107
412,42701,71411,72368
422,44848,72685,73542
422,45010,73863,74765
422,44967,75082,75969
422,44498,76313,77093
422,44510,77405,78339
432,46848,78674,79670
432,47405,80015,80942
432,46988,81284,82285
432,46990,82633,83540
432,46770,83898,84936
442,48868,85329,86331
442,49253,86676,87727
442,49031,88079,89087
442,49528,89477,90506
442,49022,90888,92074
452,51587,92547,93565
452,51138,94045,95351
452,51422,95765,96930
452,51243,97313,98597
452,51293,99045,100305
462,53573,100676,102007
462,53521,102412,103712
462,53669,104100,105134
462,53549,105524,106783
462,53697,107192,108503
472,56122,108899,110272
472,55836,110690,112133
472,56038,112572,113954
472,56008,114370,115808
472,56089,116246,117541
482,58441,117954,119465
482,58381,119897,121353
482,59107,121808,123203
482,58428,123662,125151
482,58705,125569,127038
492,61029,127481,128905
492,60740,129358,130635
492,61197,131139,132695
492,61377,133152,134686
492,60953,135129,136717
502,63492,137165,138854
502,63299,139337,140976
502,63737,141460,143028
502,63281,143490,145073
502,63821,145520,147116
512,65487,147614,149081
512,66101,149558,151196
512,66406,151734,153560
512,65845,154030,155535
512,65940,156042,157520
522,68612,158022,159687
522,68688,160192,161658
522,68842,162158,163904
522,68537,164440,166090
522,68300,166576,168468
532,71371,169009,170716
532,70761,171224,172979
532,71560,173513,175402
532,71207,175912,177783
532,71000,178308,180034
542,73966,180568,182431
542,73784,182996,184989
542,73992,185509,187394
542,73974,187919,189958
542,74088,190493,192556
552,76779,193116,194925
552,76179,195477,197426
552,76359,197972,200267
552,76694,200859,203088
552,76497,203640,205967
562,79129,206552,208906
562,79014,209498,211246
562,78996,211814,213991
562,79595,214558,216559
562,79240,217196,219165
572,82586,219748,222193
572,82177,222774,224936
572,82042,225608,227740
572,82186,228362,230766
572,82039,231380,233913
582,85503,234570,237125
582,84936,237732,239900
582,84981,240512,242832
582,85258,243493,246121
582,85421,246737,249140
592,87777,249806,252441
592,88103,253115,255686
592,87972,256314,258792
592,87865,259421,261549
592,87988,262206,264483
602,90795,265131,267570
602,90824,268228,270850
602,91016,271524,273956
602,90870,274679,277742
