Vertices,Edges,StartTime,EndTime
2,4,1025,1025
2,4,1025,1025
2,4,1025,1025
2,4,1025,1025
2,4,1025,1025
12,144,1025,1026
12,144,1027,1027
12,144,1028,1029
12,144,1029,1030
12,144,1030,1031
22,484,1032,1037
22,484,1038,1044
22,484,1046,1056
22,484,1057,1063
22,484,1064,1069
32,1024,1071,1094
32,1024,1096,1120
32,1024,1122,1144
32,1024,1146,1170
32,1024,1171,1192
42,1764,1195,1246
42,1764,1249,1308
42,1764,1311,1372
42,1764,1375,1431
42,1764,1434,1488
52,2704,1493,1590
52,2704,1595,1712
52,2704,1726,1842
52,2704,1846,1967
52,2704,1972,2095
62,3844,2102,2354
62,3844,2360,2569
62,3844,2575,2799
62,3844,2806,3056
62,3844,3062,3321
72,5184,3330,3767
72,5184,3776,4236
72,5184,4245,4647
72,5184,4656,5160
72,5184,5177,5648
82,6724,5659,6324
82,6724,6335,7029
82,6724,7040,7735
82,6724,7746,8370
82,6724,8382,9062
92,8464,9077,10099
92,8464,10121,11110
92,8464,11125,12144
92,8464,12157,13162
92,8464,13176,14193
102,10404,14211,15918
102,10404,15943,17669
102,10404,17687,19381
102,10404,19399,20944
102,10404,20962,22736
112,12544,22758,25140
112,12544,25161,27477
112,12544,27499,29864
112,12544,29885,32199
112,12544,32227,34697
122,14884,34722,38268
122,14884,38294,41739
122,14884,41771,45374
122,14884,45400,48608
122,14884,48640,51707
132,17424,51737,56191
132,17424,56226,60883
132,17424,60917,65359
132,17424,65394,70233
132,17424,70267,74750
142,20164,74790,81837
142,20164,81876,87797
142,20164,87861,93962
142,20164,93996,100346
142,20164,100380,106676
152,23104,106723,113750
152,23104,113790,122242
152,23104,122323,129377
152,23104,129424,136686
152,23104,136731,145690
162,26244,145740,157143
162,26244,157194,168594
162,26244,168646,179089
162,26244,179140,190242
162,26244,190322,200445
172,29584,200497,211934
172,29584,211996,224164
172,29584,224225,236915
172,29584,237003,249540
172,29584,249598,263996
182,33124,264064,280290
182,33124,280356,296972
182,33124,297071,314312
182,33124,314369,331775
182,33124,331844,349066
192,36864,349138,371661
192,36864,371759,394530
192,36864,394609,416289
192,36864,416422,440365
192,36864,440428,462735
202,40804,462818,487581
202,40804,487670,514309
202,40804,514394,540671
202,40804,540787,565305
202,40804,565376,592594
212,44944,592693,625131
212,44944,625218,656962
212,44944,657056,688161
212,44944,688284,719714
212,44944,719808,751420
222,49284,751568,787592
222,49284,787719,825378
222,49284,825518,862789
222,49284,862885,908216
222,49284,908364,945137
232,53824,945243,991091
232,53824,991239,1034657
232,53824,1034761,1075254
232,53824,1075367,1118455
232,53824,1118601,1159522
242,58564,1159633,1208731
242,58564,1208847,1263409
242,58564,1263591,1317356
242,58564,1317467,1367782
242,58564,1367900,1425597
252,63504,1425764,1491658
252,63504,1491778,1548106
252,63504,1548233,1624203
252,63504,1624366,1691821
252,63504,1691942,1758752
262,68644,1758919,1831747
262,68644,1831923,1912355
262,68644,1912487,1983821
262,68644,1983964,2058866
262,68644,2059043,2139123
272,73984,2139278,2221433
272,73984,2221625,2307987
272,73984,2308136,2385189
272,73984,2385378,2464847
272,73984,2464996,2551788
282,79524,2551989,2656060
282,79524,2656221,2754964
282,79524,2755204,2849119
282,79524,2849277,2947151
282,79524,2947354,3040204
292,85264,3040371,3147911
292,85264,3148126,3258012
292,85264,3258181,3366372
292,85264,3366585,3487776
292,85264,3487944,3596714
302,91204,3596940,3730965
302,91204,3731144,3863353
302,91204,3863577,4007958
302,91204,4008145,4140224
302,91204,4140473,4275131
312,97344,4275346,4424880
312,97344,4425124,4571329
312,97344,4571593,4733197
312,97344,4733396,4896796
312,97344,4897025,5059064
322,103684,5059327,5236431
