Vertices,Edges,StartTime,EndTime
2,4,2112505,2112505
2,4,2112505,2112505
2,4,2112506,2112506
2,4,2112506,2112506
2,4,2112507,2112507
12,144,2112507,2112508
12,144,2112509,2112509
12,144,2112510,2112511
12,144,2112511,2112512
12,144,2112512,2112512
22,484,2112513,2112518
22,484,2112519,2112524
22,484,2112525,2112531
22,484,2112534,2112537
22,484,2112538,2112542
32,1024,2112545,2112552
32,1024,2112554,2112561
32,1024,2112563,2112578
32,1024,2112580,2112594
32,1024,2112596,2112612
42,1764,2112616,2112644
42,1764,2112648,2112676
42,1764,2112680,2112715
42,1764,2112719,2112746
42,1764,2112750,2112780
52,2704,2112786,2112845
52,2704,2112851,2112913
52,2704,2112919,2112986
52,2704,2112991,2113051
52,2704,2113060,2113124
62,3844,2113134,2113240
62,3844,2113248,2113348
62,3844,2113356,2113469
62,3844,2113476,2113594
62,3844,2113603,2113707
72,5184,2113720,2113865
72,5184,2113904,2114079
72,5184,2114090,2114220
72,5184,2114231,2114372
72,5184,2114384,2114562
82,6724,2114577,2114726
82,6724,2114747,2114966
82,6724,2114980,2115202
82,6724,2115218,2115408
82,6724,2115423,2115657
92,8464,2115674,2115949
92,8464,2115967,2116234
92,8464,2116257,2116599
92,8464,2116617,2116930
92,8464,2116947,2117314
102,10404,2117336,2117846
102,10404,2117874,2118208
102,10404,2118230,2118638
102,10404,2118659,2118989
102,10404,2119010,2119430
112,12544,2119456,2119971
112,12544,2119997,2120425
112,12544,2120456,2121051
112,12544,2121080,2121609
112,12544,2121639,2122228
122,14884,2122262,2122680
122,14884,2122715,2123574
122,14884,2123608,2124431
122,14884,2124464,2125257
122,14884,2125290,2126111
132,17424,2126149,2127238
132,17424,2127287,2128289
132,17424,2128353,2129559
132,17424,2129608,2130698
132,17424,2130743,2131763
142,20164,2131810,2133212
142,20164,2133253,2134505
142,20164,2134552,2135758
142,20164,2135802,2137002
142,20164,2137047,2138151
152,23104,2138200,2139738
152,23104,2139789,2141277
152,23104,2141357,2142734
152,23104,2142786,2144386
152,23104,2144433,2145444
162,26244,2145501,2147509
162,26244,2147566,2149447
162,26244,2149503,2151385
162,26244,2151443,2153214
162,26244,2153300,2154949
172,29584,2155009,2157311
172,29584,2157374,2159099
172,29584,2159161,2161530
172,29584,2161594,2163742
172,29584,2163806,2166275
182,33124,2166376,2169053
182,33124,2169123,2171184
182,33124,2171257,2173818
182,33124,2173890,2176175
182,33124,2176248,2178792
192,36864,2178898,2181949
192,36864,2182027,2184940
192,36864,2185021,2188192
192,36864,2188277,2191351
192,36864,2191434,2194254
202,40804,2194345,2197089
202,40804,2197176,2200381
202,40804,2200472,2204027
202,40804,2204145,2206962
202,40804,2207048,2210501
212,44944,2210603,2214147
212,44944,2214299,2218546
212,44944,2218663,2222128
212,44944,2222226,2226524
212,44944,2226654,2231231
222,49284,2231340,2234926
222,49284,2235034,2239549
222,49284,2239703,2244012
222,49284,2244117,2247962
222,49284,2248074,2252858
232,53824,2253005,2258467
232,53824,2258586,2264099
232,53824,2264217,2268849
232,53824,2268995,2274815
232,53824,2274937,2280618
242,58564,2280748,2286631
242,58564,2286787,2293406
242,58564,2293531,2299739
242,58564,2299870,2306023
242,58564,2306180,2312573
252,63504,2312722,2319829
252,63504,2319993,2326013
252,63504,2326150,2333265
252,63504,2333405,2339093
252,63504,2339255,2346202
262,68644,2346353,2353980
262,68644,2354162,2360929
262,68644,2361080,2368711
262,68644,2368903,2377190
262,68644,2377345,2385332
272,73984,2385520,2394375
272,73984,2394536,2402988
272,73984,2403178,2411416
272,73984,2411575,2419636
272,73984,2419825,2428197
282,79524,2428372,2438092
282,79524,2438291,2448194
282,79524,2448368,2458491
282,79524,2458691,2468464
282,79524,2468641,2478451
292,85264,2478669,2489616
292,85264,2489806,2500129
292,85264,2500340,2511412
292,85264,2511598,2522391
292,85264,2522608,2530448
302,91204,2530690,2543867
302,91204,2544092,2554913
302,91204,2555117,2567916
302,91204,2568150,2580767
302,91204,2580970,2593595
312,97344,2593829,2607823
312,97344,2608045,2622847
312,97344,2623070,2634332
312,97344,2634575,2646645
312,97344,2646924,2661000
322,103684,2661261,2673753
322,103684,2674019,2688690
322,103684,2688953,2702642
322,103684,2702930,2715835
322,103684,2716097,2731981
332,110224,2732252,2748110
332,110224,2748391,2761589
332,110224,2761859,2778501
332,110224,2778779,2796139
332,110224,2796414,2811319
342,116964,2811610,2829991
342,116964,2830330,2847509
342,116964,2847798,2864732
342,116964,2865034,2882650
342,116964,2882946,2900482
352,123904,2900786,2919209
352,123904,2919519,2938044
352,123904,2938351,2958751
352,123904,2959054,2977779
352,123904,2978098,2995159
362,131044,2995480,3015929
362,131044,3016244,3033893
362,131044,3034249,3055711
362,131044,3056030,3076235
362,131044,3076557,3096664
372,138384,3096993,3118711
372,138384,3119043,3141037
372,138384,3141370,3163053
372,138384,3163397,3184405
372,138384,3184755,3207952
382,145924,3208313,3233193
382,145924,3233542,3256659
382,145924,3257015,3279250
382,145924,3279605,3297875
382,145924,3298225,3317942
392,153664,3318321,3343525
392,153664,3343895,3369666
392,153664,3370030,3395044
392,153664,3395409,3419275
392,153664,3419640,3443156
402,161604,3443538,3468852
402,161604,3469233,3496712
402,161604,3497109,3523833
402,161604,3524213,3551958
402,161604,3552337,3577701
412,169744,3578154,3606558
412,169744,3606985,3631811
412,169744,3632212,3660494
412,169744,3660921,3688036
412,169744,3688430,3711687
422,178084,3712128,3741021
422,178084,3741463,3772962
422,178084,3773426,3802806
422,178084,3803249,3834674
422,178084,3835113,3865305
432,186624,3865839,3897306
432,186624,3897818,3933701
432,186624,3934211,3967344
432,186624,3967863,4001851
432,186624,4002367,4036898
442,195364,4037429,4072397
442,195364,4072942,4110062
442,195364,4110604,4142584
442,195364,4143105,4178837
442,195364,4179357,4208334
452,204304,4208872,4246699
452,204304,4247240,4286553
452,204304,4287096,4326700
452,204304,4327265,4366506
452,204304,4367047,4404463
462,213444,4405092,4447330
462,213444,4447896,4483622
462,213444,4484182,4527121
462,213444,4527768,4568961
462,213444,4569530,4611681
472,222784,4612254,4654979
472,222784,4655557,4697884
472,222784,4698461,4737820
472,222784,4738392,4782795
472,222784,4783377,4827206
482,232324,4827808,4873002
