Vertices,Edges,StartTime,EndTime
2,4,653250,653250
2,4,653250,653250
2,4,653250,653250
2,4,653251,653251
2,4,653251,653251
12,144,653252,653252
12,144,653254,653255
12,144,653256,653256
12,144,653257,653257
12,144,653258,653259
22,484,653260,653261
22,484,653262,653263
22,484,653266,653267
22,484,653269,653271
22,484,653273,653275
32,1024,653280,653285
32,1024,653289,653295
32,1024,653299,653304
32,1024,653306,653308
32,1024,653311,653313
42,1764,653318,653323
42,1764,653327,653331
42,1764,653335,653340
42,1764,653345,653384
42,1764,653391,653400
52,2704,653410,653423
52,2704,653430,653436
52,2704,653442,653448
52,2704,653453,653460
52,2704,653466,653473
62,3844,653481,653491
62,3844,653505,653515
62,3844,653522,653532
62,3844,653539,653549
62,3844,653556,653569
72,5184,653579,653602
72,5184,653612,653627
72,5184,653638,653653
72,5184,653663,653678
72,5184,653694,653710
82,6724,653722,653742
82,6724,653757,653786
82,6724,653798,653818
82,6724,653830,653850
82,6724,653871,653891
92,8464,653907,653931
92,8464,653954,653978
92,8464,653994,654019
92,8464,654043,654068
92,8464,654084,654114
102,10404,654134,654164
102,10404,654190,654220
102,10404,654239,654275
102,10404,654294,654329
102,10404,654349,654384
112,12544,654408,654449
112,12544,654473,654513
112,12544,654540,654581
112,12544,654615,654657
112,12544,654681,654723
122,14884,654752,654802
122,14884,654869,654912
122,14884,654947,654989
122,14884,655017,655075
122,14884,655103,655153
132,17424,655186,655254
132,17424,655293,655398
132,17424,655431,655517
132,17424,655560,655665
132,17424,655712,655782
142,20164,655825,655930
142,20164,655974,656047
142,20164,656085,656161
142,20164,656204,656279
142,20164,656323,656402
152,23104,656464,656550
152,23104,656629,656707
152,23104,656756,656842
152,23104,656891,656974
152,23104,657020,657109
162,26244,657163,657263
162,26244,657319,657448
162,26244,657503,657599
162,26244,657652,657754
162,26244,657810,657915
172,29584,658011,658133
172,29584,658202,658321
172,29584,658389,658504
172,29584,658580,658729
172,29584,658784,658898
182,33124,658965,659094
182,33124,659169,659330
182,33124,659404,659554
182,33124,659624,659751
182,33124,659853,659975
192,36864,660055,660205
192,36864,660283,660466
192,36864,660545,660708
192,36864,660811,661003
192,36864,661089,661228
202,40804,661326,661532
202,40804,661616,661796
202,40804,661888,662081
202,40804,662169,662334
202,40804,662477,662637
212,44944,662733,662943
212,44944,663043,663256
212,44944,663361,663570
212,44944,663674,663896
212,44944,663987,664163
222,49284,664318,664498
222,49284,664607,664832
222,49284,664945,665171
222,49284,665269,665502
222,49284,665606,665831
232,53824,665969,666242
232,53824,666355,666624
232,53824,666754,667002
232,53824,667125,667368
232,53824,667496,667751
242,58564,667878,668160
242,58564,668305,668579
242,58564,668768,669001
242,58564,669157,669380
242,58564,669507,669771
252,63504,669906,670230
252,63504,670392,670666
252,63504,670795,671084
252,63504,671220,671496
252,63504,671633,671906
262,68644,672086,672419
262,68644,672563,672934
262,68644,673185,673584
262,68644,673751,674167
262,68644,674330,674720
272,73984,674875,675295
272,73984,675452,675894
272,73984,676063,676528
272,73984,676695,677230
272,73984,677417,677864
282,79524,678048,678484
282,79524,678696,679166
282,79524,679372,679829
282,79524,679998,680480
282,79524,680693,681134
292,85264,681357,681850
292,85264,682038,682537
292,85264,682799,683333
292,85264,683531,684034
292,85264,684251,684697
302,91204,684908,685449
302,91204,685660,686189
302,91204,686385,686906
302,91204,687103,687626
302,91204,687823,688378
312,97344,688585,689156
312,97344,689392,689964
312,97344,690170,690688
312,97344,690893,691409
312,97344,691615,692180
322,103684,692407,692978
322,103684,693234,693735
322,103684,694006,694541
322,103684,694815,695390
322,103684,695675,696250
332,110224,696580,697220
332,110224,697523,698185
332,110224,698434,699075
332,110224,699322,700036
332,110224,700295,700966
342,116964,701236,701979
342,116964,702294,702969
342,116964,703233,703916
342,116964,704216,704902
342,116964,705167,705824
352,123904,706127,706815
352,123904,707152,707931
352,123904,708256,708983
352,123904,709293,710102
352,123904,710426,711252
362,131044,711626,712571
362,131044,712953,713944
362,131044,714269,715302
362,131044,715641,716600
362,131044,716990,718110
372,138384,718499,719544
372,138384,719905,720972
