Vertices,Edges,StartTime,EndTime
2,4,46946,46946
2,4,46946,46946
2,4,46946,46946
2,4,46946,46946
2,4,46946,46946
12,144,46946,46946
12,144,46946,46946
12,144,46947,46947
12,144,46948,46948
12,144,46952,46952
22,484,46954,46955
22,484,46956,46957
22,484,46958,46959
22,484,46961,46962
22,484,46963,46964
32,1024,46966,46969
32,1024,46972,46975
32,1024,46977,46980
32,1024,46983,46986
32,1024,46988,46992
42,1764,46995,47002
42,1764,47006,47012
42,1764,47020,47026
42,1764,47030,47037
42,1764,47041,47047
52,2704,47053,47064
52,2704,47071,47082
52,2704,47091,47102
52,2704,47109,47119
52,2704,47126,47136
62,3844,47145,47162
62,3844,47174,47190
62,3844,47199,47217
62,3844,47226,47243
62,3844,47255,47272
72,5184,47283,47309
72,5184,47323,47349
72,5184,47362,47387
72,5184,47401,47427
72,5184,47439,47471
82,6724,47499,47537
82,6724,47555,47593
82,6724,47609,47647
82,6724,47666,47704
82,6724,47722,47759
92,8464,47780,47832
92,8464,47854,47906
92,8464,47928,47982
92,8464,48003,48055
92,8464,48078,48131
102,10404,48156,48226
102,10404,48252,48323
102,10404,48350,48419
102,10404,48475,48543
102,10404,48568,48637
112,12544,48665,48755
112,12544,48793,48882
112,12544,48910,48999
112,12544,49036,49128
112,12544,49157,49245
122,14884,49280,49393
122,14884,49433,49549
122,14884,49584,49707
122,14884,49742,49858
122,14884,49899,50015
132,17424,50054,50201
132,17424,50247,50392
132,17424,50438,50584
132,17424,50626,50769
132,17424,50815,50960
142,20164,51010,51187
142,20164,51238,51416
142,20164,51467,51646
142,20164,51697,51875
142,20164,51925,52103
152,23104,52158,52378
152,23104,52435,52649
152,23104,52709,52932
152,23104,52991,53209
152,23104,53268,53488
162,26244,53555,53823
162,26244,53919,54187
162,26244,54249,54519
162,26244,54588,54857
162,26244,54927,55193
172,29584,55267,55576
172,29584,55656,55966
172,29584,56040,56348
172,29584,56421,56735
172,29584,56807,57116
182,33124,57198,57561
182,33124,57645,58008
182,33124,58091,58456
182,33124,58542,58907
182,33124,59016,59391
192,36864,59485,59923
192,36864,60018,60464
192,36864,60570,61013
192,36864,61108,61571
192,36864,61671,62148
202,40804,62260,62782
202,40804,62900,63434
202,40804,63542,64059
202,40804,64200,64714
202,40804,64820,65343
212,44944,65464,66061
212,44944,66183,66780
212,44944,66896,67493
212,44944,67616,68234
212,44944,68358,68964
222,49284,69118,69829
222,49284,69956,70631
222,49284,70767,71449
222,49284,71592,72275
222,49284,72411,73101
232,53824,73247,74048
232,53824,74201,74985
232,53824,75155,75970
232,53824,76110,76880
232,53824,77023,77779
242,58564,77928,78784
242,58564,78949,79840
242,58564,79999,80872
242,58564,81051,81948
242,58564,82116,83009
252,63504,83173,84159
252,63504,84329,85319
252,63504,85487,86540
252,63504,86744,87731
252,63504,87903,88867
262,68644,89043,90125
262,68644,90306,91378
262,68644,91560,92629
262,68644,92832,93898
262,68644,94083,95151
272,73984,95340,96538
272,73984,96764,97961
272,73984,98158,99358
272,73984,99553,100747
272,73984,100944,102149
282,79524,102374,103699
282,79524,103912,105238
282,79524,105450,106779
282,79524,107013,108336
282,79524,108550,109911
292,85264,110149,111715
292,85264,111980,113493
292,85264,113723,115292
292,85264,115532,117055
292,85264,117322,118832
302,91204,119073,120772
302,91204,121035,122834
302,91204,123109,124784
302,91204,125032,126734
302,91204,126988,128623
312,97344,128908,130867
312,97344,131183,133158
312,97344,133460,135282
312,97344,135545,137370
312,97344,137674,139497
322,103684,139771,141772
322,103684,142088,144104
322,103684,144388,146481
322,103684,146820,148879
322,103684,149159,151200
332,110224,151530,153802
332,110224,154118,156322
332,110224,156675,158911
332,110224,159246,161616
332,110224,161957,164301
342,116964,164640,167039
342,116964,167392,169775
342,116964,170101,172491
342,116964,172849,175262
342,116964,175585,177985
352,123904,178359,180958
352,123904,181307,183875
352,123904,184239,186809
352,123904,187151,189822
352,123904,190211,192858
362,131044,193217,196157
362,131044,196561,199490
362,131044,199861,202967
362,131044,203397,206400
362,131044,206772,209630
372,138384,210092,213212
372,138384,213605,216747
372,138384,217172,220441
372,138384,220872,224004
372,138384,224462,227590
382,145924,228041,231420
382,145924,231875,235287
382,145924,235734,239068
382,145924,239528,242904
382,145924,243365,246770
392,153664,247255,250934
392,153664,251403,255123
392,153664,255603,259378
392,153664,259850,263504
392,153664,263976,267709
402,161604,268195,272146
402,161604,272640,276559
402,161604,277051,280953
402,161604,281434,285319
402,161604,285840,289837
412,169744,290350,294691
412,169744,295207,299402
412,169744,299911,304109
412,169744,304634,308849
412,169744,309360,313630
422,178084,314200,318868
422,178084,319412,324034
422,178084,324572,329074
422,178084,329608,334093
422,178084,334651,339287
432,186624,339851,344844
432,186624,345403,350222
432,186624,350794,355610
432,186624,356172,360964
432,186624,361523,366324
442,195364,366908,372050
442,195364,372638,377850
442,195364,378434,383682
442,195364,384295,389597
442,195364,390227,395473
452,204304,396081,402067
452,204304,402684,408513
452,204304,409129,415120
452,204304,415762,421627
452,204304,422248,428081
462,213444,428722,434793
462,213444,435467,441602
462,213444,442232,448110
462,213444,448758,454688
462,213444,455330,461307
472,222784,462011,468450
472,222784,469131,475676
472,222784,476356,483019
472,222784,483812,490272
472,222784,490955,497591
482,232324,498283,505076
482,232324,505775,512589
482,232324,513282,520201
482,232324,520912,527560
482,232324,528243,534961
492,242064,535689,542786
492,242064,543510,550600
492,242064,551317,558475
492,242064,559191,566720
492,242064,567450,574656
502,252004,575409,583004
502,252004,583780,591656
502,252004,592424,600003
502,252004,600821,608650
502,252004,609488,617161
512,262144,618002,626109
512,262144,626947,634924
512,262144,635761,643758
512,262144,644609,652670
512,262144,653535,661651
522,272484,662520,671045
522,272484,671940,680429
522,272484,681333,689807
522,272484,690719,699307
522,272484,700205,708645
532,283024,709552,718736
532,283024,719678,728878
532,283024,729798,738840
532,283024,739760,748723
532,283024,749615,758386
542,293764,759360,768786
542,293764,769737,779242
542,293764,780200,789705
542,293764,790646,800270
542,293764,801260,810920
552,304704,811903,822224
552,304704,823282,833606
552,304704,834603,845086
552,304704,846092,856261
552,304704,857304,867931
562,315844,868983,879917
562,315844,880950,892009
562,315844,893044,903721
562,315844,904829,915857
562,315844,916920,927880
572,327184,928964,940125
572,327184,941193,952254
572,327184,953321,964408
572,327184,965480,976642
572,327184,977715,988746
582,338724,989871,1002393
582,338724,1003518,1016108
582,338724,1017236,1030485
582,338724,1031649,1044209
582,338724,1045436,1058474
592,350464,1059640,1072371
592,350464,1073559,1086027
592,350464,1087203,1099759
592,350464,1100922,1113408
592,350464,1114535,1126724
602,362404,1127952,1141174
602,362404,1142383,1155839
602,362404,1157182,1171187
602,362404,1172444,1185313
602,362404,1186524,1199927
612,374544,1201207,1214921
612,374544,1216189,1229714
612,374544,1230983,1244582
612,374544,1245871,1259437
612,374544,1260751,1274346
622,386884,1275660,1289821
622,386884,1291114,1305786
622,386884,1307100,1321377
622,386884,1322671,1337227
622,386884,1338616,1352859
632,399424,1354266,1369238
632,399424,1370607,1385854
632,399424,1387227,1402282
632,399424,1403684,1418756
632,399424,1420116,1435266
642,412164,1436678,1452366
642,412164,1453769,1469424
642,412164,1470839,1486481
642,412164,1487869,1503513
642,412164,1504946,1520665
652,425104,1522136,1538537
652,425104,1539980,1556391
652,425104,1557885,1574155
652,425104,1575589,1591933
652,425104,1593402,1609574
662,438244,1611089,1627921
662,438244,1629390,1646439
662,438244,1647952,1664722
662,438244,1666193,1683153
662,438244,1684650,1701470
672,451584,1702969,1720805
672,451584,1722352,1739942
672,451584,1741495,1759337
672,451584,1760896,1778405
672,451584,1779959,1798277
682,465124,1799908,1818652
682,465124,1820238,1838707
682,465124,1840313,1859146
682,465124,1860755,1879819
682,465124,1881456,1900201
692,478864,1901835,1921418
692,478864,1923055,1942791
692,478864,1944439,1963985
692,478864,1965616,1984659
692,478864,1986296,2005364
702,492804,2006997,2026780
