Vertices,Edges,StartTime,EndTime
1,0,3157192,3157192
1,0,3157192,3157192
1,0,3157192,3157192
1,0,3157192,3157192
1,0,3157192,3157192
11,11,3157192,3157192
11,10,3157193,3157193
11,10,3157193,3157193
11,10,3157193,3157193
11,12,3157193,3157193
21,29,3157194,3157194
21,27,3157200,3157200
21,25,3157200,3157200
21,28,3157200,3157200
21,24,3157200,3157200
31,36,3157202,3157202
31,39,3157203,3157203
31,34,3157204,3157204
31,43,3157205,3157205
31,35,3157206,3157206
41,60,3157208,3157208
41,53,3157210,3157210
41,53,3157212,3157212
41,55,3157214,3157214
41,62,3157216,3157216
51,78,3157219,3157219
51,78,3157222,3157222
51,79,3157225,3157225
51,71,3157227,3157227
51,82,3157232,3157232
61,99,3157236,3157236
61,92,3157240,3157240
61,83,3157244,3157244
61,114,3157249,3157249
61,101,3157254,3157254
71,121,3157259,3157260
71,120,3157267,3157268
71,111,3157273,3157273
71,114,3157279,3157279
71,123,3157284,3157284
81,146,3157291,3157291
81,151,3157301,3157301
81,149,3157308,3157309
81,151,3157316,3157316
81,123,3157323,3157323
91,161,3157334,3157334
91,177,3157343,3157344
91,167,3157352,3157353
91,167,3157364,3157364
91,162,3157373,3157373
101,203,3157384,3157384
101,208,3157398,3157398
101,203,3157409,3157409
101,211,3157423,3157423
101,204,3157434,3157434
111,226,3157447,3157447
111,257,3157463,3157463
111,214,3157476,3157477
111,239,3157493,3157493
111,238,3157506,3157506
121,265,3157524,3157524
121,281,3157540,3157540
121,271,3157559,3157559
121,264,3157577,3157577
121,252,3157593,3157593
131,296,3157615,3157615
131,281,3157634,3157634
131,304,3157656,3157656
131,287,3157679,3157679
131,291,3157698,3157698
141,320,3157723,3157723
141,353,3157748,3157748
141,327,3157772,3157773
141,319,3157796,3157796
141,331,3157817,3157818
151,390,3157844,3157844
151,378,3157871,3157871
151,371,3157898,3157899
151,382,3157926,3157927
151,395,3157953,3157953
161,418,3157984,3157984
161,434,3158014,3158014
161,450,3158044,3158045
161,419,3158075,3158075
161,425,3158105,3158105
171,440,3158137,3158137
171,476,3158170,3158170
171,464,3158205,3158206
171,464,3158239,3158239
171,458,3158273,3158273
181,528,3158310,3158310
181,495,3158349,3158349
181,506,3158387,3158387
181,498,3158424,3158424
181,533,3158463,3158464
191,521,3158505,3158505
191,577,3158550,3158550
191,511,3158598,3158599
191,544,3158643,3158644
191,535,3158687,3158687
201,594,3158732,3158733
201,591,3158782,3158782
201,590,3158830,3158831
201,621,3158880,3158880
201,587,3158929,3158929
211,685,3158984,3158984
211,635,3159039,3159040
211,649,3159093,3159094
211,646,3159148,3159148
211,622,3159202,3159202
221,703,3159259,3159260
221,712,3159318,3159318
221,711,3159376,3159376
221,716,3159436,3159437
221,689,3159496,3159497
231,739,3159562,3159562
231,786,3159625,3159625
231,759,3159690,3159690
231,759,3159752,3159752
231,753,3159817,3159818
241,810,3159888,3159888
241,817,3159958,3159959
241,804,3160030,3160030
241,830,3160103,3160104
241,783,3160175,3160175
251,835,3160249,3160250
251,875,3160325,3160325
251,858,3160401,3160402
251,870,3160479,3160479
251,845,3160555,3160556
261,916,3160638,3160638
261,947,3160719,3160720
261,942,3160798,3160798
261,931,3160877,3160877
261,943,3160956,3160957
271,956,3161042,3161043
271,1008,3161126,3161126
271,1027,3161212,3161213
271,1050,3161302,3161302
271,976,3161391,3161391
281,1089,3161484,3161484
281,1089,3161575,3161576
281,1125,3161666,3161667
281,1121,3161760,3161760
281,1066,3161853,3161853
291,1145,3161955,3161955
291,1086,3162055,3162055
291,1120,3162156,3162157
291,1139,3162260,3162260
291,1078,3162360,3162361
301,1194,3162466,3162467
301,1216,3162574,3162575
301,1213,3162680,3162680
301,1148,3162790,3162791
301,1199,3162897,3162898
311,1275,3163014,3163014
311,1271,3163129,3163130
311,1255,3163244,3163244
311,1320,3163360,3163360
311,1288,3163475,3163475
321,1372,3163598,3163599
321,1341,3163720,3163720
321,1348,3163845,3163846
321,1366,3163971,3163971
321,1357,3164093,3164094
331,1385,3164227,3164228
331,1407,3164357,3164358
331,1494,3164480,3164481
331,1395,3164606,3164606
331,1403,3164735,3164736
341,1516,3164876,3164877
341,1534,3165014,3165014
341,1516,3165150,3165150
341,1452,3165287,3165287
341,1510,3165421,3165422
351,1612,3165562,3165563
351,1656,3165702,3165703
351,1530,3165844,3165845
351,1546,3165986,3165987
351,1597,3166129,3166130
361,1665,3166278,3166278
361,1657,3166426,3166427
361,1683,3166574,3166574
361,1646,3166724,3166725
361,1643,3166873,3166873
371,1764,3167030,3167031
371,1748,3167189,3167190
371,1747,3167346,3167347
371,1706,3167504,3167505
371,1781,3167663,3167664
381,1784,3167830,3167831
381,1875,3167995,3167996
381,1762,3168162,3168163
381,1856,3168358,3168358
381,1813,3168520,3168521
391,1935,3168698,3168699
391,1875,3168874,3168874
391,1929,3169048,3169049
391,1874,3169224,3169225
391,1917,3169399,3169400
401,2011,3169584,3169584
401,1991,3169767,3169768
401,1976,3169951,3169952
401,2045,3170141,3170142
401,1975,3170326,3170326
411,2120,3170517,3170518
411,2135,3170714,3170715
411,2130,3170906,3170907
411,2199,3171101,3171102
411,2132,3171291,3171292
421,2186,3171496,3171497
421,2222,3171700,3171701
421,2135,3171901,3171902
421,2238,3172106,3172107
421,2198,3172310,3172311
431,2212,3172523,3172524
431,2296,3172734,3172735
431,2329,3172946,3172947
431,2299,3173158,3173159
431,2295,3173374,3173375
441,2403,3173595,3173596
441,2321,3173819,3173820
441,2367,3174036,3174037
441,2441,3174258,3174258
441,2478,3174476,3174477
451,2530,3174711,3174713
451,2532,3174942,3174943
451,2361,3175173,3175174
451,2516,3175406,3175406
451,2455,3175638,3175639
461,2530,3175880,3175881
461,2603,3176121,3176122
461,2571,3176367,3176368
461,2606,3176611,3176612
461,2496,3176854,3176855
471,2711,3177109,3177110
471,2702,3177362,3177363
471,2679,3177617,3177618
471,2715,3177869,3177870
471,2747,3178123,3178124
481,2793,3178391,3178392
481,2827,3178657,3178658
481,2750,3178923,3178924
481,2833,3179188,3179189
481,2871,3179451,3179452
491,2922,3179728,3179729
491,2947,3180002,3180003
491,2866,3180281,3180282
491,2835,3180554,3180555
491,2910,3180830,3180831
501,2930,3181115,3181116
501,2938,3181401,3181402
501,2982,3181687,3181688
501,3050,3181971,3181972
501,2915,3182257,3182258
511,3113,3182572,3182574
511,3149,3182874,3182875
511,3093,3183172,3183173
511,3107,3183469,3183470
511,3154,3183768,3183769
521,3229,3184077,3184079
521,3206,3184386,3184387
521,3230,3184698,3184699
521,3187,3185007,3185008
521,3172,3185315,3185316
531,3278,3185637,3185638
531,3354,3185960,3185961
531,3339,3186283,3186284
531,3327,3186610,3186612
531,3266,3186934,3186935
541,3525,3187266,3187267
541,3459,3187602,3187603
541,3454,3187936,3187938
541,3388,3188269,3188270
541,3397,3188603,3188604
551,3642,3188946,3188947
551,3627,3189292,3189294
551,3582,3189638,3189639
551,3572,3189986,3189988
551,3631,3190336,3190338
561,3671,3190695,3190696
561,3735,3191053,3191055
561,3675,3191410,3191412
561,3759,3191767,3191769
561,3689,3192122,3192124
571,3823,3192494,3192496
571,3822,3192866,3192867
571,3795,3193231,3193233
571,3760,3193620,3193621
571,3853,3194016,3194017
581,3858,3194411,3194412
581,3973,3194792,3194793
581,3876,3195175,3195177
581,3960,3195556,3195558
581,3906,3195941,3195942
591,3926,3196345,3196346
591,4099,3196794,3196796
591,4113,3197206,3197207
591,4073,3197610,3197612
591,4000,3198021,3198022
601,4211,3198438,3198440
601,4176,3198851,3198853
601,4189,3199274,3199275
601,4193,3199707,3199708
601,4263,3200130,3200132
611,4350,3200559,3200560
611,4353,3200983,3200985
611,4399,3201414,3201415
611,4413,3201836,3201837
611,4432,3202259,3202260
621,4315,3202694,3202696
621,4510,3203132,3203133
621,4462,3203567,3203568
621,4469,3204011,3204012
621,4455,3204444,3204446
631,4604,3204901,3204902
631,4554,3205345,3205347
631,4565,3205788,3205789
631,4562,3206238,3206239
631,4551,3206688,3206689
641,4646,3207153,3207155
641,4899,3207613,3207614
641,4866,3208075,3208077
641,4762,3208539,3208541
641,4613,3208998,3209000
651,4948,3209478,3209479
651,4822,3209958,3209959
651,4835,3210432,3210434
651,4908,3210912,3210913
651,4894,3211395,3211397
661,4994,3211883,3211884
661,5088,3212374,3212376
661,4989,3212866,3212868
661,5136,3213359,3213360
661,5047,3213847,3213849
671,5119,3214358,3214359
