Vertices,Edges,StartTime,EndTime
1,0,780,780
1,0,780,780
1,0,780,780
1,0,780,780
1,0,780,780
11,10,780,780
11,11,780,780
11,11,780,780
11,10,781,781
11,11,782,782
21,28,783,783
21,24,785,785
21,27,786,786
21,27,787,787
21,24,788,788
31,39,790,790
31,38,792,792
31,34,794,794
31,38,795,795
31,41,797,797
41,56,801,801
41,54,805,805
41,70,808,808
41,61,812,812
41,59,815,815
51,73,820,820
51,76,826,826
51,71,830,830
51,73,836,836
51,75,841,841
61,90,847,848
61,108,855,855
61,95,862,863
61,103,870,870
61,94,873,873
71,123,879,879
71,116,895,895
71,115,901,901
71,118,907,907
71,111,913,913
81,142,920,920
81,151,927,927
81,149,935,935
81,140,942,942
81,149,949,949
91,176,965,965
91,173,974,975
91,156,984,984
91,163,993,993
91,173,1003,1003
101,194,1015,1015
101,195,1026,1026
101,188,1048,1049
101,210,1060,1060
101,215,1072,1072
111,226,1086,1086
111,239,1100,1100
111,244,1123,1123
111,246,1137,1137
111,216,1151,1151
121,275,1167,1168
121,256,1199,1199
121,288,1231,1232
121,270,1248,1248
121,268,1264,1264
131,303,1283,1283
131,315,1309,1309
131,345,1329,1330
131,315,1349,1349
131,287,1376,1376
141,330,1397,1397
141,348,1419,1419
141,345,1449,1449
141,361,1470,1470
141,320,1492,1492
151,359,1527,1527
151,385,1554,1554
151,388,1579,1579
151,378,1612,1612
151,382,1637,1637
161,448,1705,1705
161,416,1760,1760
161,409,1791,1791
161,423,1829,1830
161,439,1859,1859
171,453,1900,1900
171,476,1954,1955
171,442,1996,1996
171,444,2030,2030
171,459,2073,2074
181,499,2110,2110
181,470,2200,2200
181,504,2236,2236
181,476,2281,2281
181,516,2324,2324
191,566,2364,2364
191,555,2411,2412
191,559,2453,2453
191,517,2500,2501
191,541,2550,2551
201,622,2596,2596
201,566,2651,2651
201,590,2705,2706
201,565,2756,2757
201,594,2815,2815
211,663,2878,2878
211,663,2927,2928
211,628,2984,2984
211,647,3044,3045
211,678,3107,3107
221,707,3177,3177
221,738,3231,3232
221,677,3295,3296
221,689,3357,3357
221,692,3420,3420
231,749,3563,3563
231,742,3623,3623
231,765,3686,3686
231,782,3802,3802
231,767,3902,3902
241,880,4030,4030
241,764,4159,4160
241,836,4249,4249
241,818,4373,4374
241,803,4536,4537
251,834,4612,4613
251,903,4692,4693
251,875,4769,4769
251,895,4847,4847
251,847,4925,4925
261,975,5007,5008
261,991,5090,5091
261,921,5174,5175
