Vertices,Edges,StartTime,EndTime
1,0,2093,2093
1,0,2093,2093
1,0,2093,2093
1,0,2093,2093
1,0,2093,2093
11,28,2093,2093
11,25,2093,2093
11,20,2093,2093
11,20,2094,2094
11,22,2094,2094
21,85,2095,2095
21,63,2096,2096
21,90,2096,2096
21,71,2097,2097
21,71,2098,2098
31,140,2100,2100
31,155,2102,2102
31,151,2103,2104
31,178,2105,2105
31,156,2106,2107
41,245,2109,2109
41,253,2112,2112
41,257,2114,2115
41,250,2117,2118
41,280,2120,2121
51,380,2124,2125
51,407,2128,2129
51,388,2133,2134
51,372,2143,2145
51,396,2148,2149
61,539,2153,2155
61,545,2160,2162
61,529,2167,2169
61,552,2173,2175
61,541,2180,2182
71,706,2188,2191
71,690,2198,2201
71,742,2207,2210
71,728,2217,2220
71,687,2226,2229
81,904,2237,2242
81,876,2256,2261
81,902,2268,2273
81,925,2281,2286
81,900,2294,2299
91,1146,2309,2316
91,1160,2325,2332
91,1163,2342,2349
91,1135,2358,2365
91,1089,2381,2387
101,1378,2399,2409
101,1395,2421,2430
101,1398,2442,2451
101,1420,2463,2472
101,1406,2490,2499
111,1744,2513,2525
111,1708,2540,2553
111,1701,2568,2580
111,1782,2595,2607
111,1727,2628,2640
121,2002,2657,2673
121,1979,2691,2707
121,1963,2723,2739
121,1967,2762,2778
121,1959,2795,2811
131,2302,2832,2852
131,2364,2878,2898
131,2345,2918,2938
131,2386,2959,2980
131,2363,3001,3022
141,2711,3051,3076
141,2683,3100,3126
141,2655,3156,3181
141,2803,3205,3231
141,2755,3255,3280
151,3079,3318,3355
151,3115,3386,3422
151,3148,3451,3485
151,3101,3520,3553
151,3059,3583,3618
161,3604,3655,3696
161,3494,3727,3767
161,3486,3805,3844
161,3492,3876,3914
161,3490,3953,3992
171,3942,4028,4076
171,3871,4118,4165
171,3872,4201,4248
171,3941,4292,4339
171,3929,4376,4429
181,4425,4481,4536
181,4366,4581,4636
181,4387,4685,4745
181,4432,4796,4850
181,4457,4893,4947
191,4878,5006,5075
191,4987,5125,5188
191,4809,5231,5297
191,4935,5347,5409
191,5012,5461,5527
201,5506,5576,5649
201,5385,5705,5781
201,5403,5834,5908
201,5569,5962,6038
201,5461,6087,6162
211,5990,6223,6311
211,5973,6370,6457
211,5972,6517,6604
211,6020,6664,6751
211,5978,6811,6902
221,6526,6967,7067
221,6472,7132,7231
221,6415,7289,7388
221,6382,7450,7549
221,6623,7613,7713
231,7119,7782,7896
231,7148,7970,8084
231,7222,8153,8266
231,7139,8336,8450
231,7119,8519,8633
241,7814,8706,8835
241,7844,8909,9039
241,7796,9113,9244
241,7723,9323,9450
241,7736,9524,9654
251,8447,9734,9880
251,8181,9960,10104
251,8380,10187,10333
251,8402,10411,10557
251,8509,10641,10785
261,9129,10870,11041
261,9143,11130,11293
261,9129,11383,11546
261,9084,11630,11794
261,9101,11883,12046
271,9858,12139,12321
271,9746,12417,12602
271,9644,12701,12885
271,9780,12978,13161
271,9797,13253,13435
281,10417,13538,13740
281,10593,13842,14046
281,10664,14147,14349
281,10411,14454,14663
281,10571,14764,14970
291,11331,15078,15308
291,11122,15419,15648
291,11304,15759,15992
291,11363,16104,16334
291,11124,16446,16676
301,12132,16797,17048
301,12002,17168,17419
301,12197,17592,17849
301,12158,17966,18223
301,12151,18345,18603
311,12970,18727,19013
311,12779,19142,19423
311,12894,19551,19836
311,12950,19964,20250
311,12876,20405,20691
321,13773,20822,21123
321,13749,21256,21559
321,13683,21692,22001
321,13580,22133,22442
321,13881,22576,22886
331,14592,23025,23364
331,14480,23503,23843
331,14643,23984,24322
331,14392,24468,24804
331,14281,24948,25289
341,15255,25441,25829
341,15531,25987,26376
341,15346,26529,26905
341,15322,27056,27439
341,15505,27597,27974
351,16165,28134,28545
351,16472,28714,29131
351,16322,29296,29704
351,16150,29863,30266
351,16152,30426,30823
361,17234,30995,31431
361,17180,31600,32040
361,17145,32208,32653
361,17511,32821,33265
361,17188,33460,33900
371,18091,34090,34569
371,18368,34747,35229
371,18279,35410,35877
371,18247,36053,36529
371,18277,36711,37204
381,19198,37390,37905
381,19204,38096,38617
381,19110,38808,39326
381,19459,39514,40030
381,19066,40219,40732
391,20163,40937,41501
391,20291,41705,42260
391,20118,42455,43011
391,20182,43210,43769
391,20263,43971,44527
401,21226,44738,45341
401,21316,45552,46163
401,21240,46375,46971
401,21333,47184,47789
401,21337,47998,48627
411,22517,48847,49505
411,22228,49727,50368
411,22098,50594,51246
411,22597,51464,52114
411,22259,52362,53033
421,23496,53264,53954
421,23336,54183,54875
421,23285,55105,55796
421,23466,56028,56719
421,23528,56952,57643
431,24474,57885,58629
431,24302,58873,59616
431,24662,59851,60601
431,24389,60836,61580
431,24872,61818,62566
441,25727,62822,63621
441,25482,63872,64664
441,25367,64916,65715
441,25642,65980,66785
441,25868,67035,67835
451,26736,68098,68950
451,26845,69213,70088
451,26679,70366,71248
451,26598,71519,72375
451,26862,72642,73503
461,27982,73799,74732
461,28288,75000,75912
461,28338,76183,77097
461,27946,77365,78267
461,27794,78551,79469
471,28984,79761,80736
471,29261,81018,81993
471,29176,82281,83249
471,29057,83531,84495
471,29281,84782,85753
481,30310,86055,87086
481,30266,87379,88405
481,30502,88704,89751
481,30634,90054,91102
481,30488,91405,92446
491,31479,92788,93885
491,31626,94195,95303
491,31620,95617,96722
491,31771,97028,98155
491,31798,98472,99586
501,32986,99915,101101
501,33253,101424,102591
501,32935,102908,104081
501,33398,104410,105590
501,33012,105916,107100
511,34446,107441,108695
511,34302,109033,110289
511,34275,110651,111903
511,34362,112239,113504
511,34551,113844,115094
521,35614,115442,116801
521,35873,117151,118480
521,36083,118837,120163
521,35635,120509,121842
521,36022,122214,123571
531,37104,123937,125412
531,37205,125777,127191
531,37212,127571,129043
531,37346,129439,130850
531,37153,131213,132695
541,38574,133069,134569
541,38605,134949,136444
541,38768,136851,138389
541,38578,138772,140286
541,38500,140675,142165
551,39916,142560,144200
551,39626,144613,146201
551,40417,146599,148168
551,40045,148595,150200
551,40126,150595,152207
561,41395,152637,154303
561,41445,154737,156481
561,41360,156900,158574
561,41455,158977,160637
561,41314,161042,162731
571,43149,163150,164890
571,42870,165307,167091
571,42707,167544,169292
571,42791,169714,171448
571,43014,171868,173638
581,44580,174075,175907
581,44365,176341,178183
581,44015,178624,180457
581,44445,180894,182747
581,44516,183214,185102
591,45703,185567,187543
591,45978,188007,189958
591,45729,190447,192420
591,46151,192885,194823
591,46152,195276,197205
601,47322,197676,199710
601,47644,200177,202217
601,47332,202713,204744
601,47553,205211,207244
601,47447,207710,209742
611,49426,210231,212368
611,48982,212846,214974
611,49095,215456,217585
611,49185,218069,220202
611,49050,220681,222811
621,50358,223335,225580
621,50563,226082,228327
621,50472,228824,231071
621,50607,231572,233813
621,50345,234312,236558
631,52326,237080,239431
631,52426,239943,242300
631,52308,242841,245203
631,52047,245716,248063
631,52080,248586,250941
641,53860,251470,253960
641,54103,254489,256993
641,53799,257528,260006
641,54191,260534,262999
641,54328,263540,266015
651,55733,266594,269187
651,55490,269733,272328
651,55333,272873,275461
651,55548,276014,278613
651,55883,279159,281758
661,57593,282333,285077
661,56993,285668,288384
661,57355,288951,291672
661,56964,292240,294959
661,57268,295525,298306
671,59074,298909,301753
671,58866,302336,305214
671,59155,305800,308641
671,58722,309226,312064
671,58828,312649,315489
681,61021,316122,319091
681,61013,319695,322663
681,61214,323267,326325
681,60720,326931,329909
681,60931,330501,333474
691,62574,334118,337222
691,62826,337836,340940
691,62477,341557,344669
691,62640,345288,348374
691,62775,348993,352085
701,64373,352745,355981
701,64665,356617,359850
701,64528,360477,363711
701,64729,364345,367567
701,64739,368200,371445
711,66547,372091,375455
711,66299,376133,379505
711,66445,380150,383502
711,66551,384156,387533
711,66252,388194,391590
721,68027,392290,395803
721,68131,396481,399942
721,68446,400604,404070
721,68126,404736,408259
721,68225,408944,412404
731,69570,413083,416688
731,70099,417377,421080
731,70449,421763,425400
731,70248,426091,429773
731,70476,430464,434109
741,72251,434839,438645
741,72229,439340,443116
741,72136,443836,447653
741,71579,448360,452183
741,71950,452914,456689
751,73805,457418,461390
751,73529,462105,466065
751,74044,466816,470751
751,73956,471474,475398
751,73723,476115,480122
761,75931,480869,484983
761,75502,485711,489843
761,75845,490596,494747
761,76148,495495,499663
761,75789,500401,504459
771,77871,505224,509464
771,77677,510251,514603
771,77657,515371,519656
771,78325,520426,524715
771,77639,525476,529772
781,79466,530574,535038
781,80059,535822,540283
781,80040,541068,545527
781,79698,546318,550790
781,80311,551607,556138
791,82062,556940,561585
791,81696,562393,567032
791,82158,567864,572526
791,82331,573339,577999
791,81848,578806,583444
801,83830,584288,589101
801,83988,589931,594741
801,84367,595578,600420
801,84228,601257,606090
801,84057,606951,611896
811,86429,612747,617760
811,86183,618612,623647
811,85891,624519,629525
811,86236,630374,635406
811,86357,636267,641268
821,88536,642160,647356
821,88685,648224,653440
821,88050,654307,659494
821,88383,660394,665582
821,88522,666457,671654
831,90608,672558,677950
831,90966,678864,684235
831,90214,685131,690505
831,90320,691396,696872
831,90457,697781,703218
841,92696,704122,709724
841,92766,710633,716244
841,93138,717191,722785
841,92850,723692,729290
841,92677,730213,735816
851,94530,736775,742549
851,94804,743480,749280
851,95058,750232,756053
851,94743,757017,762776
851,95174,763706,769487
861,97253,770458,776467
861,96418,777448,783446
861,97050,784410,790499
861,97014,791487,797494
861,97326,798452,804493
871,99622,805490,811699
871,99106,812678,818904
871,99348,819893,826104
871,99082,827099,833309
871,99219,834284,840510
881,102102,841529,847990
881,101887,849019,855467
881,101703,856476,862895
881,102028,863933,870353
881,101889,871361,877764
891,103639,878808,885469
891,103480,886497,893132
891,103706,894183,900847
891,104347,901879,908560
891,103774,909620,916347
901,106525,917386,924303
901,105998,925356,932432
901,106081,933511,940417
901,106276,941481,948363
901,106787,949415,956300
911,109187,957407,964560
911,109229,965648,972813
911,108523,973923,981242
911,108646,982319,989468
911,108649,990567,997702
921,110951,998811,1006190
921,111417,1007323,1014870
921,111210,1015962,1023319
921,111183,1024449,1031987
921,110385,1033082,1040451
931,113784,1041597,1049197
931,113926,1050339,1057948
931,113828,1059101,1066681
931,113434,1067803,1075426
931,113609,1076560,1084156
941,116152,1085306,1093185
941,115748,1094372,1102253
941,116175,1103411,1111277
941,116286,1112457,1120289
941,116606,1121459,1129342
951,118836,1130520,1138670
951,118092,1139873,1147941
951,118749,1149140,1157216
951,118499,1158397,1166509
951,118824,1167690,1175759
961,120769,1176981,1185325
961,120746,1186534,1195099
961,120940,1196320,1204665
961,121179,1205871,1214234
961,120632,1215460,1223805
971,123230,1225025,1233651
971,123557,1234906,1243543
971,123333,1244760,1253384
971,123519,1254632,1263228
971,122776,1264445,1273057
981,125756,1274319,1283197
981,125856,1284466,1293361
981,126096,1294627,1303510
981,126430,1304764,1313628
981,125976,1314908,1323826
991,128221,1325130,1334310
991,128314,1335622,1344779
991,128409,1346101,1355330
991,128670,1356641,1365839
991,128474,1367128,1376126
1001,131322,1377441,1386672
1001,131260,1387989,1397375
1001,130890,1398677,1407963
1001,130809,1409266,1418529
1001,131606,1419830,1429093
