Vertices,Edges,StartTime,EndTime
1,-1,352246373,352246374
1,-1,352246374,352246374
1,-1,352246374,352246374
1,-1,352246374,352246374
1,-1,352246374,352246375
11,-1,352246375,352246375
11,-1,352246375,352246375
11,-1,352246375,352246376
11,-1,352246376,352246376
11,-1,352246376,352246376
21,-1,352246376,352246376
21,-1,352246377,352246377
21,-1,352246377,352246377
21,-1,352246377,352246378
21,-1,352246378,352246378
31,-1,352246378,352246378
31,-1,352246378,352246379
31,-1,352246379,352246379
31,-1,352246379,352246379
31,-1,352246380,352246380
41,-1,352246380,352246380
41,-1,352246380,352246381
41,-1,352246381,352246381
41,-1,352246381,352246381
41,-1,352246382,352246382
51,-1,352246382,352246382
51,-1,352246383,352246383
51,-1,352246383,352246383
51,-1,352246383,352246384
51,-1,352246384,352246384
61,-1,352246384,352246385
61,-1,352246385,352246385
61,-1,352246385,352246386
61,-1,352246386,352246386
61,-1,352246386,352246387
71,-1,352246387,352246387
71,-1,352246388,352246388
71,-1,352246388,352246388
71,-1,352246389,352246389
71,-1,352246390,352246390
81,-1,352246390,352246390
81,-1,352246391,352246391
81,-1,352246392,352246392
81,-1,352246393,352246393
81,-1,352246393,352246393
91,-1,352246394,352246394
91,-1,352246395,352246395
91,-1,352246396,352246396
91,-1,352246396,352246397
91,-1,352246397,352246397
101,-1,352246398,352246398
101,-1,352246399,352246399
101,-1,352246400,352246400
101,-1,352246401,352246401
101,-1,352246401,352246402
111,-1,352246402,352246403
111,-1,352246403,352246404
111,-1,352246404,352246405
111,-1,352246405,352246406
111,-1,352246406,352246407
121,-1,352246408,352246408
121,-1,352246409,352246409
121,-1,352246410,352246410
121,-1,352246411,352246411
121,-1,352246412,352246412
131,-1,352246413,352246414
131,-1,352246415,352246415
131,-1,352246416,352246416
131,-1,352246417,352246417
131,-1,352246418,352246419
141,-1,352246420,352246420
141,-1,352246421,352246421
141,-1,352246423,352246423
141,-1,352246424,352246424
141,-1,352246425,352246426
151,-1,352246427,352246427
151,-1,352246429,352246429
151,-1,352246430,352246431
151,-1,352246432,352246432
151,-1,352246433,352246434
161,-1,352246435,352246435
161,-1,352246437,352246437
161,-1,352246438,352246439
161,-1,352246440,352246441
161,-1,352246442,352246442
171,-1,352246444,352246444
171,-1,352246446,352246446
171,-1,352246448,352246448
171,-1,352246450,352246450
171,-1,352246452,352246452
181,-1,352246454,352246455
181,-1,352246456,352246457
181,-1,352246458,352246459
181,-1,352246460,352246461
181,-1,352246462,352246463
191,-1,352246465,352246466
191,-1,352246467,352246468
191,-1,352246469,352246470
191,-1,352246472,352246472
191,-1,352246474,352246475
201,-1,352246477,352246477
201,-1,352246479,352246480
201,-1,352246482,352246482
201,-1,352246484,352246485
201,-1,352246487,352246488
211,-1,352246490,352246490
211,-1,352246492,352246493
211,-1,352246495,352246496
211,-1,352246498,352246499
211,-1,352246501,352246501
221,-1,352246504,352246505
221,-1,352246507,352246508
221,-1,352246510,352246511
221,-1,352246513,352246514
221,-1,352246516,352246517
231,-1,352246520,352246521
231,-1,352246523,352246524
231,-1,352246526,352246527
231,-1,352246530,352246530
231,-1,352246533,352246534
241,-1,352246537,352246538
241,-1,352246540,352246541
241,-1,352246544,352246545
241,-1,352246547,352246548
241,-1,352246551,352246552
251,-1,352246555,352246556
251,-1,352246558,352246560
251,-1,352246562,352246563
251,-1,352246566,352246567
251,-1,352246570,352246571
261,-1,352246574,352246575
261,-1,352246578,352246579
261,-1,352246582,352246584
261,-1,352246587,352246588
261,-1,352246591,352246592
271,-1,352246595,352246597
271,-1,352246600,352246601
271,-1,352246605,352246606
271,-1,352246609,352246611
271,-1,352246614,352246615
281,-1,352246619,352246621
281,-1,352246624,352246625
281,-1,352246629,352246630
281,-1,352246634,352246635
281,-1,352246639,352246640
291,-1,352246643,352246645
291,-1,352246649,352246650
291,-1,352246654,352246655
291,-1,352246659,352246660
291,-1,352246664,352246665
301,-1,352246670,352246671
301,-1,352246675,352246677
301,-1,352246681,352246682
301,-1,352246686,352246688
301,-1,352246692,352246694
311,-1,352246698,352246700
311,-1,352246704,352246705
311,-1,352246710,352246711
311,-1,352246715,352246717
311,-1,352246721,352246723
321,-1,352246727,352246729
321,-1,352246734,352246736
321,-1,352246740,352246742
321,-1,352246746,352246748
321,-1,352246753,352246755
331,-1,352246759,352246761
331,-1,352246766,352246768
331,-1,352246773,352246775
331,-1,352246780,352246782
331,-1,352246787,352246789
341,-1,352246794,352246796
341,-1,352246801,352246803
341,-1,352246808,352246810
341,-1,352246815,352246817
341,-1,352246822,352246825
351,-1,352246830,352246832
351,-1,352246837,352246839
351,-1,352246844,352246846
351,-1,352246852,352246854
351,-1,352246859,352246862
361,-1,352246868,352246870
361,-1,352246875,352246878
361,-1,352246883,352246886
361,-1,352246892,352246894
361,-1,352246899,352246902
371,-1,352246908,352246910
371,-1,352246916,352246919
371,-1,352246924,352246927
371,-1,352246932,352246935
371,-1,352246941,352246943
381,-1,352246950,352246952
381,-1,352246958,352246961
381,-1,352246967,352246969
381,-1,352246976,352246978
381,-1,352246984,352246987
391,-1,352246994,352246997
391,-1,352247003,352247006
391,-1,352247012,352247015
