Vertices,Edges,StartTime,EndTime
1,0,603001,603001
1,0,603001,603001
1,0,603001,603001
1,1,603001,603001
1,0,603001,603001
11,73,603001,603001
11,71,603001,603001
11,64,603001,603001
11,61,603002,603002
11,69,603002,603002
21,232,603003,603003
21,232,603004,603004
21,211,603005,603005
21,226,603006,603006
21,230,603007,603007
31,507,603009,603009
31,496,603011,603011
31,498,603013,603013
31,464,603015,603015
31,485,603017,603017
41,862,603023,603024
41,880,603027,603028
41,881,603030,603031
41,894,603034,603035
41,860,603037,603038
51,1324,603042,603043
51,1311,603047,603048
51,1327,603052,603053
51,1331,603057,603058
51,1280,603062,603063
61,1910,603069,603071
61,1892,603076,603078
61,1897,603084,603086
61,1872,603091,603098
61,1855,603103,603105
71,2591,603113,603115
71,2546,603123,603126
71,2466,603133,603136
71,2544,603143,603146
71,2503,603154,603156
81,3317,603166,603173
81,3344,603183,603187
81,3354,603196,603200
81,3375,603209,603213
81,3279,603222,603226
91,4155,603238,603246
91,4205,603258,603263
91,4161,603275,603279
91,4144,603291,603295
91,4249,603308,603312
101,5137,603331,603336
101,5204,603351,603356
101,5097,603371,603376
101,5190,603395,603400
101,5107,603415,603421
111,6106,603439,603445
111,6344,603467,603473
111,6224,603491,603498
111,6194,603516,603522
111,6182,603544,603550
121,7467,603572,603580
121,7370,603605,603613
121,7348,603635,603643
121,7387,603669,603676
121,7374,603698,603706
131,8721,603735,603744
131,8571,603770,603779
131,8690,603808,603817
131,8655,603843,603852
131,8619,603881,603890
141,9988,603924,603935
141,10030,603964,603974
141,9900,604007,604017
141,10144,604051,604061
141,10127,604094,604105
151,11478,604142,604156
151,11518,604193,604205
151,11483,604241,604253
151,11502,604289,604301
151,11468,604336,604349
161,13210,604391,604405
161,13119,604445,604461
161,13020,604501,604515
161,12913,604556,604572
161,13045,604615,604630
171,14656,604678,604695
171,14733,604777,604793
171,14631,604836,604852
171,14769,604900,604916
171,14660,604965,604980
181,16453,605027,605050
181,16447,605099,605117
181,16354,605171,605190
181,16389,605244,605263
181,16595,605318,605338
191,18280,605396,605419
191,18375,605479,605499
191,18479,605558,605580
191,18329,605641,605661
191,18150,605719,605741
201,20450,605807,605829
201,20298,605894,605916
201,20426,605981,606003
201,20338,606068,606115
201,20246,606173,606200
211,22341,606271,606295
211,22231,606368,606392
211,22364,606464,606491
211,22443,606569,606594
211,22434,606665,606691
221,24416,606772,606800
221,24630,606883,606911
221,24429,606992,607021
221,24585,607099,607127
221,24503,607231,607258
231,26805,607340,607368
231,26815,607451,607480
231,26686,607565,607593
231,26652,607674,607706
231,26898,607786,607818
241,29215,607910,607942
241,29208,608035,608069
241,29203,608160,608194
241,29264,608285,608318
241,29174,608435,608467
251,31649,608565,608602
251,31501,608702,608738
251,31702,608838,608876
251,31762,608982,609021
251,31527,609128,609167
261,34090,609279,609321
261,34230,609433,609509
261,34301,609619,609664
261,34238,609780,609825
261,33983,609937,609984
271,36712,610115,610165
271,36573,610287,610331
271,37004,610487,610532
271,36854,610655,610700
271,37021,610818,610867
281,39782,610995,611047
281,39539,611207,611256
281,39449,611381,611426
281,39534,611551,611604
281,39631,611735,611786
291,42397,611949,611997
291,42616,612133,612187
291,42513,612330,612382
291,42358,612521,612573
291,42268,612745,612796
301,45586,612944,612997
301,45410,613140,613192
301,45424,613338,613390
301,45439,613532,613586
301,45501,613757,613809
311,48351,613961,614016
311,48446,614171,614226
311,48765,614382,614438
311,48513,614592,614648
311,48504,614829,614883
321,51848,615048,615106
321,51456,615268,615330
321,51859,615510,615572
321,51859,615761,615820
321,51817,615986,616050
331,54844,616225,616296
331,55128,616472,616562
331,54862,616739,616808
331,54808,616984,617047
331,54788,617248,617310
341,58449,617493,617564
341,58568,617748,617820
341,57991,618039,618106
341,58421,618291,618361
341,58130,618547,618616
351,61772,618835,618903
351,61761,619099,619173
351,61477,619369,619443
351,62024,619663,619733
351,61774,619927,620001
361,65303,620208,620286
361,65421,620519,620594
361,65366,620804,620882
361,65371,621089,621166
361,65588,621395,621474
371,69010,621690,621771
371,68574,622013,622091
371,68954,622306,622389
371,69197,622633,622711
371,69346,622927,623009
381,72808,623274,623356
381,72765,623588,623672
381,72600,623924,624006
381,72748,624237,624325
381,72617,624558,624647
391,76884,624911,624999
391,76631,625241,625331
391,76192,625571,625689
391,76752,625927,626017
391,76482,626282,626370
401,80648,626623,626718
401,80477,626994,627086
401,80642,627341,627437
401,80446,627717,627808
401,80393,628065,628162
411,84568,628456,628553
411,84717,628825,628927
411,84601,629214,629315
411,84597,629583,629711
411,84652,629976,630075
421,89008,630380,630481
421,88877,630764,630869
421,88978,631175,631278
421,89288,631560,631668
421,89000,631977,632093
431,93368,632388,632511
431,93028,632833,632942
431,92508,633238,633377
431,93168,633672,633782
431,92775,634115,634226
441,97026,634556,634669
441,97205,634977,635099
441,97758,635428,635545
441,97762,635880,635992
441,97335,636326,636442
451,102065,636791,636910
451,102295,637261,637380
451,102009,637730,637847
451,102386,638200,638324
451,101728,638674,638791
461,106289,639156,639281
461,106496,639645,639769
461,106371,640134,640258
461,106870,640624,640750
461,106332,641114,641240
471,111346,641622,641755
471,111491,642134,642269
471,111185,642649,642782
471,111061,643162,643297
471,111387,643685,643818
481,115856,644218,644362
481,116140,644753,644896
481,115525,645288,645433
481,115827,645822,645964
481,115869,646358,646503
491,121250,646908,647061
491,120727,647467,647619
491,121420,648027,648180
491,120459,648597,648750
491,120845,649155,649305
501,125562,649731,649890
501,125654,650312,650472
501,125748,650894,651056
501,125593,651477,651642
501,126090,652063,652224
511,130779,652663,652832
511,130259,653276,653447
511,130744,653886,654059
511,130599,654498,654668
511,130642,655110,655278
521,136195,655735,655915
521,135929,656371,656555
521,135289,657014,657199
521,135785,657655,657832
521,135314,658287,658465
531,141546,658935,659123
531,141146,659593,659782
531,141696,660252,660443
531,141300,660913,661100
531,141317,661572,661761
541,147022,662250,662447
541,147156,662936,663129
541,146455,663628,663843
541,146798,664336,664530
541,146642,665023,665239
551,152247,665746,665942
551,152235,666454,666679
551,152499,667188,667389
551,152061,667902,668132
551,152334,668643,668842
561,157534,669375,669610
561,157685,670130,670338
561,157987,670864,671102
561,157156,671632,671860
