Vertices,Edges,StartTime,EndTime
1,1,1968203,1968203
1,1,1968203,1968203
1,1,1968203,1968203
1,1,1968203,1968203
1,1,1968203,1968203
11,121,1968203,1968203
11,121,1968203,1968203
11,121,1968203,1968203
11,121,1968203,1968203
11,121,1968204,1968204
21,441,1968204,1968205
21,441,1968205,1968205
21,441,1968206,1968206
21,441,1968207,1968207
21,441,1968208,1968208
31,961,1968211,1968212
31,961,1968213,1968213
31,961,1968215,1968215
31,961,1968217,1968217
31,961,1968218,1968218
41,1681,1968221,1968221
41,1681,1968224,1968225
41,1681,1968227,1968228
41,1681,1968229,1968229
41,1681,1968234,1968234
51,2601,1968238,1968238
51,2601,1968242,1968243
51,2601,1968247,1968247
51,2601,1968251,1968252
51,2601,1968257,1968258
61,3721,1968263,1968264
61,3721,1968270,1968270
61,3721,1968277,1968278
61,3721,1968283,1968284
61,3721,1968289,1968290
71,5041,1968299,1968300
71,5041,1968307,1968308
71,5041,1968317,1968318
71,5041,1968326,1968327
71,5041,1968336,1968337
81,6561,1968347,1968348
81,6561,1968359,1968360
81,6561,1968372,1968373
81,6561,1968383,1968384
81,6561,1968395,1968396
91,8281,1968410,1968412
91,8281,1968427,1968428
91,8281,1968440,1968442
91,8281,1968455,1968457
91,8281,1968471,1968472
101,10201,1968522,1968524
101,10201,1968540,1968541
101,10201,1968558,1968559
101,10201,1968575,1968577
101,10201,1968598,1968600
111,12321,1968619,1968621
111,12321,1968640,1968642
111,12321,1968668,1968670
111,12321,1968690,1968692
111,12321,1968711,1968713
121,14641,1968741,1968743
121,14641,1968766,1968768
121,14641,1968791,1968793
121,14641,1968821,1968823
121,14641,1968846,1968849
131,17161,1968880,1968883
131,17161,1968909,1968912
131,17161,1968944,1968947
131,17161,1968978,1968981
131,17161,1969007,1969010
141,19881,1969046,1969049
141,19881,1969084,1969087
141,19881,1969122,1969125
141,19881,1969159,1969162
141,19881,1969196,1969199
151,22801,1969237,1969240
151,22801,1969280,1969284
151,22801,1969324,1969328
151,22801,1969392,1969396
151,22801,1969431,1969434
161,25921,1969479,1969483
161,25921,1969528,1969533
161,25921,1969573,1969577
161,25921,1969622,1969627
161,25921,1969670,1969674
171,29241,1969723,1969728
171,29241,1969779,1969784
171,29241,1969833,1969838
171,29241,1969888,1969893
171,29241,1969943,1969949
181,32761,1970006,1970011
181,32761,1970100,1970106
181,32761,1970157,1970162
181,32761,1970219,1970230
181,32761,1970299,1970304
191,36481,1970366,1970372
191,36481,1970437,1970443
191,36481,1970506,1970512
191,36481,1970576,1970582
191,36481,1970680,1970686
201,40401,1970755,1970762
201,40401,1970831,1970838
201,40401,1970911,1970918
201,40401,1970988,1970995
201,40401,1971065,1971072
211,44521,1971177,1971184
211,44521,1971264,1971272
211,44521,1971347,1971355
211,44521,1971435,1971443
211,44521,1971524,1971531
221,48841,1971619,1971628
221,48841,1971746,1971755
221,48841,1971840,1971848
221,48841,1971937,1971945
221,48841,1972033,1972042
231,53361,1972141,1972150
231,53361,1972269,1972278
231,53361,1972370,1972379
231,53361,1972473,1972483
231,53361,1972577,1972586
241,58081,1972691,1972701
241,58081,1972827,1972837
241,58081,1972942,1972952
241,58081,1973049,1973059
241,58081,1973192,1973202
251,63001,1973308,1973319
251,63001,1973429,1973440
251,63001,1973573,1973584
251,63001,1973691,1973702
251,63001,1973807,1973818
261,68121,1973959,1973971
261,68121,1974084,1974096
261,68121,1974215,1974226
261,68121,1974367,1974379
261,68121,1974492,1974503
271,73441,1974626,1974638
271,73441,1974804,1974817
271,73441,1974938,1974951
271,73441,1975076,1975090
271,73441,1975244,1975256
281,78961,1975387,1975407
281,78961,1975574,1975588
281,78961,1975720,1975734
281,78961,1975895,1975909
281,78961,1976044,1976058
291,84681,1976228,1976243
291,84681,1976389,1976404
291,84681,1976574,1976589
291,84681,1976734,1976749
291,84681,1976921,1976935
301,90601,1977089,1977105
301,90601,1977286,1977302
301,90601,1977457,1977477
301,90601,1977656,1977671
301,90601,1977826,1977846
311,96721,1978033,1978050
311,96721,1978218,1978237
311,96721,1978420,1978437
311,96721,1978603,1978619
311,96721,1978811,1978827
321,103041,1979007,1979025
321,103041,1979222,1979240
321,103041,1979419,1979465
321,103041,1979636,1979658
321,103041,1979858,1979876
331,109561,1980093,1980112
331,109561,1980327,1980346
331,109561,1980564,1980583
331,109561,1980799,1980818
331,109561,1981037,1981056
341,116281,1981283,1981304
341,116281,1981532,1981553
341,116281,1981778,1981798
341,116281,1982025,1982045
341,116281,1982272,1982292
351,123201,1982530,1982552
