Vertices,Edges,StartTime,EndTime
1,1,802959,802959
1,1,802959,802959
1,1,802959,802959
1,1,802959,802959
1,1,802959,802959
11,121,802959,802959
11,121,802959,802959
11,121,802959,802959
11,121,802959,802960
11,121,802960,802960
21,441,802961,802961
21,441,802963,802963
21,441,802964,802964
21,441,802966,802966
21,441,802967,802967
31,961,802969,802969
31,961,802972,802972
31,961,802975,802975
31,961,802977,802977
31,961,802984,802985
41,1681,802989,802989
41,1681,802993,802994
41,1681,802998,802998
41,1681,803002,803003
41,1681,803007,803007
51,2601,803014,803014
51,2601,803021,803021
51,2601,803027,803028
51,2601,803039,803040
51,2601,803046,803047
61,3721,803056,803056
61,3721,803065,803066
61,3721,803075,803076
61,3721,803089,803090
61,3721,803098,803099
71,5041,803111,803112
71,5041,803124,803126
71,5041,803142,803143
71,5041,803155,803156
71,5041,803168,803169
81,6561,803188,803190
81,6561,803205,803206
81,6561,803222,803223
81,6561,803243,803244
81,6561,803260,803261
91,8281,803284,803286
91,8281,803305,803307
91,8281,803330,803332
91,8281,803351,803353
91,8281,803376,803378
101,10201,803405,803408
101,10201,803432,803438
101,10201,803462,803464
101,10201,803491,803493
101,10201,803520,803522
111,12321,803554,803557
111,12321,803592,803595
111,12321,803625,803628
111,12321,803662,803664
111,12321,803697,803700
121,14641,803738,803742
121,14641,803816,803819
121,14641,803854,803857
121,14641,803898,803901
121,14641,803936,803939
131,17161,803985,803989
131,17161,804035,804039
131,17161,804085,804089
131,17161,804133,804137
131,17161,804182,804186
141,19881,804237,804242
141,19881,804296,804300
141,19881,804351,804356
141,19881,804415,804420
141,19881,804472,804477
151,22801,804577,804582
151,22801,804644,804650
151,22801,804711,804717
151,22801,804776,804781
151,22801,804844,804850
161,25921,804919,804925
161,25921,804993,804999
161,25921,805068,805076
161,25921,805177,805183
161,25921,805250,805256
171,29241,805332,805339
171,29241,805418,805425
171,29241,805502,805509
171,29241,805586,805593
171,29241,805704,805711
181,32761,805793,805801
181,32761,805889,805896
181,32761,805983,805990
181,32761,806078,806085
181,32761,806207,806215
191,36481,806307,806316
191,36481,806412,806421
191,36481,806522,806531
191,36481,806630,806638
191,36481,806775,806784
201,40401,806887,806897
201,40401,807009,807018
201,40401,807123,807133
201,40401,807276,807286
201,40401,807391,807401
211,44521,807519,807530
211,44521,807690,807701
211,44521,807817,807827
211,44521,807946,807956
211,44521,808075,808087
221,48841,808251,808263
221,48841,808392,808405
221,48841,808534,808546
221,48841,808680,808729
221,48841,808857,808869
231,53361,809010,809027
231,53361,809205,809218
231,53361,809364,809377
231,53361,809556,809569
231,53361,809713,809726
241,58081,809918,809932
241,58081,810087,810101
241,58081,810295,810309
241,58081,810463,810477
241,58081,810672,810686
251,63001,810852,810871
251,63001,811074,811089
251,63001,811256,811275
251,63001,811481,811496
251,63001,811669,811684
261,68121,811898,811915
261,68121,812104,812120
261,68121,812338,812355
261,68121,812543,812559
261,68121,812773,812789
271,73441,812987,813005
271,73441,813241,813259
271,73441,813458,813479
271,73441,813708,813726
271,73441,813926,813946
281,78961,814191,814210
281,78961,814461,814480
281,78961,814735,814754
281,78961,815004,815023
281,78961,815276,815295
291,84681,815562,815583
291,84681,815848,815869
291,84681,816133,816154
291,84681,816421,816441
291,84681,816708,816729
301,90601,817012,817035
301,90601,817320,817342
301,90601,817628,817650
301,90601,817935,817957
301,90601,818242,818263
311,96721,818567,818591
311,96721,818895,818919
311,96721,819221,819244
311,96721,819545,819568
311,96721,819870,819893
321,103041,820212,820237
321,103041,820555,820580
321,103041,820898,820924
321,103041,821243,821269
321,103041,821583,821608
331,109561,821943,821970
331,109561,822308,822335
331,109561,822672,822698
331,109561,823036,823063
331,109561,823403,823430
341,116281,823783,823812
341,116281,824166,824195
341,116281,824550,824579
341,116281,824938,824967
341,116281,825322,825351
351,123201,825728,825758
351,123201,826131,826167
351,123201,826538,826568
351,123201,826945,826975
351,123201,827348,827384
361,130321,827775,827811
361,130321,828204,828241
361,130321,828633,828670
361,130321,829064,829101
361,130321,829493,829530
371,137641,829945,829984
371,137641,830397,830436
371,137641,830846,830884
371,137641,831292,831331
371,137641,831743,831782
381,145161,832267,832304
381,145161,832791,832827
381,145161,833313,833349
381,145161,833837,833873
381,145161,834360,834396
391,152881,834905,834943
391,152881,835453,835491
391,152881,835997,836034
391,152881,836542,836580
391,152881,837088,837125
401,160801,837661,837701
401,160801,838237,838277
401,160801,838809,838849
401,160801,839384,839423
401,160801,839960,840001
411,168921,840560,840603
411,168921,841164,841208
411,168921,841770,841815
411,168921,842386,842429
411,168921,842989,843033
421,177241,843621,843667
421,177241,844292,844343
421,177241,844965,845016
421,177241,845634,845685
421,177241,846306,846357
431,185761,847007,847062
431,185761,847731,847784
431,185761,848441,848495
431,185761,849149,849205
431,185761,849910,849969
441,194481,850682,850738
441,194481,851468,851527
441,194481,852211,852266
441,194481,852959,853016
441,194481,853695,853751
451,203401,854520,854573
451,203401,855304,855356
451,203401,856092,856146
451,203401,856876,856929
451,203401,857655,857709
461,212521,858483,858538
461,212521,859294,859349
461,212521,860111,860166
461,212521,860926,860981
461,212521,861747,861802
471,221841,862587,862645
471,221841,863435,863493
471,221841,864283,864341
471,221841,865126,865183
471,221841,865970,866027
481,231361,866840,866900
481,231361,867723,867783
481,231361,868600,868659
481,231361,869482,869541
481,231361,870357,870416
491,241081,871265,871327
491,241081,872181,872243
491,241081,873109,873172
491,241081,874032,874095
491,241081,874945,875007
501,251001,875932,876005
501,251001,876938,877009
501,251001,877932,878003
501,251001,878902,878974
501,251001,879883,879955
511,261121,880896,880970
511,261121,881923,882000
511,261121,882940,883014
511,261121,883955,884030
511,261121,884969,885044
521,271441,886015,886094
521,271441,887128,887199
521,271441,888145,888224
521,271441,889264,889334
521,271441,890281,890361
531,281961,891425,891498
531,281961,892535,892608
531,281961,893691,893764
531,281961,894802,894876
531,281961,895910,895984
541,292681,897056,897133
541,292681,898201,898278
541,292681,899350,899426
541,292681,900497,900574
541,292681,901662,901739
551,303601,902853,902933
551,303601,904087,904167
551,303601,905355,905435
551,303601,906571,906649
551,303601,907763,907840
561,314721,908994,909081
561,314721,910225,910311
561,314721,911453,911541
561,314721,912729,912820
561,314721,913957,914044
571,326041,915214,915305
571,326041,916470,916560
571,326041,917739,917830
571,326041,918999,919089
571,326041,920253,920344
581,337561,921542,921635
581,337561,922844,922938
581,337561,924131,924224
581,337561,925416,925510
581,337561,926704,926798
591,349281,928113,928202
591,349281,929470,929559
591,349281,930832,930920
591,349281,932195,932285
591,349281,933572,933661
601,361201,934958,935050
601,361201,936352,936445
601,361201,937749,937843
601,361201,939152,939244
601,361201,940542,940635
611,373321,942012,942107
611,373321,943509,943611
611,373321,944995,945092
611,373321,946468,946564
611,373321,947940,948046
621,385641,949462,949569
621,385641,950978,951085
621,385641,952494,952601
621,385641,954022,954130
621,385641,955536,955642
631,398161,957088,957202
631,398161,958670,958786
631,398161,960233,960346
631,398161,961810,961923
631,398161,963394,963510
641,410881,965000,965116
641,410881,966600,966716
641,410881,968203,968319
641,410881,969814,969930
641,410881,971414,971530
651,423801,973128,973239
651,423801,974822,974934
651,423801,976495,976606
651,423801,978162,978273
651,423801,979846,979957
661,436921,981613,981727
661,436921,983335,983448
661,436921,985072,985185
661,436921,986792,986906
661,436921,988558,988672
671,450241,990338,990455
671,450241,992134,992252
671,450241,993925,994045
671,450241,995705,995823
671,450241,997484,997601
681,463761,999349,999472
681,463761,1001228,1001349
681,463761,1003085,1003206
681,463761,1004962,1005084
681,463761,1006816,1006937
691,477481,1008720,1008847
691,477481,1010634,1010759
691,477481,1012541,1012666
691,477481,1014454,1014578
691,477481,1016364,1016488
701,491401,1018307,1018446
701,491401,1020274,1020413
701,491401,1022256,1022393
701,491401,1024287,1024427
701,491401,1026378,1026520
711,505521,1028475,1028625
711,505521,1030521,1030665
711,505521,1032533,1032677
711,505521,1034550,1034691
711,505521,1036562,1036705
721,519841,1038610,1038756
721,519841,1040691,1040838
721,519841,1042752,1042898
721,519841,1044809,1044955
721,519841,1046884,1047033
731,534361,1049073,1049213
731,534361,1051283,1051426
731,534361,1053508,1053648
731,534361,1055721,1055864
731,534361,1057920,1058059
741,549081,1060110,1060271
741,549081,1062468,1062615
741,549081,1064815,1064975
741,549081,1067080,1067224
741,549081,1069317,1069472
751,564001,1071617,1071765
751,564001,1073873,1074032
751,564001,1076169,1076320
751,564001,1078412,1078573
751,564001,1080706,1080853
761,579121,1083069,1083233
761,579121,1085406,1085570
761,579121,1087742,1087906
761,579121,1090063,1090226
761,579121,1092417,1092581
771,594441,1094810,1095039
