Vertices,Edges,StartTime,EndTime
1,-1,353389522,353389523
1,-1,353389523,353389523
1,-1,353389523,353389523
1,-1,353389523,353389523
1,-1,353389524,353389524
11,-1,353389524,353389524
11,-1,353389524,353389524
11,-1,353389525,353389525
11,-1,353389525,353389525
11,-1,353389525,353389525
21,-1,353389526,353389526
21,-1,353389526,353389526
21,-1,353389526,353389526
21,-1,353389527,353389527
21,-1,353389527,353389527
31,-1,353389527,353389527
31,-1,353389528,353389528
31,-1,353389528,353389528
31,-1,353389529,353389529
31,-1,353389529,353389529
41,-1,353389530,353389530
41,-1,353389530,353389530
41,-1,353389530,353389531
41,-1,353389531,353389531
41,-1,353389531,353389532
51,-1,353389532,353389532
51,-1,353389533,353389533
51,-1,353389533,353389533
51,-1,353389534,353389534
51,-1,353389534,353389534
61,-1,353389535,353389535
61,-1,353389536,353389536
61,-1,353389536,353389537
61,-1,353389537,353389537
61,-1,353389538,353389538
71,-1,353389539,353389539
71,-1,353389540,353389540
71,-1,353389540,353389541
71,-1,353389541,353389541
71,-1,353389542,353389542
81,-1,353389543,353389543
81,-1,353389544,353389544
81,-1,353389545,353389545
81,-1,353389546,353389546
81,-1,353389547,353389547
91,-1,353389548,353389548
91,-1,353389549,353389550
91,-1,353389550,353389551
91,-1,353389552,353389552
91,-1,353389553,353389553
101,-1,353389554,353389554
101,-1,353389555,353389556
101,-1,353389557,353389557
101,-1,353389558,353389558
101,-1,353389559,353389560
111,-1,353389561,353389561
111,-1,353389562,353389563
111,-1,353389564,353389564
111,-1,353389565,353389566
111,-1,353389567,353389567
121,-1,353389569,353389569
121,-1,353389570,353389571
121,-1,353389572,353389573
121,-1,353389574,353389574
121,-1,353389575,353389576
131,-1,353389577,353389578
131,-1,353389579,353389580
131,-1,353389582,353389582
131,-1,353389584,353389584
131,-1,353389586,353389586
141,-1,353389588,353389588
141,-1,353389590,353389591
141,-1,353389592,353389593
141,-1,353389595,353389595
141,-1,353389597,353389598
151,-1,353389600,353389601
151,-1,353389603,353389604
151,-1,353389605,353389606
151,-1,353389608,353389608
151,-1,353389610,353389611
161,-1,353389613,353389614
161,-1,353389616,353389617
161,-1,353389619,353389620
161,-1,353389622,353389623
161,-1,353389625,353389626
171,-1,353389629,353389630
171,-1,353389632,353389633
171,-1,353389635,353389636
171,-1,353389638,353389639
171,-1,353389642,353389643
181,-1,353389645,353389646
181,-1,353389649,353389650
181,-1,353389653,353389654
181,-1,353389656,353389658
181,-1,353389660,353389661
191,-1,353389664,353389666
191,-1,353389669,353389670
191,-1,353389673,353389674
191,-1,353389677,353389678
191,-1,353389681,353389683
201,-1,353389686,353389687
201,-1,353389690,353389692
201,-1,353389695,353389697
201,-1,353389700,353389702
201,-1,353389705,353389706
211,-1,353389710,353389712
211,-1,353389716,353389717
211,-1,353389721,353389722
211,-1,353389726,353389727
211,-1,353389731,353389733
221,-1,353389737,353389739
221,-1,353389742,353389744
221,-1,353389748,353389750
221,-1,353389754,353389756
221,-1,353389760,353389762
231,-1,353389766,353389768
231,-1,353389772,353389774
231,-1,353389778,353389780
231,-1,353389784,353389786
231,-1,353389791,353389792
241,-1,353389797,353389799
241,-1,353389803,353389805
241,-1,353389810,353389812
241,-1,353389817,353389819
241,-1,353389823,353389825
251,-1,353389830,353389832
251,-1,353389837,353389839
251,-1,353389845,353389847
251,-1,353389852,353389854
251,-1,353389858,353389861
261,-1,353389866,353389868
261,-1,353389873,353389876
261,-1,353389881,353389883
261,-1,353389888,353389891
261,-1,353389896,353389898
271,-1,353389904,353389907
271,-1,353389912,353389915
271,-1,353389921,353389923
271,-1,353389929,353389931
271,-1,353389937,353389940
281,-1,353389946,353389949
281,-1,353389955,353389958
281,-1,353389963,353389966
281,-1,353389972,353389975
281,-1,353389981,353389984
291,-1,353389990,353389993
291,-1,353390000,353390003
291,-1,353390009,353390012
291,-1,353390019,353390022
291,-1,353390028,353390031
301,-1,353390038,353390041
301,-1,353390048,353390051
301,-1,353390058,353390061
301,-1,353390068,353390071
301,-1,353390078,353390082
311,-1,353390089,353390093
311,-1,353390100,353390104
311,-1,353390111,353390115
311,-1,353390122,353390125
311,-1,353390132,353390136
321,-1,353390144,353390148
321,-1,353390155,353390159
321,-1,353390166,353390170
321,-1,353390178,353390181
321,-1,353390189,353390193
331,-1,353390202,353390206
331,-1,353390215,353390219
331,-1,353390227,353390231
331,-1,353390239,353390244
331,-1,353390252,353390256
341,-1,353390265,353390269
