Vertices,Edges,StartTime,EndTime
1,1,12860,12860
1,1,12860,12860
1,1,12860,12860
1,1,12860,12860
1,1,12860,12860
11,121,12860,12860
11,121,12861,12861
11,121,12861,12861
11,121,12862,12862
11,121,12862,12862
21,441,12863,12863
21,441,12870,12870
21,441,12871,12871
21,441,12872,12872
21,441,12873,12873
31,961,12875,12876
31,961,12878,12878
31,961,12880,12881
31,961,12883,12883
31,961,12885,12886
41,1681,12889,12890
41,1681,12893,12894
41,1681,12898,12899
41,1681,12902,12903
41,1681,12907,12908
51,2601,12912,12914
51,2601,12919,12921
51,2601,12926,12927
51,2601,12932,12934
51,2601,12939,12941
61,3721,12948,12950
61,3721,12957,12959
61,3721,12973,12976
61,3721,12983,12986
61,3721,12992,12995
71,5041,13004,13008
71,5041,13017,13020
71,5041,13029,13033
71,5041,13042,13045
71,5041,13054,13057
81,6561,13074,13079
81,6561,13090,13095
81,6561,13107,13111
81,6561,13123,13127
81,6561,13139,13143
91,8281,13158,13170
91,8281,13185,13191
91,8281,13205,13211
91,8281,13226,13232
91,8281,13247,13253
101,10201,13275,13282
101,10201,13301,13308
101,10201,13328,13335
101,10201,13359,13366
101,10201,13385,13392
111,12321,13414,13423
111,12321,13450,13458
111,12321,13480,13489
111,12321,13510,13519
111,12321,13546,13554
121,14641,13581,13591
121,14641,13621,13632
121,14641,13657,13668
121,14641,13698,13708
121,14641,13735,13745
131,17161,13780,13792
131,17161,13824,13836
131,17161,13871,13883
131,17161,13917,13929
131,17161,13960,13972
141,19881,14011,14025
141,19881,14065,14078
141,19881,14118,14132
141,19881,14171,14187
141,19881,14227,14241
151,22801,14285,14301
151,22801,14347,14364
151,22801,14407,14423
151,22801,14491,14507
151,22801,14548,14567
161,25921,14620,14639
161,25921,14686,14704
161,25921,14757,14776
161,25921,14822,14840
161,25921,14893,14913
171,29241,14971,14990
171,29241,15043,15064
171,29241,15124,15145
171,29241,15205,15225
171,29241,15284,15305
181,32761,15369,15395
181,32761,15460,15485
181,32761,15552,15578
181,32761,15645,15670
181,32761,15738,15767
191,36481,15866,15895
191,36481,15961,15989
191,36481,16064,16092
191,36481,16166,16195
191,36481,16269,16299
201,40401,16382,16414
201,40401,16497,16530
201,40401,16615,16648
201,40401,16730,16767
201,40401,16852,16884
211,44521,16975,17014
211,44521,17130,17168
211,44521,17260,17294
211,44521,17384,17419
211,44521,17511,17548
221,48841,17644,17690
221,48841,17785,17830
221,48841,17925,17966
221,48841,18065,18108
221,48841,18225,18264
231,53361,18366,18409
231,53361,18510,18554
231,53361,18656,18707
231,53361,18807,18854
231,53361,18959,19004
241,58081,19118,19165
241,58081,19277,19326
241,58081,19461,19506
241,58081,19615,19663
241,58081,19771,19818
251,63001,19942,19991
251,63001,20118,20167
251,63001,20293,20346
251,63001,20472,20525
251,63001,20682,20733
261,68121,20871,20939
261,68121,21079,21134
261,68121,21266,21319
261,68121,21454,21507
261,68121,21677,21731
271,73441,21876,21944
271,73441,22092,22152
271,73441,22305,22367
271,73441,22541,22600
271,73441,22752,22813
281,78961,22984,23053
281,78961,23214,23308
281,78961,23462,23535
281,78961,23693,23754
281,78961,23912,23973
291,84681,24162,24225
291,84681,24390,24456
291,84681,24619,24687
291,84681,24853,24919
291,84681,25107,25170
301,90601,25347,25413
301,90601,25592,25661
301,90601,25841,25917
301,90601,26119,26187
301,90601,26365,26434
311,96721,26628,26705
311,96721,26925,27007
311,96721,27194,27277
311,96721,27469,27552
311,96721,27772,27853
321,103041,28051,28152
321,103041,28356,28444
321,103041,28674,28754
321,103041,28954,29038
321,103041,29240,29334
331,109561,29574,29656
331,109561,29873,29953
331,109561,30196,30278
331,109561,30491,30578
331,109561,30824,30909
341,116281,31134,31221
341,116281,31482,31570
341,116281,31794,31883
