Vertices,Edges,StartTime,EndTime
1,1,11242908,11242908
1,1,11242908,11242908
1,1,11242908,11242908
1,1,11242908,11242908
1,1,11242908,11242908
11,121,11242909,11242909
11,121,11242909,11242909
11,121,11242909,11242910
11,121,11242910,11242910
11,121,11242911,11242911
21,441,11242912,11242912
21,441,11242913,11242913
21,441,11242914,11242915
21,441,11242916,11242916
21,441,11242916,11242916
31,961,11242918,11242919
31,961,11242921,11242922
31,961,11242923,11242924
31,961,11242926,11242927
31,961,11242929,11242929
41,1681,11242933,11242934
41,1681,11242937,11242938
41,1681,11242942,11242943
41,1681,11242947,11242948
41,1681,11242958,11242959
51,2601,11242965,11242966
51,2601,11242972,11242973
51,2601,11242979,11242981
51,2601,11242986,11242988
51,2601,11242993,11242994
61,3721,11243002,11243008
61,3721,11243015,11243017
61,3721,11243025,11243027
61,3721,11243035,11243038
61,3721,11243045,11243048
71,5041,11243061,11243064
71,5041,11243074,11243077
71,5041,11243088,11243091
71,5041,11243104,11243107
71,5041,11243117,11243121
81,6561,11243134,11243138
81,6561,11243154,11243159
81,6561,11243172,11243176
81,6561,11243192,11243196
81,6561,11243210,11243214
91,8281,11243233,11243239
91,8281,11243255,11243261
91,8281,11243280,11243286
91,8281,11243302,11243308
91,8281,11243327,11243332
101,10201,11243355,11243362
101,10201,11243385,11243392
101,10201,11243414,11243422
101,10201,11243444,11243451
101,10201,11243473,11243481
111,12321,11243509,11243518
111,12321,11243545,11243554
111,12321,11243580,11243589
111,12321,11243650,11243659
111,12321,11243683,11243692
121,14641,11243725,11243735
121,14641,11243764,11243774
121,14641,11243807,11243817
121,14641,11243850,11243861
121,14641,11243890,11243905
131,17161,11243939,11243956
131,17161,11243994,11244006
131,17161,11244046,11244058
131,17161,11244095,11244108
131,17161,11244149,11244161
141,19881,11244208,11244222
141,19881,11244268,11244282
141,19881,11244356,11244371
141,19881,11244415,11244430
141,19881,11244475,11244489
151,22801,11244541,11244563
151,22801,11244614,11244630
151,22801,11244681,11244697
151,22801,11244749,11244766
151,22801,11244815,11244835
161,25921,11244900,11244919
161,25921,11244975,11244993
161,25921,11245049,11245068
161,25921,11245147,11245165
161,25921,11245221,11245239
171,29241,11245305,11245324
171,29241,11245386,11245409
171,29241,11245472,11245492
171,29241,11245555,11245575
171,29241,11245640,11245661
181,32761,11245755,11245779
181,32761,11245851,11245877
181,32761,11245950,11245975
181,32761,11246046,11246070
181,32761,11246144,11246172
191,36481,11246254,11246284
191,36481,11246389,11246418
191,36481,11246496,11246528
191,36481,11246607,11246634
191,36481,11246716,11246745
201,40401,11246868,11246900
201,40401,11246995,11247028
201,40401,11247122,11247155
201,40401,11247279,11247311
201,40401,11247418,11247456
211,44521,11247566,11247600
211,44521,11247702,11247763
211,44521,11247861,11247897
211,44521,11247996,11248029
211,44521,11248160,11248194
221,48841,11248299,11248339
221,48841,11248446,11248483
221,48841,11248622,11248659
221,48841,11248767,11248815
221,48841,11248931,11248972
231,53361,11249123,11249167
231,53361,11249291,11249333
231,53361,11249486,11249528
231,53361,11249647,11249697
231,53361,11249872,11249923
241,58081,11250077,11250130
241,58081,11250262,11250334
241,58081,11250460,11250511
241,58081,11250640,11250688
241,58081,11250842,11250885
251,63001,11251023,11251070
251,63001,11251216,11251266
251,63001,11251432,11251483
251,63001,11251630,11251688
251,63001,11251868,11251916
261,68121,11252067,11252125
261,68121,11252311,11252369
261,68121,11252525,11252582
261,68121,11252761,11252814
261,68121,11252976,11253028
271,73441,11253220,11253282
271,73441,11253454,11253510
271,73441,11253714,11253767
271,73441,11253964,11254017
271,73441,11254207,11254261
281,78961,11254476,11254539
281,78961,11254747,11254805
281,78961,11255003,11255061
281,78961,11255260,11255317
281,78961,11255516,11255574
291,84681,11255792,11255854
291,84681,11256072,11256134
291,84681,11256353,11256415
291,84681,11256631,11256692
291,84681,11256910,11256972
301,90601,11257205,11257271
301,90601,11257504,11257569
301,90601,11257798,11257868
301,90601,11258099,11258164
301,90601,11258394,11258459
311,96721,11258702,11258772
311,96721,11259012,11259083
311,96721,11259322,11259393
311,96721,11259633,11259702
311,96721,11259943,11260012
321,103041,11260267,11260342
321,103041,11260601,11260675
321,103041,11260930,11261005
321,103041,11261261,11261336
321,103041,11261593,11261667
331,109561,11261936,11262015
331,109561,11262283,11262363
331,109561,11262633,11262712
331,109561,11262983,11263062
331,109561,11263333,11263413
341,116281,11263700,11263789
341,116281,11264069,11264159
341,116281,11264440,11264529
341,116281,11264808,11264898
341,116281,11265181,11265270
351,123201,11265564,11265659
351,123201,11265959,11266054
351,123201,11266349,11266444
351,123201,11266742,11266838
351,123201,11267133,11267229
361,130321,11267555,11267665
361,130321,11267975,11268087
361,130321,11268399,11268510
361,130321,11268820,11268937
361,130321,11269249,11269360
371,137641,11269692,11269812
371,137641,11270141,11270258
371,137641,11270585,11270703
371,137641,11271032,11271149
371,137641,11271479,11271595
381,145161,11271948,11272095
381,145161,11272449,11272594
381,145161,11272946,11273093
381,145161,11273446,11273592
381,145161,11273943,11274090
391,152881,11274488,11274619
391,152881,11275016,11275146
391,152881,11275557,11275692
391,152881,11276088,11276217
391,152881,11276618,11276748
401,160801,11277169,11277302
401,160801,11277718,11277852
401,160801,11278299,11278438
401,160801,11278854,11278989
401,160801,11279415,11279551
411,168921,11280009,11280155
411,168921,11280619,11280764
411,168921,11281197,11281343
411,168921,11281805,11281952
411,168921,11282418,11282563
421,177241,11283043,11283199
421,177241,11283684,11283837
421,177241,11284314,11284484
421,177241,11284964,11285118
421,177241,11285607,11285764
431,185761,11286262,11286420
431,185761,11286918,11287074
431,185761,11287572,11287729
431,185761,11288227,11288387
431,185761,11288886,11289043
441,194481,11289572,11289741
441,194481,11290290,11290470
441,194481,11291013,11291183
441,194481,11291744,11291938
441,194481,11292464,11292627
451,203401,11293165,11293346
451,203401,11293898,11294080
451,203401,11294622,11294803
451,203401,11295346,11295525
451,203401,11296091,11296303
461,212521,11296893,11297121
461,212521,11297732,11297944
461,212521,11298572,11298750
461,212521,11299344,11299526
461,212521,11300138,11300330
471,221841,11300951,11301142
471,221841,11301799,11302009
471,221841,11302690,11302876
471,221841,11303523,11303707
471,221841,11304340,11304523
481,231361,11305193,11305409
481,231361,11306088,11306280
481,231361,11306990,11307208
481,231361,11307869,11308081
481,231361,11308730,11308927
491,241081,11309600,11309804
491,241081,11310492,11310719
491,241081,11311399,11311605
491,241081,11312285,11312483
491,241081,11313151,11313364
501,251001,11314063,11314279
501,251001,11314977,11315194
501,251001,11315882,11316096
501,251001,11316793,11317004
501,251001,11317694,11317911
511,261121,11318655,11318918
511,261121,11319650,11319911
511,261121,11320596,11320861
511,261121,11321550,11321819
511,261121,11322548,11322812
521,271441,11323547,11323781
521,271441,11324576,11324875
521,271441,11325670,11325914
521,271441,11326703,11326938
521,271441,11327685,11327926
531,281961,11328746,11329023
531,281961,11329879,11330197
531,281961,11331035,11331317
531,281961,11332169,11332424
531,281961,11333255,11333537
541,292681,11334407,11334689
541,292681,11335535,11335852
541,292681,11336635,11336889
541,292681,11337747,11338001
541,292681,11338791,11339088
551,303601,11339896,11340173
551,303601,11341059,11341320
551,303601,11342164,11342486
551,303601,11343317,11343582
551,303601,11344482,11344740
561,314721,11345611,11345924
561,314721,11346761,11347077
561,314721,11347932,11348247
561,314721,11349087,11349406
561,314721,11350247,11350566
571,326041,11351467,11351755
571,326041,11352690,11353000
571,326041,11353902,11354234
571,326041,11355106,11355448
571,326041,11356358,11356642
581,337561,11357563,11357906
581,337561,11358796,11359141
581,337561,11360037,11360394
581,337561,11361294,11361635
581,337561,11362529,11362873
591,349281,11363838,11364151
591,349281,11365144,11365460
591,349281,11366449,11366790
591,349281,11367700,11368051
591,349281,11369009,11369318
601,361201,11370343,11370712
601,361201,11371704,11372012
601,361201,11373026,11373337
601,361201,11374352,11374710
601,361201,11375697,11376011
611,373321,11377053,11377376
611,373321,11378444,11378821
611,373321,11379829,11380198
611,373321,11381226,11381606
611,373321,11382614,11382934
621,385641,11384009,11384403
621,385641,11385490,11385826
621,385641,11386917,11387303
621,385641,11388352,11388735
621,385641,11389821,11390158
631,398161,11391300,11391711
631,398161,11392828,11393174
631,398161,11394271,11394671
631,398161,11395788,11396150
631,398161,11397251,11397656
641,410881,11398750,11399164
641,410881,11400333,11400724
641,410881,11401901,11402324
641,410881,11403425,11403867
641,410881,11405007,11405366
651,423801,11406582,11406981
651,423801,11408258,11408684
651,423801,11409919,11410297
651,423801,11411518,11411909
651,423801,11413116,11413487
661,436921,11414740,11415126
661,436921,11416370,11416775
661,436921,11418017,11418405
661,436921,11419650,11420043
661,436921,11421303,11421707
671,450241,11422984,11423447
671,450241,11424682,11425150
671,450241,11426417,11426897
671,450241,11428167,11428629
671,450241,11429870,11430335
681,463761,11431628,11432130
681,463761,11433430,11433915
681,463761,11435210,11435695
681,463761,11436990,11437495
681,463761,11438795,11439280
691,477481,11440582,11441082
691,477481,11442397,11442900
691,477481,11444201,11444705
691,477481,11446020,11446521
691,477481,11447834,11448336
701,491401,11449749,11450207
701,491401,11451620,11452074
701,491401,11453450,11453965
701,491401,11455374,11455834
701,491401,11457293,11457772
711,505521,11459219,11459697
711,505521,11461144,11461670
711,505521,11463141,11463618
711,505521,11465089,11465569
711,505521,11467066,11467555
721,519841,11469122,11469650
721,519841,11471168,11471707
721,519841,11473230,11473749
721,519841,11475284,11475816
721,519841,11477327,11477877
731,534361,11479441,11479989
731,534361,11481584,11482118
731,534361,11483693,11484217
731,534361,11485783,11486311
731,534361,11487880,11488456
741,549081,11490052,11490596
741,549081,11492194,11492731
741,549081,11494339,11494876
741,549081,11496473,11497017
741,549081,11498630,11499174
751,564001,11500800,11501428
751,564001,11502999,11503642
751,564001,11505223,11505855
751,564001,11507429,11508056
751,564001,11509635,11510270
761,579121,11511890,11512537
761,579121,11514174,11514818
761,579121,11516446,11517094
761,579121,11518713,11519370
761,579121,11520984,11521631
771,594441,11523365,11523969
771,594441,11525694,11526343
771,594441,11528068,11528654
771,594441,11530421,11531031
