Vertices,Edges,StartTime,EndTime
1000,10994,4208711,4208715
1000,21042,4210120,4210125
1000,30858,4211498,4211507
1000,41146,4212971,4212980
1000,50921,4214356,4214373
1000,70686,4215753,4215771
1000,70763,4217127,4217141
1000,81082,4218601,4218619
1000,90734,4219964,4219982
1000,100902,4221410,4221430
1000,111362,4222935,4222959
1000,120434,4224440,4224465
1000,131431,4225918,4225943
1000,141208,4227403,4227430
1000,151320,4228986,4229015
1000,161158,4230656,4230690
1000,170700,4232338,4232372
1000,190543,4233992,4234030
1000,200512,4235494,4235534
1000,211720,4236993,4237034
1000,219732,4238541,4238584
1000,230449,4240089,4240143
1000,240566,4241709,4241775
1000,250322,4243370,4243417
1000,260302,4245013,4245063
1000,270741,4246689,4246755
1000,280580,4248360,4248414
1000,290856,4250141,4250197
1000,301155,4251923,4251982
1000,310710,4253865,4253948
1000,321085,4255815,4255885
1000,329916,4257767,4257850
1000,340472,4259811,4259887
1000,351446,4261780,4261849
1000,361154,4263857,4263927
1000,370797,4266027,4266106
1000,380473,4268029,4268115
1000,390215,4270078,4270171
1000,399501,4272149,4272235
1000,409987,4274095,4274200
1000,420834,4276152,4276235
1000,429803,4278144,4278233
1000,440203,4280172,4280258
1000,450728,4282145,4282239
1000,460657,4284070,4284166
1000,470539,4286078,4286179
1000,479795,4288213,4288319
1000,490667,4290329,4290435
1000,500139,4292409,4292568
1000,511252,4294640,4294740
1000,520768,4296822,4296925
1000,530792,4299124,4299240
1000,540761,4301473,4301599
1000,550002,4303820,4303942
1000,560787,4306150,4306338
1000,569851,4308707,4308822
1000,580286,4311111,4311229
1000,590032,4313557,4313682
1000,600444,4316092,4316214
1000,609875,4318491,4318625
1000,620435,4320903,4321042
1000,631745,4323391,4323528
1000,639682,4325888,4326029
1000,650355,4328332,4328517
1000,660541,4330707,4330907
1000,669296,4333212,4333345
1000,680662,4335831,4335979
1000,690137,4338656,4338797
1000,699631,4341305,4341460
1000,709720,4344158,4344305
1000,720530,4346841,4347067
1000,729549,4349753,4349913
1000,739677,4352651,4352812
1000,750431,4355566,4355744
1000,759810,4358457,4358624
1000,770751,4361362,4361532
1000,780277,4364375,4364549
1000,790379,4367169,4367341
1000,800497,4369884,4370054
1000,809871,4372548,4372721
1000,819685,4375241,4375416
1000,829901,4377955,4378129
1000,840449,4380664,4380911
1000,849975,4383661,4383832
1000,860171,4386673,4386846
1000,870536,4389630,4389829
1000,879643,4392605,4392798
1000,889505,4395594,4395798
1000,900348,4398578,4398776
1000,910417,4401575,4401774
1000,920002,4404583,4404787
1000,929847,4407581,4407857
1000,939955,4410664,4410874
1000,949787,4413643,4413918
1000,959909,4416527,4416798
1000,970081,4419368,4419628
1000,980001,4422218,4422421
1000,989976,4425084,4425351
1000,1000000,4427966,4428235
