Vertices,Edges,StartTime,EndTime
1000,11006,1559531,1559564
1000,20937,1561087,1561134
1000,30752,1562610,1562678
1000,41307,1564103,1564189
1000,51090,1565783,1565923
1000,71065,1567396,1567608
1000,70973,1569053,1569212
1000,80843,1570740,1570946
1000,90725,1572466,1572680
1000,100897,1574306,1574619
1000,110865,1576274,1576618
1000,120918,1578134,1578436
1000,129874,1580114,1580499
1000,140545,1582062,1582406
1000,151161,1584050,1584376
1000,160405,1585978,1586374
1000,170343,1587988,1588388
1000,190759,1589921,1590291
1000,200758,1592000,1592528
1000,210764,1594252,1594806
1000,221290,1596634,1597323
1000,230808,1599096,1599745
1000,241345,1601561,1602282
1000,250121,1604114,1604784
1000,260141,1606629,1607339
1000,270067,1609389,1610184
1000,280997,1612099,1613016
1000,290285,1615046,1615912
1000,300978,1617888,1618737
1000,310571,1620712,1621583
1000,320903,1623590,1624289
1000,329863,1626148,1626794
1000,339543,1628689,1629497
1000,350883,1631454,1632255
1000,360050,1634132,1634890
1000,370496,1636916,1637744
1000,380378,1639671,1640613
1000,390115,1642705,1643747
1000,401110,1645870,1646765
1000,410799,1648995,1649924
1000,419658,1651991,1652991
1000,430641,1655137,1656387
1000,440680,1658568,1659654
1000,451181,1661827,1662904
1000,460925,1665063,1666171
1000,470090,1668412,1669509
1000,480349,1671712,1672799
1000,490480,1675032,1676075
1000,500494,1678395,1679485
1000,510708,1681768,1682721
1000,520886,1685003,1686005
1000,530810,1688548,1690077
1000,540150,1692699,1694154
1000,549790,1696797,1698195
1000,560701,1700950,1702393
1000,571306,1705071,1706677
1000,579910,1709617,1711053
1000,590647,1713975,1715596
1000,600278,1718390,1719656
1000,609284,1722252,1723629
1000,620577,1726274,1727662
1000,630243,1730364,1731712
1000,640074,1734428,1735942
1000,650222,1738834,1740363
1000,660771,1743376,1745067
1000,670126,1748008,1749549
1000,680364,1752662,1754260
1000,690045,1757024,1758497
1000,699875,1761219,1762655
1000,710383,1765346,1766555
1000,720416,1769133,1770659
1000,730467,1773417,1774887
1000,741258,1777634,1779154
1000,750072,1781983,1783686
1000,760312,1786716,1788413
1000,769829,1791436,1793182
1000,780087,1796146,1797853
1000,789855,1800865,1802474
1000,800052,1805438,1807010
1000,810480,1809994,1811551
1000,820336,1814351,1815718
1000,829606,1818785,1820561
1000,839509,1823700,1825444
1000,850707,1828707,1830339
1000,860607,1833608,1835298
1000,869864,1838552,1840337
1000,879715,1843518,1845255
1000,889885,1848565,1850126
1000,899800,1853154,1854502
1000,909721,1857414,1858683
1000,920101,1861517,1862897
1000,929446,1865932,1867524
1000,940126,1870703,1872239
1000,950122,1875403,1877081
1000,959955,1880289,1881849
1000,969736,1884969,1886582
1000,980004,1889836,1891458
1000,989921,1894789,1896143
1000,1000000,1899247,1900699
