Vertices,Edges,StartTime,EndTime
1,0,3317,3317
1,1,3317,3317
1,1,3318,3318
2,2,3318,3318
2,1,3318,3318
2,3,3318,3319
3,6,3319,3319
3,6,3319,3319
3,7,3320,3320
4,9,3320,3320
4,10,3320,3320
4,9,3320,3320
5,15,3321,3321
5,11,3321,3321
5,15,3322,3322
6,21,3322,3323
6,15,3323,3323
6,22,3324,3324
7,30,3325,3325
7,31,3326,3326
7,28,3326,3327
8,40,3327,3328
8,32,3328,3329
8,37,3329,3330
9,39,3331,3331
9,45,3332,3332
9,47,3333,3333
10,56,3334,3334
10,51,3335,3336
10,52,3337,3337
11,73,3337,3338
11,73,3339,3339
11,75,3341,3341
12,81,3343,3343
12,74,3344,3345
12,80,3346,3347
13,90,3348,3348
13,97,3349,3349
13,99,3351,3351
14,105,3353,3354
14,104,3355,3356
14,98,3358,3358
15,124,3360,3361
15,119,3362,3363
15,116,3365,3365
16,136,3368,3368
16,129,3371,3371
16,123,3374,3374
17,145,3377,3377
17,140,3380,3381
17,156,3383,3384
18,189,3387,3388
18,174,3390,3391
18,166,3394,3421
19,191,3423,3423
19,197,3425,3425
19,181,3426,3426
20,216,3428,3428
20,223,3430,3430
20,217,3433,3434
21,222,3437,3438
21,235,3442,3443
21,238,3446,3447
22,261,3450,3451
22,263,3454,3454
22,240,3457,3458
23,272,3461,3462
23,295,3464,3465
23,278,3468,3469
24,319,3472,3473
24,322,3477,3478
24,290,3481,3482
25,329,3485,3486
25,320,3489,3489
25,334,3492,3493
26,317,3496,3497
26,378,3500,3501
26,359,3505,3507
27,356,3511,3513
27,376,3517,3518
27,367,3522,3523
28,404,3527,3528
28,379,3533,3534
28,410,3536,3537
29,426,3540,3541
29,444,3544,3545
29,428,3552,3554
30,463,3559,3561
30,473,3565,3567
30,451,3574,3576
31,497,3584,3587
31,506,3595,3597
31,490,3601,3603
32,542,3609,3611
32,532,3616,3617
32,531,3625,3627
33,562,3633,3635
33,554,3642,3644
33,562,3651,3653
34,588,3658,3660
34,557,3664,3665
34,598,3669,3670
35,633,3673,3674
35,636,3684,3687
35,629,3693,3695
36,677,3701,3703
36,656,3708,3710
36,624,3729,3730
37,715,3738,3741
37,647,3746,3748
37,689,3752,3754
38,722,3759,3760
38,756,3772,3774
38,747,3781,3783
39,779,3789,3790
39,787,3795,3797
39,759,3802,3803
40,799,3807,3808
40,798,3812,3813
40,830,3818,3819
41,884,3822,3823
41,860,3835,3838
41,883,3845,3847
42,917,3853,3855
42,914,3858,3860
42,869,3864,3865
43,968,3869,3870
43,925,3874,3875
43,931,3878,3880
44,1006,3884,3885
44,955,3890,3891
44,975,3895,3896
45,1066,3901,3902
45,1032,3919,3920
45,1036,3925,3926
46,1051,3931,3932
46,1094,3937,3938
46,1079,3943,3945
47,1093,3958,3961
47,1087,3970,3973
47,1136,3984,3987
48,1175,3995,3998
48,1181,4004,4006
48,1155,4012,4013
49,1204,4019,4020
