Vertices,Edges,StartTime,EndTime
1,-1,360769092,360769092
1,-1,360769093,360769093
1,-1,360769093,360769093
1,-1,360769093,360769093
1,-1,360769093,360769093
11,-1,360769094,360769094
11,-1,360769094,360769094
11,-1,360769094,360769094
11,-1,360769094,360769095
11,-1,360769095,360769095
21,-1,360769095,360769095
21,-1,360769095,360769095
21,-1,360769096,360769096
21,-1,360769096,360769096
21,-1,360769096,360769096
31,-1,360769096,360769097
31,-1,360769097,360769097
31,-1,360769097,360769097
31,-1,360769097,360769097
31,-1,360769098,360769098
41,-1,360769098,360769098
41,-1,360769098,360769098
41,-1,360769098,360769098
41,-1,360769099,360769099
41,-1,360769099,360769099
51,-1,360769099,360769099
51,-1,360769100,360769100
51,-1,360769100,360769100
51,-1,360769100,360769100
51,-1,360769100,360769101
61,-1,360769101,360769101
61,-1,360769101,360769101
61,-1,360769101,360769101
61,-1,360769102,360769102
61,-1,360769102,360769102
71,-1,360769102,360769102
71,-1,360769102,360769103
71,-1,360769103,360769103
71,-1,360769103,360769103
71,-1,360769103,360769103
81,-1,360769104,360769104
81,-1,360769104,360769104
81,-1,360769104,360769104
81,-1,360769105,360769105
81,-1,360769105,360769105
91,-1,360769105,360769105
91,-1,360769105,360769105
91,-1,360769106,360769106
91,-1,360769106,360769106
91,-1,360769106,360769106
101,-1,360769107,360769107
101,-1,360769107,360769107
101,-1,360769107,360769107
101,-1,360769108,360769108
101,-1,360769108,360769108
111,-1,360769108,360769108
111,-1,360769109,360769109
111,-1,360769109,360769109
111,-1,360769109,360769109
111,-1,360769109,360769110
121,-1,360769110,360769110
121,-1,360769110,360769110
121,-1,360769111,360769111
121,-1,360769111,360769111
121,-1,360769111,360769111
131,-1,360769112,360769112
131,-1,360769112,360769112
131,-1,360769112,360769112
131,-1,360769113,360769113
131,-1,360769113,360769113
141,-1,360769113,360769113
141,-1,360769114,360769114
141,-1,360769114,360769114
141,-1,360769114,360769114
141,-1,360769115,360769115
151,-1,360769115,360769115
151,-1,360769115,360769116
151,-1,360769116,360769116
151,-1,360769116,360769116
151,-1,360769117,360769117
161,-1,360769117,360769117
161,-1,360769117,360769117
161,-1,360769118,360769118
161,-1,360769118,360769118
161,-1,360769118,360769119
171,-1,360769119,360769119
171,-1,360769119,360769119
171,-1,360769120,360769120
171,-1,360769120,360769120
171,-1,360769121,360769121
181,-1,360769121,360769121
181,-1,360769121,360769121
181,-1,360769122,360769122
181,-1,360769122,360769122
181,-1,360769123,360769123
191,-1,360769123,360769123
191,-1,360769123,360769124
191,-1,360769124,360769124
191,-1,360769124,360769124
191,-1,360769125,360769125
201,-1,360769125,360769125
201,-1,360769126,360769126
201,-1,360769126,360769126
201,-1,360769126,360769127
201,-1,360769127,360769127
211,-1,360769127,360769127
211,-1,360769128,360769128
211,-1,360769128,360769128
211,-1,360769129,360769129
211,-1,360769129,360769129
221,-1,360769130,360769130
221,-1,360769130,360769130
221,-1,360769131,360769131
221,-1,360769131,360769131
221,-1,360769132,360769132
231,-1,360769132,360769132
231,-1,360769133,360769133
231,-1,360769133,360769133
231,-1,360769134,360769134
231,-1,360769134,360769134
241,-1,360769135,360769135
241,-1,360769135,360769135
241,-1,360769136,360769136
241,-1,360769136,360769136
241,-1,360769137,360769137
251,-1,360769137,360769137
251,-1,360769138,360769138
251,-1,360769138,360769139
251,-1,360769139,360769139
251,-1,360769140,360769140
261,-1,360769140,360769140
261,-1,360769141,360769141
261,-1,360769141,360769141
261,-1,360769142,360769142
261,-1,360769142,360769143
271,-1,360769143,360769143
271,-1,360769144,360769144
271,-1,360769145,360769145
271,-1,360769146,360769146
271,-1,360769146,360769146
281,-1,360769147,360769147
