Vertices,Edges,StartTime,EndTime
1,0,578,578
1,0,578,578
1,0,578,578
1,0,578,578
1,0,578,578
11,29,579,579
11,31,579,579
11,28,579,579
11,28,580,580
11,34,580,580
21,69,581,581
21,67,582,582
21,75,583,583
21,74,584,584
21,80,585,585
31,146,586,586
31,155,588,588
31,160,589,590
31,152,591,591
31,141,593,593
41,252,595,596
41,266,600,600
41,238,603,603
41,252,606,606
41,265,608,609
51,398,613,614
51,381,617,618
51,382,622,623
51,348,626,627
51,366,631,632
61,553,636,638
61,536,643,645
61,571,650,652
61,535,657,658
61,520,662,664
71,734,679,682
71,674,689,691
71,745,698,701
71,686,707,709
71,727,716,719
81,932,727,732
81,930,740,745
81,957,754,758
81,944,767,771
81,951,779,784
91,1160,801,807
91,1128,818,825
91,1180,836,842
91,1134,853,859
91,1186,870,876
101,1383,889,897
101,1399,930,939
101,1381,953,960
101,1407,973,981
101,1420,994,1002
111,1711,1018,1029
111,1689,1051,1062
111,1636,1078,1088
111,1653,1104,1114
111,1692,1131,1141
121,2000,1160,1173
121,2028,1200,1213
121,1982,1231,1245
121,2006,1263,1276
121,2082,1301,1315
131,2321,1336,1353
131,2332,1375,1391
131,2282,1413,1430
131,2321,1457,1474
131,2318,1496,1512
141,2674,1537,1557
141,2703,1589,1611
141,2698,1637,1658
141,2747,1684,1705
141,2724,1738,1759
151,3026,1788,1813
151,3075,1849,1875
151,3143,1905,1931
151,3139,1961,1987
151,3132,2024,2049
161,3539,2081,2112
161,3558,2150,2181
161,3521,2213,2244
161,3612,2281,2312
161,3532,2347,2377
171,3979,2420,2458
171,3958,2495,2532
171,3901,2578,2616
171,3962,2655,2693
171,3831,2739,2774
181,4411,2823,2869
181,4410,2911,2954
181,4354,3000,3042
181,4404,3089,3132
181,4445,3173,3216
191,4835,3266,3317
191,4976,3371,3422
191,4909,3474,3527
191,4905,3579,3634
191,4825,3686,3737
201,5431,3793,3853
201,5540,3907,3967
201,5530,4024,4083
201,5407,4138,4196
201,5376,4253,4312
211,6142,4375,4446
211,5992,4508,4578
211,5985,4640,4708
211,5979,4769,4837
211,5915,4897,4965
221,6677,5032,5112
221,6540,5181,5260
221,6582,5358,5437
221,6443,5498,5575
221,6496,5646,5723
231,7109,5796,5883
231,7147,5956,6044
231,7111,6119,6208
231,7136,6282,6371
231,7111,6447,6552
241,7782,6630,6729
241,7788,6809,6909
241,7761,6988,7089
241,7890,7174,7277
241,7782,7356,7458
251,8330,7546,7655
251,8528,7742,7855
251,8240,7941,8053
251,8300,8139,8252
251,8352,8342,8455
261,9252,8549,8675
261,9133,8765,8891
261,9078,8987,9114
261,9032,9212,9340
261,9147,9465,9591
271,9748,9688,9827
271,9794,9928,10071
271,9652,10171,10311
271,9662,10419,10556
271,9857,10654,10795
281,10488,10908,11067
281,10454,11175,11335
281,10612,11444,11601
