Vertices,Edges,StartTime,EndTime
1,0,4332,4332
1,0,4332,4332
1,0,4333,4333
1,0,4333,4333
1,0,4333,4333
11,28,4333,4333
11,29,4334,4334
11,31,4334,4334
11,27,4335,4335
11,33,4335,4335
21,81,4336,4337
21,82,4338,4339
21,67,4340,4340
21,82,4341,4342
21,77,4343,4344
31,149,4345,4347
31,144,4349,4352
31,137,4354,4356
31,164,4358,4360
31,151,4361,4363
41,261,4366,4372
41,245,4375,4381
41,262,4384,4390
41,236,4410,4416
41,251,4419,4425
51,414,4430,4442
51,408,4447,4458
51,344,4463,4474
51,371,4478,4490
51,409,4495,4506
61,521,4513,4532
61,507,4539,4557
61,534,4564,4584
61,536,4591,4609
61,510,4616,4634
71,723,4644,4675
71,704,4684,4714
71,703,4723,4753
71,718,4762,4791
71,693,4816,4848
81,947,4860,4909
81,918,4939,4987
81,927,5001,5049
81,885,5061,5107
81,984,5119,5166
91,1123,5182,5250
91,1182,5265,5334
91,1157,5366,5434
91,1162,5450,5517
91,1218,5533,5600
101,1421,5619,5712
101,1440,5731,5825
101,1412,5844,5939
101,1382,5958,6050
101,1397,6085,6178
111,1748,6204,6328
111,1663,6351,6475
111,1791,6498,6624
111,1698,6663,6787
111,1753,6810,6936
121,1997,6962,7125
121,2006,7152,7327
121,2037,7369,7533
121,2038,7560,7720
121,2040,7747,7910
131,2333,7941,8149
131,2366,8197,8400
131,2391,8432,8638
131,2385,8669,8878
131,2350,8923,9128
141,2729,9164,9419
141,2707,9455,9714
141,2709,9767,10023
141,2707,10071,10331
141,2655,10367,10623
151,3108,10680,10997
151,2985,11038,11373
151,3031,11429,11743
151,3088,11785,12096
151,3100,12138,12455
161,3413,12516,12897
161,3512,12958,13345
161,3488,13393,13795
161,3488,13854,14238
161,3485,14286,14669
171,4012,14733,15196
171,3979,15275,15744
171,3938,15797,16255
171,3979,16319,16783
171,3919,16846,17310
181,4397,17379,17928
181,4489,17997,18546
181,4495,18614,19162
181,4476,19234,19794
181,4410,19860,20414
191,4857,20488,21142
191,4996,21215,21855
191,4865,21927,22570
191,4933,22641,23286
191,4949,23357,24015
201,5446,24153,24916
201,5416,24989,25750
201,5465,25840,26606
201,5443,26696,27451
201,5336,27525,28286
211,6054,28385,29266
211,5811,29362,30240
211,5946,30337,31216
211,5923,31297,32175
211,5963,32273,33164
221,6511,33267,34280
221,6549,34382,35404
221,6600,35507,36515
221,6586,36616,37627
221,6557,37734,38748
231,7156,38854,40014
231,7141,40126,41283
231,7286,41392,42553
231,7184,42661,43816
231,7073,43925,45083
241,7937,45197,46514
241,7702,46683,47992
241,7606,48099,49411
241,7745,49534,50862
241,7750,50984,52314
251,8451,52456,53931
251,8495,54062,55539
251,8484,55669,57172
251,8367,57302,58781
251,8440,58918,60412
261,9055,60547,62216
261,9106,62357,64027
261,8952,64175,65858
261,9011,65995,67678
261,9095,67813,69508
271,9755,69652,71534
271,9769,71731,73629
271,9785,73779,75646
271,9812,75795,77673
271,9869,77823,79702
281,10467,79874,81990
281,10622,82149,84273
281,10514,84440,86532
281,10453,86712,88805
281,10580,88967,91065
291,11368,91239,93577
291,11115,93749,96064
291,11354,96229,98540
291,11211,98758,101079
291,11301,101248,103566
301,12147,103761,106344
301,12155,106522,109099
301,12151,109287,111862
301,12079,112048,114623
301,12075,114819,117392
311,12862,117587,120440
311,12906,120632,123489
311,12878,123685,126549
311,12914,126793,129671
311,12780,129864,132729
321,13650,132949,136076
321,13785,136293,139427
321,13673,139643,142798
321,13593,143007,146143
321,13779,146357,149509
331,14480,149739,153309
331,14470,153527,156984
331,14379,157255,160758
331,14392,160973,164411
331,14511,164640,168103
341,15403,168358,172170
341,15348,172403,176204
341,15493,176445,180298
341,15348,180536,184328
341,15627,184609,188397
351,16204,188650,192789
351,16105,193044,197180
351,16161,197435,201552
351,16285,201812,205952
351,16229,206203,210341
361,17151,210604,215114
361,17493,215373,219893
361,17172,220202,224702
361,17183,224966,229454
361,17393,229724,234198
371,18314,234489,239371
371,18307,239650,244602
371,18196,244886,249878
371,18084,250202,255113
371,18202,255392,260279
381,19052,260590,265968
381,19351,266265,271513
381,19137,271810,277196
381,18981,277534,282837
381,19273,283132,288406
391,20271,288724,294449
391,20287,294785,300490
391,19997,300807,306487
391,20147,306843,312575
391,20218,312882,318662
401,21204,318997,325165
401,21268,325502,331732
401,21488,332064,338236
401,21225,338557,344722
401,21331,345089,351283
411,22219,351639,358274
411,22328,358615,365284
411,22356,365627,372274
411,22183,372611,379255
411,22297,379641,386307
421,23306,386670,393821
421,23429,394185,401354
421,23436,401726,408850
421,23224,409258,416415
421,23412,416778,423950
431,24485,424342,432024
431,24472,432398,440095
431,24731,440515,448189
431,24766,448566,456242
431,24426,456652,464284
441,25392,464679,472928
441,25630,473360,481592
441,25560,482010,490222
441,25661,490630,498828
441,25618,499239,507513
451,26816,507995,516766
451,26509,517177,526136
451,26702,526566,535366
451,26870,535829,544594
451,26921,545006,553819
461,28191,554264,563671
461,28253,564103,573476
461,28006,573944,583384
461,27870,583828,593219
461,27736,593651,603099
471,29075,603586,613597
471,29270,614069,624036
471,29160,624491,634542
471,29118,635028,645051
471,29062,645513,655561
481,30280,656035,666721
481,30477,667223,677904
481,30615,678385,689054
481,30600,689534,700225
481,30215,700749,711406
491,31684,711896,723249
491,31570,723749,735169
491,31658,735711,747150
491,31769,747644,758998
491,31708,759501,770867
501,33327,771414,783654
501,32880,784167,796333
501,33370,796852,808910
501,33050,809488,821570
501,33088,822087,834204
511,34292,834747,847502
511,34341,848066,860897
511,34423,861445,874278
511,34540,874858,887814
511,34305,888363,901219
521,35887,901821,915486
521,35989,916053,929583
521,35626,930182,943845
521,36021,944408,958027
521,35711,958626,972313
531,37224,972897,987270
531,37299,987853,1002225
531,37228,1002843,1017278
531,37148,1017862,1032216
531,37224,1032799,1047101
541,38583,1047729,1063005
541,38667,1063614,1078844
541,38515,1079479,1094822
541,38470,1095427,1110605
541,38657,1111274,1126563
551,39715,1127193,1143327
551,40579,1143981,1160180
551,40072,1160827,1176972
551,40046,1177624,1193779
551,39993,1194418,1210607
561,41791,1211282,1228386
561,41159,1229042,1246058
561,41400,1246745,1263867
561,41400,1264524,1281544
561,41977,1282220,1299243
571,42903,1299921,1317898
571,42698,1318591,1336534
571,42510,1337208,1355129
571,43053,1355834,1373782
571,43110,1374459,1392412
581,44456,1393141,1412021
581,44200,1412724,1431768
581,44310,1432504,1451424
581,44536,1452121,1471019
581,44128,1471766,1490704
591,46383,1491437,1511307
591,45553,1512045,1531930
591,45955,1532671,1552588
591,46081,1553329,1573162
591,45829,1573891,1593814
601,47356,1594576,1615426
601,47372,1616174,1637129
601,47513,1637891,1658907
601,47596,1659667,1680662
601,47600,1681424,1702387
611,48919,1703226,1725178
611,49179,1726009,1748032
611,49222,1748860,1770803
611,49180,1771655,1793621
611,48662,1794453,1816382
621,50713,1817242,1840397
621,50577,1841271,1864325
621,50341,1865185,1888220
621,50637,1889081,1912246
621,50754,1913104,1936292
631,52149,1937178,1961439
631,52211,1962322,1986623
631,52237,1987512,2011676
631,52068,2012555,2036803
631,52151,2037682,2061881
641,54119,2062788,2088215
641,53796,2089115,2114573
641,54266,2115482,2140910
641,54142,2141817,2167257
641,53970,2168166,2193532
651,55719,2194467,2221126
651,55611,2222060,2248729
651,55405,2249663,2276239
651,55620,2277175,2303808
651,56075,2304744,2331449
661,57082,2332411,2360293
661,57094,2361247,2389165
661,57361,2390135,2418030
661,57125,2419022,2446878
661,57279,2447846,2475670
671,59161,2476679,2505976
671,59045,2506964,2536048
671,58867,2537057,2566371
671,58537,2567360,2596577
671,59160,2597565,2626682
681,60913,2627694,2658075
681,61118,2659088,2689575
681,60761,2690614,2721181
681,60729,2722189,2752828
681,60983,2753844,2784433
691,62818,2785481,2817258
691,62385,2818301,2849949
691,62697,2850984,2882859
691,62942,2883898,2915868
691,62478,2916910,2948848
701,64469,2949919,2983238
701,64465,2984329,3017779
701,64815,3018851,3052073
701,64691,3053142,3086645
701,64773,3087713,3120928
711,66494,3122031,3156764
711,66741,3157876,3192392
711,66273,3193503,3228271
711,66502,3229366,3264020
711,66053,3265118,3299798
721,68285,3300917,3337224
721,68430,3338348,3374451
721,68047,3375577,3411801
721,68150,3412939,3449080
721,68242,3450210,3486288
731,69884,3487487,3525259
731,70252,3526411,3564197
731,70141,3565351,3603131
731,70422,3604287,3642239
731,70580,3643392,3681163
741,71930,3682345,3721536
741,71909,3722725,3762060
741,72422,3763229,3802490
741,71744,3803670,3842987
741,71877,3844169,3883487
751,73852,3884692,3925627
