Vertices,Edges,StartTime,EndTime
2,0,147194,147194
2,0,147194,147194
2,0,147196,147196
2,0,147196,147196
2,0,147196,147196
12,27,147196,147196
12,25,147196,147197
12,24,147198,147198
12,31,147199,147199
12,27,147200,147200
22,71,147202,147205
22,82,147206,147209
22,78,147210,147212
22,65,147213,147216
22,84,147217,147220
32,150,147221,147228
32,154,147229,147237
32,164,147239,147247
32,141,147248,147255
32,143,147256,147263
42,258,147265,147278
42,254,147282,147294
42,222,147297,147309
42,265,147312,147325
42,246,147326,147340
52,422,147344,147367
52,383,147371,147393
52,382,147397,147418
52,416,147422,147445
52,400,147449,147471
62,514,147478,147510
62,548,147516,147575
62,525,147580,147610
62,512,147615,147645
62,542,147651,147690
72,691,147696,147740
72,705,147747,147793
72,727,147800,147853
72,706,147859,147905
72,714,147912,147969
82,902,147978,148047
82,941,148060,148179
82,928,148188,148266
82,939,148275,148347
82,924,148356,148434
92,1133,148445,148538
92,1132,148560,148649
92,1204,148661,148791
92,1230,148807,148958
92,1173,148969,149067
102,1431,149080,149218
102,1343,149232,149362
102,1471,149375,149523
102,1457,149549,149704
102,1488,149717,149858
112,1695,149875,150190
112,1675,150205,150367
112,1643,150382,150542
112,1709,150558,150730
112,1730,150746,150912
122,1986,150930,151133
122,2081,151152,151363
122,2005,151381,151587
122,2067,151605,151814
122,2026,151832,152040
132,2344,152062,152320
132,2406,152341,152613
132,2387,152635,152894
132,2389,152915,153181
132,2344,153202,153460
142,2737,153489,153810
142,2690,153834,154150
142,2642,154179,154494
142,2713,154520,154840
142,2601,154865,155192
152,3031,155221,155610
152,3052,155638,156021
152,3153,156051,156440
152,3180,156472,156863
152,3070,156894,157283
162,3416,157317,157773
162,3390,157808,158255
162,3559,158291,158781
162,3525,158818,159280
162,3503,159312,159772
172,3895,159817,160354
172,3996,160390,160942
172,3931,160978,161517
172,4040,161558,162109
172,3959,162153,162703
182,4361,162748,163414
182,4372,163458,164088
182,4369,164128,164761
182,4411,164801,165440
182,4524,165483,166138
192,4838,166188,166947
192,4944,166990,167738
192,4875,167783,168525
192,4965,168569,169322
192,4867,169366,170113
202,5548,170162,171089
202,5473,171138,172006
202,5522,172060,172934
202,5476,172986,173859
202,5364,173913,174806
212,6048,174867,175866
212,5916,175927,176897
212,5984,176955,177954
212,6131,178015,179065
212,6016,179126,180126
222,6450,180189,181301
222,6522,181394,182504
222,6387,182571,183671
222,6495,183735,184846
222,6487,184910,186036
232,7192,186108,187452
232,7138,187521,188842
232,7089,188912,190182
232,7054,190251,191525
232,7027,191595,192869
242,7824,192946,194428
242,7723,194528,195986
242,7610,196063,197545
242,7882,197623,199188
242,7795,199265,200810
252,8474,200893,202537
252,8411,202619,204269
252,8309,204355,205960
252,8410,206050,207717
252,8314,207800,209373
262,8889,209460,211246
262,9145,211342,213285
262,8981,213400,215290
262,9129,215382,217275
262,9077,217364,219320
272,9795,219419,221524
272,9667,221621,223740
272,9810,223841,225950
272,9811,226046,228226
272,9735,228324,230339
282,10398,230446,232649
282,10461,232751,234999
282,10630,235108,237401
282,10617,237507,239734
282,10496,239839,242067
292,11311,242181,244645
292,11374,244757,247335
292,11384,247443,249909
292,11261,250022,252491
292,11307,252599,255051
302,12136,255168,257973
302,11989,258095,260790
302,12049,260911,263624
302,12119,263745,266498
302,12022,266628,269368
312,13067,269492,272549
312,13012,272680,275914
312,12789,276066,279288
312,12857,279414,282517
312,12841,282646,285706
322,13807,285846,289372
322,13863,289550,292978
322,13558,293113,296478
322,13655,296613,300016
322,13640,300152,303668
332,14407,303813,307455
332,14546,307601,311270
332,14501,311421,315206
332,14604,315355,319166
332,14602,319313,323113
