Vertices,Edges,StartTime,EndTime
1,-1,360624896,360624896
1,-1,360624896,360624896
1,-1,360624896,360624896
1,-1,360624897,360624897
1,-1,360624897,360624897
11,-1,360624897,360624897
11,-1,360624897,360624897
11,-1,360624898,360624898
11,-1,360624898,360624898
11,-1,360624898,360624898
21,-1,360624898,360624898
21,-1,360624899,360624899
21,-1,360624899,360624899
21,-1,360624899,360624899
21,-1,360624900,360624900
31,-1,360624900,360624900
31,-1,360624900,360624900
31,-1,360624901,360624901
31,-1,360624901,360624901
31,-1,360624902,360624902
41,-1,360624902,360624902
41,-1,360624902,360624903
41,-1,360624903,360624903
41,-1,360624903,360624904
41,-1,360624904,360624904
51,-1,360624905,360624905
51,-1,360624905,360624906
51,-1,360624906,360624906
51,-1,360624907,360624907
51,-1,360624907,360624908
61,-1,360624908,360624909
61,-1,360624909,360624910
61,-1,360624910,360624910
61,-1,360624911,360624911
61,-1,360624912,360624912
71,-1,360624913,360624913
71,-1,360624914,360624915
71,-1,360624915,360624916
71,-1,360624916,360624917
71,-1,360624917,360624918
81,-1,360624919,360624920
81,-1,360624920,360624921
81,-1,360624922,360624923
81,-1,360624923,360624924
81,-1,360624925,360624926
91,-1,360624926,360624928
91,-1,360624928,360624930
91,-1,360624930,360624932
91,-1,360624932,360624934
91,-1,360624934,360624936
101,-1,360624936,360624938
101,-1,360624938,360624940
101,-1,360624941,360624943
101,-1,360624943,360624945
101,-1,360624946,360624948
111,-1,360624948,360624951
111,-1,360624951,360624954
111,-1,360624954,360624956
111,-1,360624957,360624959
111,-1,360624960,360624962
121,-1,360624963,360624966
121,-1,360624966,360624969
121,-1,360624970,360624973
121,-1,360624974,360624977
121,-1,360624977,360624980
131,-1,360624981,360624985
131,-1,360624985,360624989
131,-1,360624989,360624993
131,-1,360624993,360624997
131,-1,360624998,360625001
141,-1,360625002,360625006
141,-1,360625007,360625011
141,-1,360625012,360625016
141,-1,360625017,360625021
141,-1,360625022,360625026
151,-1,360625027,360625032
151,-1,360625033,360625038
151,-1,360625039,360625044
151,-1,360625044,360625050
151,-1,360625050,360625056
161,-1,360625056,360625062
161,-1,360625063,360625069
161,-1,360625070,360625076
161,-1,360625077,360625083
161,-1,360625084,360625090
171,-1,360625091,360625098
171,-1,360625099,360625106
171,-1,360625107,360625114
171,-1,360625115,360625122
171,-1,360625123,360625130
181,-1,360625131,360625139
181,-1,360625140,360625148
181,-1,360625149,360625157
181,-1,360625158,360625167
181,-1,360625167,360625176
191,-1,360625177,360625186
191,-1,360625187,360625197
191,-1,360625197,360625207
191,-1,360625208,360625217
191,-1,360625218,360625228
201,-1,360625228,360625239
201,-1,360625240,360625251
201,-1,360625252,360625263
