Vertices,Edges,StartTime,EndTime
1,1,850376,850376
1,0,850376,850376
1,1,850377,850377
1,0,850377,850377
1,0,850377,850377
11,41,850377,850377
11,40,850378,850378
11,41,850378,850378
11,43,850379,850379
11,28,850380,850380
21,126,850381,850381
21,132,850383,850383
21,120,850384,850384
21,122,850386,850386
21,121,850387,850387
31,257,850390,850391
31,278,850393,850394
31,247,850397,850398
31,260,850400,850401
31,245,850403,850403
41,432,850405,850406
41,474,850408,850409
41,456,850412,850413
41,465,850415,850416
41,473,850418,850419
51,658,850423,850425
51,664,850428,850430
51,685,850434,850436
51,690,850439,850441
51,729,850445,850447
61,986,850452,850455
61,1001,850460,850464
61,964,850475,850478
61,1006,850483,850487
61,967,850492,850495
71,1331,850502,850507
71,1329,850514,850519
71,1316,850526,850531
71,1331,850536,850542
71,1329,850548,850553
81,1700,850562,850570
81,1660,850578,850585
81,1753,850594,850602
81,1737,850617,850625
81,1711,850633,850641
91,2122,850652,850662
91,2073,850673,850683
91,2165,850694,850705
91,2190,850716,850726
91,2156,850737,850748
101,2598,850766,850780
101,2642,850794,850808
101,2688,850822,850836
101,2575,850849,850863
101,2671,850877,850891
111,3146,850907,850926
111,3219,850948,850968
111,3122,850984,851002
111,3211,851018,851037
111,3114,851053,851072
121,3730,851096,851120
121,3803,851140,851164
121,3721,851183,851208
121,3707,851227,851251
121,3775,851276,851301
131,4428,851324,851355
131,4338,851377,851408
131,4414,851437,851467
131,4410,851490,851521
131,4489,851544,851576
141,5101,851608,851648
141,5059,851673,851712
141,5081,851738,851776
141,5065,851809,851848
141,5050,851875,851913
151,5812,851943,851990
151,5764,852026,852073
151,5799,852103,852150
151,5797,852186,852233
151,5857,852262,852312
161,6593,852351,852409
161,6576,852443,852500
161,6460,852540,852595
161,6663,852629,852686
161,6687,852725,852781
171,7388,852819,852888
171,7379,852930,852998
171,7381,853040,853109
171,7475,853151,853220
171,7430,853258,853326
181,8275,853374,853454
181,8273,853500,853580
181,8349,853629,853714
181,8333,853759,853840
181,8288,853886,853966
191,9253,854018,854112
191,9351,854164,854259
191,9218,854310,854404
191,9363,854456,854551
191,9324,854602,854696
201,10193,854754,854867
201,10239,854959,855078
201,10275,855131,855244
201,10245,855303,855415
201,10234,855474,855584
211,11257,855646,855784
211,11338,855850,855980
211,11478,856045,856177
211,11401,856242,856371
211,11282,856435,856562
221,12373,856630,856776
221,12373,856845,856990
221,12273,857058,857202
221,12389,857271,857416
221,12447,857483,857628
231,13510,857706,857872
