Vertices,Edges,StartTime,EndTime
1,0,562629,562629
1,0,562629,562629
1,0,562629,562629
1,0,562630,562630
1,0,562630,562630
11,41,562630,562630
11,48,562630,562630
11,37,562630,562630
11,34,562630,562630
11,34,562631,562631
21,120,562631,562632
21,127,562632,562632
21,131,562633,562634
21,134,562635,562635
21,114,562636,562636
31,252,562637,562637
31,259,562639,562639
31,255,562640,562641
31,248,562643,562643
31,261,562643,562643
41,457,562646,562646
41,423,562649,562649
41,459,562652,562652
41,430,562655,562655
41,492,562658,562658
51,613,562662,562662
51,659,562666,562667
51,700,562670,562671
51,711,562675,562675
51,684,562680,562680
61,978,562686,562686
61,1015,562691,562692
61,1031,562698,562699
61,1044,562704,562705
61,982,562711,562711
71,1314,562719,562719
71,1349,562727,562728
71,1298,562735,562736
71,1296,562769,562770
71,1327,562777,562778
81,1649,562787,562787
81,1693,562795,562796
81,1696,562805,562806
81,1717,562814,562815
81,1750,562824,562825
91,2162,562837,562838
91,2136,562849,562851
91,2108,562868,562869
91,2167,562880,562881
91,2168,562893,562894
101,2623,562907,562909
101,2554,562922,562924
101,2641,562937,562939
101,2695,562959,562960
101,2616,562974,562976
111,3130,562992,562994
111,3268,563011,563012
111,3166,563029,563030
111,3168,563054,563055
111,3117,563072,563073
121,3769,563093,563095
121,3772,563115,563116
121,3684,563142,563144
121,3728,563164,563166
121,3741,563185,563187
131,4413,563210,563211
131,4405,563241,563243
131,4396,563266,563268
131,4397,563292,563294
131,4345,563324,563325
141,5083,563352,563354
141,5171,563381,563383
141,5107,563417,563419
141,4946,563446,563448
141,5051,563475,563477
151,5971,563515,563518
151,5749,563549,563552
151,5629,563589,563591
151,5792,563622,563625
151,5785,563662,563665
161,6537,563699,563702
161,6596,563736,563746
161,6654,563781,563783
161,6595,563818,563820
161,6497,563862,563864
171,7289,563910,563913
171,7425,563952,563955
171,7534,564000,564003
171,7519,564041,564044
171,7421,564090,564093
181,8118,564141,564144
181,8393,564192,564196
181,8188,564241,564244
181,8334,564293,564296
181,8250,564346,564349
191,9278,564402,564406
191,9294,564463,564467
191,9238,564519,564523
191,9238,564578,564582
191,9269,564636,564640
201,10273,564700,564704
201,10177,564764,564768
201,10229,564828,564833
201,10174,564890,564895
201,10270,564984,564988
211,11238,565048,565053
211,11194,565122,565127
211,11264,565196,565201
211,11394,565280,565285
211,11416,565345,565350
221,12401,565443,565448
221,12281,565520,565525
221,12521,565597,565603
221,12548,565674,565679
221,12461,565751,565756
231,13615,565836,565842
231,13534,565918,565924
231,13551,566003,566008
231,13579,566086,566091
231,13613,566169,566174
241,14565,566258,566264
241,14675,566350,566356
241,14729,566442,566447
241,14776,566556,566563
241,14811,566647,566652
251,15727,566743,566749
251,16005,566840,566846
251,16045,566935,566942
251,16122,567033,567039
251,15895,567129,567135
261,16962,567242,567248
261,17320,567348,567355
261,17110,567453,567460
261,17164,567556,567563
261,17279,567664,567670
271,18582,567778,567787
271,18683,567893,567901
271,18518,568034,568041
271,18623,568147,568154
271,18459,568259,568266
281,19988,568384,568391
281,20005,568502,568509
281,19913,568626,568634
281,19719,568751,568759
281,20005,568872,568880
291,21273,569004,569012
291,21475,569134,569145
291,21421,569270,569278
291,21284,569431,569439
291,21346,569559,569567
301,23096,569702,569711
301,22913,569839,569848
301,22736,569980,569989
301,22953,570120,570129
301,22957,570265,570274
311,24538,570414,570423
311,24446,570565,570574
311,24424,570716,570725
311,24466,570894,570903
311,24345,571038,571047
321,25714,571201,571211
321,25896,571365,571374
321,26232,571528,571537
321,26256,571703,571713
321,25863,571864,571873
331,27673,572046,572056
331,27776,572221,572232
331,27607,572426,572436
331,27852,572601,572612
331,27298,572769,572779
341,29206,572946,572957
341,29508,573127,573138
341,29507,573310,573321
341,29322,573490,573501
341,29431,573701,573712
351,31088,573888,573900
351,31099,574079,574090
351,31049,574274,574285
351,31194,574464,574476
351,31044,574657,574669
361,32863,574861,574876
361,33081,575095,575107
361,32875,575296,575309
361,32821,575496,575509
361,32684,575704,575717
371,34516,575925,575938
371,34591,576141,576154
371,34399,576385,576398
371,34537,576596,576610
371,34474,576816,576829
381,36613,577038,577052
381,36695,577269,577283
381,36398,577527,577542
381,36644,577748,577763
381,36798,577980,577994
391,38401,578222,578237
391,38735,578464,578479
391,38944,578733,578749
391,38665,578968,578991
391,38598,579211,579226
401,40396,579459,579481
401,40653,579751,579767
401,40677,580006,580023
401,40440,580260,580276
401,40447,580519,580535
411,42323,580827,580843
411,42750,581092,581109
411,42439,581380,581396
411,42451,581649,581666
411,42513,581917,581934
421,44780,582228,582245
421,44765,582505,582526
421,44712,582790,582807
421,44535,583066,583088
421,44475,583374,583391
431,46671,583657,583675
431,46589,583951,583970
431,46586,584243,584262
431,46824,584566,584584
431,46729,584870,584888
441,49033,585226,585244
441,48679,585565,585584
441,48750,585863,585890
441,49012,586170,586195
441,49090,586518,586536
451,51221,586872,586892
451,51156,587189,587208
451,50955,587543,587562
451,51025,587866,587886
451,51357,588189,588209
461,53489,588558,588578
461,53514,588896,588916
461,53326,589230,589250
461,53185,589598,589619
461,53564,589928,589948
471,55743,590276,590297
471,55816,590660,590681
471,55802,591002,591023
471,55343,591355,591377
471,55558,591732,591752
481,58387,592092,592114
481,57940,592460,592482
481,57779,592863,592884
481,58187,593260,593281
481,58173,593626,593648
491,60514,594050,594073
491,60899,594422,594444
491,60788,594807,594829
491,60877,595218,595241
491,60267,595598,595620
501,63031,596024,596046
501,63029,596412,596436
501,63215,596866,596889
501,63378,597302,597326
501,63424,597703,597729
511,65453,598141,598166
511,65540,598558,598583
511,65941,599003,599026
511,65656,599409,599433
511,65783,599834,599860
521,68436,600286,600311
521,68319,600722,600749
521,68377,601181,601207
521,68620,601608,601633
521,68436,602038,602069
531,70752,602514,602539
531,70682,602955,602980
531,71156,603451,603477
531,70861,603893,603919
531,70534,604342,604371
541,73646,604832,604859
541,73922,605295,605329
541,73055,605789,605815
541,73532,606257,606284
541,73269,606749,606775
551,76011,607247,607274
551,76494,607764,607792
551,76726,608236,608264
551,76546,608750,608778
551,75911,609220,609248
561,79426,609750,609777
561,78211,610267,610294
561,79019,610785,610820
561,79152,611304,611337
561,78773,611830,611858
571,82007,612334,612368
571,81809,612879,612907
571,81553,613404,613435
571,82146,613946,613974
571,81700,614461,614492
581,84699,615018,615048
581,84633,615585,615614
581,84808,616120,616151
581,84387,616687,616716
581,84853,617253,617282
591,87622,617802,617836
591,87672,618390,618421
591,87544,618986,619016
591,87702,619531,619564
591,87970,620118,620148
601,90703,620722,620753
601,90879,621293,621327
601,90767,621905,621936
601,90966,622501,622533
601,91012,623217,623255
611,93949,623837,623869
611,93468,624427,624460
611,94102,625049,625081
611,93985,625670,625702
