Vertices,Edges,StartTime,EndTime
1,-1,359309178,359309178
1,-1,359309178,359309178
1,-1,359309178,359309178
1,-1,359309178,359309178
1,-1,359309178,359309178
11,-1,359309179,359309179
11,-1,359309179,359309179
11,-1,359309179,359309179
11,-1,359309179,359309179
11,-1,359309180,359309180
21,-1,359309180,359309180
21,-1,359309180,359309180
21,-1,359309180,359309180
21,-1,359309181,359309181
21,-1,359309181,359309181
31,-1,359309181,359309181
31,-1,359309182,359309182
31,-1,359309182,359309182
31,-1,359309182,359309182
31,-1,359309183,359309183
41,-1,359309183,359309183
41,-1,359309183,359309184
41,-1,359309184,359309184
41,-1,359309184,359309184
41,-1,359309185,359309185
51,-1,359309185,359309185
51,-1,359309186,359309186
51,-1,359309186,359309186
51,-1,359309187,359309187
51,-1,359309187,359309187
61,-1,359309188,359309188
61,-1,359309188,359309189
61,-1,359309189,359309189
61,-1,359309190,359309190
61,-1,359309190,359309191
71,-1,359309191,359309191
71,-1,359309192,359309192
71,-1,359309193,359309193
71,-1,359309193,359309194
71,-1,359309194,359309195
81,-1,359309195,359309196
81,-1,359309196,359309197
81,-1,359309197,359309198
81,-1,359309198,359309199
81,-1,359309199,359309200
91,-1,359309201,359309201
91,-1,359309202,359309202
91,-1,359309203,359309204
91,-1,359309204,359309205
91,-1,359309205,359309206
101,-1,359309207,359309208
101,-1,359309208,359309209
101,-1,359309210,359309211
101,-1,359309211,359309212
101,-1,359309213,359309214
111,-1,359309214,359309215
111,-1,359309216,359309217
111,-1,359309218,359309219
111,-1,359309220,359309221
111,-1,359309222,359309223
121,-1,359309224,359309225
121,-1,359309226,359309227
121,-1,359309228,359309229
121,-1,359309230,359309232
121,-1,359309232,359309234
131,-1,359309235,359309236
131,-1,359309237,359309239
131,-1,359309240,359309241
131,-1,359309242,359309244
131,-1,359309245,359309247
141,-1,359309248,359309250
141,-1,359309251,359309253
141,-1,359309254,359309256
141,-1,359309257,359309259
141,-1,359309260,359309262
151,-1,359309263,359309266
151,-1,359309267,359309269
151,-1,359309271,359309273
151,-1,359309274,359309277
151,-1,359309278,359309280
161,-1,359309281,359309284
161,-1,359309285,359309288
161,-1,359309290,359309293
161,-1,359309294,359309297
161,-1,359309298,359309301
171,-1,359309302,359309306
171,-1,359309307,359309310
