Vertices,Edges,StartTime,EndTime
1,1,3220,3220
1,1,3220,3220
1,1,3220,3220
1,1,3220,3220
1,1,3221,3221
11,121,3221,3221
11,121,3221,3221
11,121,3222,3222
11,121,3223,3223
11,121,3224,3224
21,441,3226,3227
21,441,3228,3229
21,441,3230,3231
21,441,3232,3233
21,441,3235,3236
31,961,3239,3243
31,961,3245,3248
31,961,3251,3254
31,961,3257,3260
31,961,3263,3266
41,1681,3270,3277
41,1681,3282,3289
41,1681,3293,3301
41,1681,3305,3313
41,1681,3317,3324
51,2601,3331,3344
51,2601,3351,3365
51,2601,3371,3385
51,2601,3408,3422
51,2601,3428,3443
61,3721,3452,3476
61,3721,3484,3508
61,3721,3517,3540
61,3721,3549,3574
61,3721,3582,3606
71,5041,3618,3655
71,5041,3666,3703
71,5041,3715,3752
71,5041,3764,3802
71,5041,3813,3850
81,6561,3880,3935
81,6561,3950,4005
81,6561,4021,4075
81,6561,4091,4147
81,6561,4162,4221
91,8281,4241,4322
91,8281,4357,4435
91,8281,4455,4533
91,8281,4552,4631
91,8281,4650,4729
101,10201,4753,4861
101,10201,4900,5007
101,10201,5031,5138
101,10201,5162,5271
101,10201,5307,5415
111,12321,5456,5597
111,12321,5627,5767
111,12321,5815,5960
111,12321,5989,6131
111,12321,6171,6315
121,14641,6347,6531
121,14641,6577,6763
121,14641,6797,6981
121,14641,7014,7200
121,14641,7246,7433
131,17161,7473,7707
131,17161,7755,7995
131,17161,8041,8274
131,17161,8314,8547
131,17161,8602,8834
141,19881,8884,9172
141,19881,9221,9511
141,19881,9562,9850
141,19881,9911,10201
141,19881,10319,10601
151,22801,10653,10998
151,22801,11071,11422
151,22801,11490,11839
151,22801,11889,12240
151,22801,12310,12655
161,25921,12715,13138
161,25921,13212,13631
161,25921,13703,14122
161,25921,14205,14621
161,25921,14687,15104
171,29241,15179,15678
171,29241,15750,16253
171,29241,16329,16828
171,29241,16953,17455
171,29241,17522,18023
181,32761,18114,18709
181,32761,18799,19392
181,32761,19467,20078
181,32761,20170,20764
181,32761,20852,21472
191,36481,21580,22280
191,36481,22372,23065
191,36481,23211,23904
191,36481,24010,24706
191,36481,24805,25499
201,40401,25607,26421
201,40401,26529,27348
201,40401,27455,28280
201,40401,28387,29201
201,40401,29304,30130
211,44521,30302,31268
211,44521,31376,32323
211,44521,32444,33412
211,44521,33546,34513
211,44521,34628,35582
221,48841,35714,36792
221,48841,36969,38052
221,48841,38186,39268
221,48841,39413,40488
221,48841,40613,41696
231,53361,41836,43063
231,53361,43202,44430
231,53361,44629,45865
231,53361,46007,47253
231,53361,47398,48630
241,58081,48786,50180
241,58081,50331,51730
241,58081,51930,53333
241,58081,53482,54878
241,58081,55027,56438
251,63001,56614,58192
251,63001,58404,59976
251,63001,60141,61722
251,63001,61895,63472
251,63001,63646,65218
261,68121,65449,67232
261,68121,67410,69193
261,68121,69377,71161
261,68121,71341,73158
261,68121,73396,75230
271,73441,75420,77432
271,73441,77632,79628
271,73441,79824,81832
271,73441,82077,84061
271,73441,84251,86241
281,78961,86454,88674
281,78961,88933,91145
281,78961,91361,93594
281,78961,93880,96106
281,78961,96315,98530
291,84681,98812,101267
291,84681,101492,103951
291,84681,104227,106684
291,84681,106911,109390
291,84681,109667,112132
301,90601,112374,115090
301,90601,115383,118147
301,90601,118390,121105
301,90601,121398,124180
301,90601,124445,127532
311,96721,127879,131221
311,96721,131476,134485
311,96721,134794,137783
311,96721,138036,141047
311,96721,141351,144361
321,103041,144652,148001
321,103041,148333,151813
321,103041,152126,155829
321,103041,156167,159484
321,103041,159761,163106
331,109561,163457,167067
331,109561,167369,170991
331,109561,171322,174936
331,109561,175233,178856
331,109561,179197,182834
341,116281,183155,187087
341,116281,187436,191430
341,116281,191743,195733
341,116281,196103,200125
341,116281,200442,204437
351,123201,204816,209303
351,123201,209653,214111
351,123201,214483,218811
351,123201,219203,223539
351,123201,223926,228235
361,130321,228634,233368
361,130321,233772,238450
361,130321,238849,243526
361,130321,243927,248602
361,130321,249003,253692
371,137641,254128,259283
371,137641,259718,264830
371,137641,265255,270353
371,137641,270776,275869
371,137641,276297,281405
381,145161,281873,287426
381,145161,287873,293437
381,145161,293881,299533
381,145161,300005,305548
381,145161,305993,311588
391,152881,312064,318006
391,152881,318468,324437
391,152881,324927,330936
391,152881,331407,337378
391,152881,337844,343823
401,160801,344332,351104
401,160801,351590,358380
401,160801,358861,365601
401,160801,366091,372867
401,160801,373350,380036
411,168921,380553,387485
411,168921,387995,395010
411,168921,395511,402455
411,168921,402979,409962
411,168921,410464,417402
421,177241,417935,425426
421,177241,425959,433426
421,177241,433953,441362
421,177241,441901,449322
421,177241,449841,457289
431,185761,457864,465917
431,185761,466498,474593
431,185761,475144,483251
431,185761,483817,491804
431,185761,492357,500420
441,194481,500997,509526
441,194481,510098,518725
441,194481,519301,527858
441,194481,528463,537091
441,194481,537674,546390
451,203401,547041,556584
451,203401,557187,566328
451,203401,566931,576043
451,203401,576648,585849
451,203401,586451,595637
461,212521,596263,606007
461,212521,606632,616398
461,212521,617022,626773
461,212521,627410,637207
461,212521,637831,647744
471,221841,648425,658953
471,221841,659669,670073
471,221841,670790,681523
471,221841,682266,692813
471,221841,693530,704001
481,231361,704738,715918
481,231361,716641,727694
481,231361,728423,739491
481,231361,740212,751360
481,231361,752077,763230
491,241081,764063,776043
491,241081,776849,788761
491,241081,789584,801495
491,241081,802305,814173
491,241081,815012,826882
501,251001,827727,840335
501,251001,841191,853733
501,251001,854571,867248
501,251001,868103,880644
501,251001,881480,894036
511,261121,894905,908557
511,261121,909433,922746
511,261121,923610,937044
511,261121,937925,951333
511,261121,952200,965535
521,271441,966441,980552
521,271441,981448,995870
521,271441,996783,1010945
521,271441,1011833,1026100
521,271441,1027025,1041118
531,281961,1042048,1056969
531,281961,1057898,1072907
531,281961,1073837,1088788
531,281961,1089732,1104564
531,281961,1105502,1120328
541,292681,1121302,1137083
541,292681,1138065,1153802
541,292681,1154794,1170804
541,292681,1171775,1187671
541,292681,1188644,1204532
551,303601,1205527,1222124
551,303601,1223116,1239882
551,303601,1240883,1257624
551,303601,1258608,1275645
551,303601,1276633,1293404
561,314721,1294524,1312531
561,314721,1313644,1331330
561,314721,1332460,1350296
561,314721,1351446,1369417
561,314721,1370518,1388255
571,326041,1389415,1408191
571,326041,1409342,1428294
571,326041,1429451,1448092
571,326041,1449264,1468135
571,326041,1469262,1487905
581,337561,1489078,1508688
581,337561,1509850,1529423
581,337561,1530584,1550311
581,337561,1551483,1571168
581,337561,1572325,1592246
591,349281,1593442,1614014
591,349281,1615225,1635936
591,349281,1637142,1657535
591,349281,1658726,1679173
591,349281,1680380,1700799
601,361201,1702028,1723635
601,361201,1724865,1746401
601,361201,1747676,1769425
601,361201,1770677,1792724
601,361201,1794004,1815660
611,373321,1816970,1839748
611,373321,1841075,1863998
611,373321,1865314,1887958
611,373321,1889290,1912345
611,373321,1913658,1936665
621,385641,1938037,1961862
621,385641,1963304,1987329
621,385641,1988744,2012569
621,385641,2014007,2038085
621,385641,2039503,2063486
631,398161,2065075,2090339
631,398161,2091845,2117284
631,398161,2118787,2144050
631,398161,2145553,2171095
631,398161,2172619,2197964
641,410881,2199495,2225860
641,410881,2227455,2253774
641,410881,2255358,2281696
641,410881,2283279,2309246
641,410881,2310860,2337420
651,423801,2339035,2366726
651,423801,2368317,2395560
651,423801,2397143,2424771
651,423801,2426346,2454205
651,423801,2455788,2483764
661,436921,2485412,2514459
661,436921,2516067,2545406
661,436921,2547019,2576250
661,436921,2577861,2607294
661,436921,2608933,2638287
671,450241,2639930,2670845
671,450241,2672500,2703403
671,450241,2705052,2735494
671,450241,2737150,2767702
671,450241,2769421,2800028
681,463761,2801929,2833577
681,463761,2835440,2867509
681,463761,2869342,2901289
681,463761,2903126,2934997
681,463761,2936856,2968642
691,477481,2970541,3003916
691,477481,3005791,3038894
691,477481,3040782,3074065
691,477481,3075948,3109034
691,477481,3110924,3143965
701,491401,3145891,3180381
701,491401,3182310,3216872
701,491401,3218796,3253295
701,491401,3255241,3289558
701,491401,3291500,3326061
711,505521,3328018,3363948
711,505521,3365944,3402346
711,505521,3404355,3441080
711,505521,3443124,3479706
711,505521,3481697,3518051
721,519841,3520061,3558259
721,519841,3560251,3598279
721,519841,3600309,3638394
721,519841,3640426,3678336
721,519841,3680335,3718343
731,534361,3720539,3759858
731,534361,3762030,3801820
731,534361,3803981,3843292
731,534361,3845475,3884787
731,534361,3886950,3926240
741,549081,3928492,3969863
741,549081,3972073,4013096
741,549081,4015319,4056510
741,549081,4058721,4100000
741,549081,4102221,4143721
751,564001,4145988,4189905
751,564001,4192226,4236611
751,564001,4238934,4283591
751,564001,4285921,4330612
751,564001,4332925,4377670
761,579121,4380063,4426795
761,579121,4429184,4475856
761,579121,4478256,4525081
761,579121,4527462,4574241
761,579121,4576620,4623329
771,594441,4625771,4674382
771,594441,4676838,4725450
771,594441,4727894,4776446
771,594441,4778914,4827483
771,594441,4829925,4878414
781,609961,4880902,4931455
781,609961,4933943,4984448
781,609961,4986964,5037539
781,609961,5040053,5090550
781,609961,5093051,5143516
791,625681,5146310,5198478
791,625681,5201124,5252820
791,625681,5255442,5307521
791,625681,5310348,5362637
791,625681,5365221,5417617
801,641601,5420497,5474737
801,641601,5477474,5531635
801,641601,5534343,5588407
801,641601,5591134,5645434
801,641601,5648143,5702253
811,657721,5705031,5761248
811,657721,5764016,5820254
811,657721,5823014,5879257
811,657721,5882013,5938300
811,657721,5941067,5997479
821,674041,6000493,6058933
821,674041,6061761,6120221
821,674041,6123265,6181524
821,674041,6184356,6242592
821,674041,6245576,6303567
831,690561,6306474,6366175
831,690561,6369159,6429283
831,690561,6432265,6492146
831,690561,6495142,6555220
831,690561,6558236,6618459
841,707281,6621526,6683888
841,707281,6686925,6749373
841,707281,6752429,6815008
841,707281,6818063,6880799
841,707281,6883831,6945837
851,724201,6949086,7014339
851,724201,7017495,7082475
851,724201,7085624,7150678
851,724201,7153930,7219121
851,724201,7222280,7287430
861,741321,7290658,7358057
861,741321,7361278,7428702
861,741321,7431911,7499272
861,741321,7502477,7569889
861,741321,7573093,7640454
871,758641,7643731,7713434
871,758641,7716758,7786559
871,758641,7789868,7859743
871,758641,7863031,7932895
871,758641,7936217,8005947
881,776161,8009331,8081461
881,776161,8085000,8156767
881,776161,8160106,8232239
881,776161,8235728,8308033
881,776161,8311361,8383540
891,793881,8387125,8461796
891,793881,8465244,8540088
891,793881,8543666,8618631
891,793881,8622018,8696979
891,793881,8700511,8775451
901,811801,8779114,8855201
901,811801,8858857,8935970
901,811801,8939608,9016913
901,811801,9020554,9097905
901,811801,9101613,9179002
911,829921,9182689,9262641
911,829921,9266342,9346298
911,829921,9350039,9430060
911,829921,9433757,9513707
911,829921,9517406,9597402
921,848241,9601199,9684065
921,848241,9687809,9770469
921,848241,9774212,9856971
921,848241,9860718,9942794
921,848241,9946613,10029393
931,866761,10033258,10118019
931,866761,10121817,10207109
931,866761,10210911,10296238
931,866761,10300046,10385090
931,866761,10388939,10474626
941,885481,10478660,10567151
941,885481,10571044,10659511
941,885481,10663597,10751759
941,885481,10755648,10844255
941,885481,10848288,10936120
951,904401,10940085,11030490
951,904401,11034551,11124918
951,904401,11128934,11219735
951,904401,11223793,11314610
951,904401,11318639,11409782
961,923521,11413938,11507575
961,923521,11511715,11605790
961,923521,11609931,11703219
961,923521,11707305,11801217
961,923521,11805330,11899162
971,942841,11903386,12000185
971,942841,12004396,12101095
971,942841,12105245,12201772
971,942841,12206053,12302772
971,942841,12306944,12403641
981,962361,12407943,12508652
981,962361,12512968,12612834
981,962361,12617114,12717339
981,962361,12721694,12821369
981,962361,12825640,12925823
991,982081,12930176,13033507
991,982081,13037986,13140845
991,982081,13145130,13248077
991,982081,13252534,13355772
991,982081,13360072,13463225
1001,1002001,13467807,13574586
1001,1002001,13579132,13684819
1001,1002001,13689262,13795907
1001,1002001,13800416,13907232
1001,1002001,13911733,14018435
