Vertices,Edges,StartTime,EndTime
1,1,125807,125807
1,1,125807,125807
1,1,125807,125807
1,1,125807,125807
1,1,125808,125808
11,121,125808,125808
11,121,125808,125808
11,121,125809,125809
11,121,125809,125809
11,121,125810,125810
21,441,125811,125811
21,441,125812,125813
21,441,125814,125814
21,441,125815,125816
21,441,125817,125817
31,961,125819,125821
31,961,125823,125824
31,961,125826,125828
31,961,125830,125831
31,961,125833,125835
41,1681,125838,125842
41,1681,125845,125849
41,1681,125852,125856
41,1681,125859,125863
41,1681,125867,125870
51,2601,125875,125882
51,2601,125887,125894
51,2601,125904,125911
51,2601,125916,125923
51,2601,125928,125935
61,3721,125942,125954
61,3721,125961,125973
61,3721,125980,125992
61,3721,125999,126011
61,3721,126021,126033
71,5041,126043,126061
71,5041,126071,126089
71,5041,126099,126117
71,5041,126127,126146
71,5041,126159,126177
81,6561,126190,126218
81,6561,126230,126258
81,6561,126274,126302
81,6561,126314,126341
81,6561,126353,126382
91,8281,126400,126440
91,8281,126457,126497
91,8281,126514,126554
91,8281,126574,126614
91,8281,126630,126671
101,10201,126695,126752
101,10201,126776,126832
101,10201,126851,126907
101,10201,126930,126985
101,10201,127007,127067
111,12321,127097,127170
111,12321,127198,127271
111,12321,127296,127370
111,12321,127398,127472
111,12321,127499,127572
121,14641,127635,127733
121,14641,127761,127860
121,14641,127893,127990
121,14641,128018,128113
121,14641,128146,128242
131,17161,128274,128395
131,17161,128431,128552
131,17161,128589,128710
131,17161,128745,128868
131,17161,128904,129026
141,19881,129067,129218
141,19881,129257,129409
141,19881,129449,129605
141,19881,129669,129820
141,19881,129856,130007
151,22801,130054,130238
151,22801,130285,130470
151,22801,130516,130701
151,22801,130748,130936
151,22801,130983,131167
161,25921,131220,131443
161,25921,131496,131721
161,25921,131796,132024
161,25921,132077,132302
161,25921,132355,132579
171,29241,132636,132903
171,29241,132962,133229
171,29241,133289,133559
171,29241,133644,133915
171,29241,133974,134252
181,32761,134317,134636
181,32761,134703,135021
181,32761,135086,135404
181,32761,135471,135792
181,32761,135879,136195
191,36481,136266,136639
191,36481,136715,137086
191,36481,137160,137536
191,36481,137612,137984
191,36481,138079,138450
201,40401,138533,138977
201,40401,139059,139493
201,40401,139578,140016
201,40401,140122,140555
201,40401,140635,141070
211,44521,141164,141669
211,44521,141786,142292
211,44521,142385,142893
211,44521,142988,143498
211,44521,143616,144129
221,48841,144233,144812
221,48841,144937,145522
221,48841,145623,146227
221,48841,146331,146908
221,48841,147032,147612
231,53361,147723,148386
231,53361,148529,149209
231,53361,149316,149984
231,53361,150103,150776
231,53361,150920,151589
241,58081,151713,152469
241,58081,152597,153359
241,58081,153509,154271
241,58081,154392,155138
241,58081,155260,156006
251,63001,156160,157009
251,63001,157142,157995
251,63001,158150,158995
251,63001,159125,159979
251,63001,160133,160976
261,68121,161118,162072
261,68121,162238,163200
261,68121,163344,164301
261,68121,164466,165421
261,68121,165560,166506
271,73441,166679,167748
271,73441,167904,168972
271,73441,169146,170199
271,73441,170381,171446
271,73441,171596,172653
281,78961,172843,174020
281,78961,174207,175391
281,78961,175581,176755
281,78961,176944,178133
281,78961,178326,179519
291,84681,179719,181077
291,84681,181279,182640
291,84681,182845,184213
291,84681,184417,185774
291,84681,185976,187356
301,90601,187571,189041
301,90601,189255,190716
301,90601,190930,192391
301,90601,192609,194083
301,90601,194300,195763
311,96721,195991,197607
311,96721,197832,199448
311,96721,199675,201296
311,96721,201528,203137
311,96721,203369,204977
321,103041,205221,206992
321,103041,207234,209010
321,103041,209251,211019
321,103041,211261,213034
321,103041,213276,215076
331,109561,215333,217273
331,109561,217528,219477
331,109561,219731,221666
331,109561,221922,223859
331,109561,224117,226058
341,116281,226330,228448
341,116281,228715,230846
341,116281,231116,233224
341,116281,233491,235615
341,116281,235884,238011
351,123201,238295,240618
351,123201,240899,243216
351,123201,243500,245817
351,123201,246101,248434
351,123201,248719,251050
361,130321,251347,253904
361,130321,254202,256762
361,130321,257060,259607
361,130321,259909,262464
361,130321,262765,265330
371,137641,265642,268362
371,137641,268678,271526
371,137641,271838,274582
371,137641,274893,277734
371,137641,278047,280809
381,145161,281149,284216
381,145161,284587,287560
381,145161,287921,290905
381,145161,291269,294229
381,145161,294593,297568
391,152881,297946,301185
391,152881,301582,304811
391,152881,305188,308417
391,152881,308795,312023
391,152881,312405,315627
401,160801,316022,319598
401,160801,319988,323591
401,160801,323959,327422
401,160801,327806,331403
401,160801,331780,335233
411,168921,335672,339401
411,168921,339843,343565
411,168921,344006,347726
411,168921,348170,351869
411,168921,352319,356022
421,177241,356481,360552
421,177241,361015,365063
421,177241,365523,369573
421,177241,370033,374089
421,177241,374547,378601
431,185761,379078,383354
431,185761,383831,388101
431,185761,388587,392843
431,185761,393324,397578
431,185761,398060,402318
441,194481,402820,407401
441,194481,407896,412474
441,194481,412970,417553
441,194481,418046,422638
441,194481,423156,427778
451,203401,428295,433304
451,203401,433824,438861
451,203401,439375,444327
451,203401,444840,449780
451,203401,450294,455248
461,212521,455782,461012
461,212521,461549,466782
461,212521,467317,472554
461,212521,473093,478375
461,212521,478914,484206
471,221841,484801,490403
471,221841,490999,496591
471,221841,497187,502777
471,221841,503374,508966
471,221841,509562,515166
481,231361,515783,521768
481,231361,522386,528375
481,231361,528995,535010
481,231361,535631,541639
481,231361,542258,548265
491,241081,548902,555232
491,241081,555872,562230
491,241081,562869,569228
491,241081,569869,576236
491,241081,576873,583240
501,251001,583913,590793
501,251001,591468,598218
501,251001,598900,605646
501,251001,606319,613089
501,251001,613769,620537
511,261121,621232,628388
511,261121,629088,636252
511,261121,636948,644148
511,261121,644854,652052
511,261121,652800,660038
521,271441,660809,668397
521,271441,669155,676735
521,271441,677497,685069
521,271441,685825,693387
521,271441,694143,701722
531,281961,702506,710526
531,281961,711311,719339
531,281961,720134,728157
531,281961,728941,736927
531,281961,737709,745701
541,292681,746564,755014
541,292681,755790,764232
541,292681,765096,773554
541,292681,774331,782852
541,292681,783715,792162
551,303601,793018,802073
551,303601,802922,811973
551,303601,812821,821872
551,303601,822736,831769
551,303601,832625,841645
561,314721,842525,852085
561,314721,853012,862554
561,314721,863463,873092
561,314721,873967,883459
561,314721,884329,893878
571,326041,894776,904853
571,326041,905755,915826
571,326041,916726,926783
571,326041,927686,937761
571,326041,938665,948754
581,337561,949673,961154
581,337561,962072,973561
581,337561,974485,985988
581,337561,986906,998410
581,337561,999353,1010830
591,349281,1011775,1022744
591,349281,1023684,1034635
591,349281,1035577,1046587
591,349281,1047526,1058704
591,349281,1059736,1071241
601,361201,1072334,1083921
601,361201,1084919,1096519
601,361201,1097623,1109490
601,361201,1110476,1122073
601,361201,1123155,1134752
611,373321,1135866,1148075
611,373321,1149141,1161317
611,373321,1162415,1174655
611,373321,1175720,1188330
611,373321,1189478,1201979
621,385641,1203126,1217213
621,385641,1218349,1232422
621,385641,1233560,1247637
621,385641,1248783,1262875
621,385641,1264015,1278405
631,398161,1279664,1293330
631,398161,1294494,1307978
631,398161,1309160,1322638
631,398161,1323808,1337327
631,398161,1338509,1352002
641,410881,1353201,1367488
641,410881,1368733,1383215
641,410881,1384357,1398599
641,410881,1399737,1413962
641,410881,1415102,1429573
651,423801,1430823,1446328
651,423801,1447550,1463631
651,423801,1464917,1480065
651,423801,1481245,1496237
651,423801,1497403,1512577
661,436921,1513847,1529570
661,436921,1530837,1546452
661,436921,1547708,1563359
661,436921,1564608,1580246
661,436921,1581613,1597289
671,450241,1598583,1615191
671,450241,1616497,1632932
671,450241,1634215,1650517
671,450241,1651822,1668379
671,450241,1669690,1686438
681,463761,1687830,1705204
681,463761,1706542,1723674
681,463761,1724981,1742025
681,463761,1743353,1760456
681,463761,1761765,1778816
691,477481,1780162,1798032
691,477481,1799415,1817488
691,477481,1818867,1836809
691,477481,1838146,1855963
691,477481,1857326,1875210
701,491401,1876590,1895611
701,491401,1896980,1915928
701,491401,1917333,1936227
701,491401,1937618,1957041
701,491401,1958496,1977874
711,505521,1979339,1999346
711,505521,2000811,2020332
711,505521,2021749,2041109
711,505521,2042520,2061901
711,505521,2063318,2082736
