Vertices,Edges,StartTime,EndTime
1,1,3104,3104
1,1,3104,3104
1,1,3104,3104
1,1,3104,3104
1,1,3104,3104
11,121,3106,3106
11,121,3107,3107
11,121,3109,3109
11,121,3111,3111
11,121,3113,3113
21,441,3116,3119
21,441,3121,3124
21,441,3125,3127
21,441,3129,3131
21,441,3133,3135
31,961,3139,3143
31,961,3147,3151
31,961,3154,3157
31,961,3160,3163
31,961,3166,3169
41,1681,3173,3180
41,1681,3185,3192
41,1681,3197,3204
41,1681,3210,3219
41,1681,3224,3231
51,2601,3238,3251
51,2601,3258,3272
51,2601,3278,3292
51,2601,3298,3312
51,2601,3319,3332
61,3721,3341,3364
61,3721,3373,3397
61,3721,3406,3429
61,3721,3455,3478
61,3721,3487,3510
71,5041,3523,3559
71,5041,3571,3607
71,5041,3620,3657
71,5041,3669,3706
71,5041,3718,3755
81,6561,3772,3826
81,6561,3843,3897
81,6561,3927,3981
81,6561,3998,4053
81,6561,4069,4124
91,8281,4146,4223
91,8281,4246,4325
91,8281,4359,4436
91,8281,4457,4533
91,8281,4554,4630
101,10201,4656,4759
101,10201,4785,4887
101,10201,4927,5031
101,10201,5057,5160
101,10201,5185,5287
111,12321,5331,5468
111,12321,5499,5634
111,12321,5665,5801
111,12321,5845,5980
111,12321,6012,6147
121,14641,6184,6359
121,14641,6407,6580
121,14641,6636,6812
121,14641,6858,7034
121,14641,7071,7246
131,17161,7298,7521
131,17161,7573,7795
131,17161,7844,8076
131,17161,8124,8346
131,17161,8396,8619
141,19881,8673,8959
141,19881,9067,9350
141,19881,9400,9675
141,19881,9725,10005
141,19881,10074,10351
151,22801,10407,10747
151,22801,10820,11160
151,22801,11216,11559
151,22801,11650,11992
151,22801,12049,12388
161,25921,12466,12892
161,25921,12968,13390
161,25921,13464,13920
161,25921,13994,14407
161,25921,14481,14891
171,29241,14973,15464
171,29241,15591,16085
171,29241,16159,16650
171,29241,16742,17233
171,29241,17307,17806
181,32761,17908,18493
181,32761,18591,19199
181,32761,19292,19877
181,32761,19969,20548
181,32761,20644,21242
191,36481,21345,22038
191,36481,22185,22876
191,36481,22967,23649
191,36481,23757,24448
191,36481,24555,25236
201,40401,25352,26142
201,40401,26264,27065
201,40401,27216,28060
201,40401,28222,29040
201,40401,29143,29960
211,44521,30092,31022
211,44521,31162,32095
211,44521,32221,33169
211,44521,33300,34245
211,44521,34416,35345
221,48841,35487,36555
221,48841,36694,37769
221,48841,37913,38997
221,48841,39138,40208
221,48841,40347,41403
231,53361,41598,42824
231,53361,42976,44182
231,53361,44332,45530
231,53361,45699,46908
231,53361,47059,48272
241,58081,48477,49848
241,58081,50013,51397
241,58081,51589,53009
241,58081,53179,54562
241,58081,54771,56141
251,63001,56318,57901
251,63001,58086,59637
251,63001,59823,61381
251,63001,61602,63171
251,63001,63350,64944
261,68121,65148,66908
261,68121,67162,68939
261,68121,69127,70937
261,68121,71144,72907
261,68121,73151,74889
271,73441,75090,77025
271,73441,77250,79197
271,73441,79448,81375
271,73441,81579,83593
271,73441,83827,85793
281,78961,86067,88284
281,78961,88519,90709
281,78961,90990,93198
281,78961,93429,95617
281,78961,95898,98104
291,84681,98357,100783
291,84681,101078,103524
291,84681,103771,106182
291,84681,106493,108963
291,84681,109209,111639
301,90601,111954,114757
301,90601,115019,117729
301,90601,118043,120841
301,90601,121107,123799
301,90601,124106,126878
311,96721,127157,130083
311,96721,130413,133420
311,96721,133702,136628
311,96721,136963,139977
311,96721,140251,143175
321,103041,143536,146738
321,103041,147040,150245
321,103041,150577,153805
321,103041,154104,157310
321,103041,157644,160845
331,109561,161171,164687
331,109561,165041,168562
331,109561,168942,172458
331,109561,172827,176338
331,109561,176713,180267
341,116281,180655,184537
341,116281,184932,188802
341,116281,189197,193057
341,116281,193458,197345
341,116281,197736,201592
