Vertices,Edges,StartTime,EndTime
1,-1,358142975,358142975
1,-1,358142976,358142976
1,-1,358142976,358142976
1,-1,358142976,358142976
1,-1,358142976,358142977
11,-1,358142977,358142977
11,-1,358142977,358142977
11,-1,358142977,358142977
11,-1,358142978,358142978
11,-1,358142978,358142978
21,-1,358142978,358142978
21,-1,358142979,358142979
21,-1,358142979,358142979
21,-1,358142979,358142979
21,-1,358142979,358142980
31,-1,358142980,358142980
31,-1,358142980,358142980
31,-1,358142981,358142981
31,-1,358142981,358142981
31,-1,358142981,358142981
41,-1,358142982,358142982
41,-1,358142982,358142982
41,-1,358142983,358142983
41,-1,358142983,358142983
41,-1,358142984,358142984
51,-1,358142984,358142984
51,-1,358142985,358142985
51,-1,358142986,358142986
51,-1,358142986,358142986
51,-1,358142987,358142987
61,-1,358142988,358142988
61,-1,358142988,358142989
61,-1,358142989,358142990
61,-1,358142990,358142991
61,-1,358142991,358142991
71,-1,358142992,358142993
71,-1,358142993,358142994
71,-1,358142994,358142995
71,-1,358142995,358142996
71,-1,358142997,358142997
81,-1,358142998,358142999
81,-1,358142999,358143000
81,-1,358143001,358143002
81,-1,358143002,358143003
81,-1,358143004,358143005
91,-1,358143006,358143007
91,-1,358143007,358143009
91,-1,358143009,358143011
91,-1,358143011,358143012
91,-1,358143013,358143014
101,-1,358143015,358143017
101,-1,358143018,358143019
101,-1,358143020,358143022
101,-1,358143023,358143024
101,-1,358143025,358143026
111,-1,358143027,358143029
111,-1,358143030,358143032
111,-1,358143033,358143035
111,-1,358143036,358143038
111,-1,358143039,358143041
121,-1,358143042,358143045
121,-1,358143046,358143049
121,-1,358143050,358143053
121,-1,358143054,358143057
121,-1,358143058,358143061
131,-1,358143062,358143066
131,-1,358143067,358143071
131,-1,358143072,358143076
131,-1,358143077,358143080
131,-1,358143082,358143085
141,-1,358143087,358143091
141,-1,358143092,358143096
141,-1,358143098,358143102
141,-1,358143103,358143107
141,-1,358143109,358143113
151,-1,358143114,358143119
151,-1,358143121,358143126
151,-1,358143128,358143132
151,-1,358143134,358143139
151,-1,358143141,358143145
161,-1,358143147,358143153
161,-1,358143155,358143161
161,-1,358143163,358143168
161,-1,358143170,358143176
161,-1,358143178,358143184
171,-1,358143186,358143193
171,-1,358143195,358143202
171,-1,358143204,358143211
171,-1,358143213,358143220
171,-1,358143222,358143229
181,-1,358143231,358143239
181,-1,358143242,358143250
181,-1,358143252,358143260
181,-1,358143263,358143271
181,-1,358143273,358143281
191,-1,358143284,358143294
191,-1,358143296,358143306
191,-1,358143309,358143319
191,-1,358143321,358143331
191,-1,358143334,358143343
201,-1,358143346,358143357
201,-1,358143360,358143371
201,-1,358143374,358143385
201,-1,358143388,358143399
201,-1,358143402,358143413
211,-1,358143417,358143429
211,-1,358143433,358143445
211,-1,358143449,358143461
211,-1,358143464,358143477
211,-1,358143480,358143493
221,-1,358143497,358143511
221,-1,358143515,358143530
221,-1,358143533,358143548
221,-1,358143552,358143566
221,-1,358143570,358143584
231,-1,358143589,358143606
231,-1,358143610,358143627
231,-1,358143631,358143649
231,-1,358143653,358143670
231,-1,358143675,358143692
241,-1,358143696,358143715
241,-1,358143720,358143739
241,-1,358143743,358143763
241,-1,358143767,358143787
241,-1,358143791,358143810
251,-1,358143815,358143838
251,-1,358143843,358143865
251,-1,358143870,358143892
251,-1,358143897,358143918
251,-1,358143923,358143944
261,-1,358143949,358143973
261,-1,358143978,358144002
261,-1,358144007,358144031
261,-1,358144036,358144061
261,-1,358144066,358144091
271,-1,358144097,358144125
271,-1,358144131,358144159
271,-1,358144164,358144191
271,-1,358144196,358144223
271,-1,358144228,358144255
281,-1,358144261,358144291
281,-1,358144297,358144327
281,-1,358144333,358144363
281,-1,358144368,358144398
281,-1,358144403,358144433
291,-1,358144440,358144472
291,-1,358144479,358144512
291,-1,358144518,358144551
291,-1,358144557,358144590
291,-1,358144596,358144629
301,-1,358144636,358144674
301,-1,358144680,358144717
301,-1,358144723,358144760
301,-1,358144766,358144803
301,-1,358144810,358144846
311,-1,358144854,358144894
311,-1,358144901,358144941
311,-1,358144948,358144988
311,-1,358144995,358145037
311,-1,358145044,358145084
321,-1,358145092,358145137
321,-1,358145144,358145188
321,-1,358145196,358145240
321,-1,358145247,358145291
321,-1,358145298,358145342
331,-1,358145350,358145398
331,-1,358145407,358145455
331,-1,358145463,358145512
331,-1,358145521,358145569
331,-1,358145577,358145626
341,-1,358145635,358145688
341,-1,358145696,358145749
341,-1,358145757,358145811
341,-1,358145819,358145872
341,-1,358145881,358145933
351,-1,358145942,358146000
351,-1,358146009,358146067
351,-1,358146076,358146135
351,-1,358146144,358146202
351,-1,358146211,358146269
361,-1,358146280,358146343
361,-1,358146352,358146415
361,-1,358146425,358146487
361,-1,358146497,358146560
361,-1,358146569,358146632
371,-1,358146643,358146711
371,-1,358146722,358146790
371,-1,358146800,358146868
371,-1,358146878,358146947
371,-1,358146957,358147025
381,-1,358147035,358147109
381,-1,358147120,358147193
381,-1,358147205,358147279
381,-1,358147289,358147363
381,-1,358147373,358147447
391,-1,358147458,358147537
391,-1,358147549,358147629
391,-1,358147639,358147719
391,-1,358147730,358147810
391,-1,358147821,358147901
401,-1,358147913,358147998
401,-1,358148010,358148097
401,-1,358148110,358148196
401,-1,358148207,358148292
401,-1,358148304,358148389
411,-1,358148401,358148493
411,-1,358148506,358148598
411,-1,358148612,358148704
411,-1,358148717,358148809
411,-1,358148821,358148913
421,-1,358148928,358149027
421,-1,358149039,358149139
421,-1,358149152,358149251
421,-1,358149264,358149364
421,-1,358149376,358149476
431,-1,358149489,358149596
431,-1,358149609,358149716
431,-1,358149730,358149836
431,-1,358149850,358149957
431,-1,358149971,358150079
441,-1,358150093,358150207
441,-1,358150221,358150334
441,-1,358150349,358150463
441,-1,358150478,358150592
441,-1,358150607,358150723
451,-1,358150739,358150861
451,-1,358150876,358150998
451,-1,358151013,358151134
451,-1,358151149,358151273
451,-1,358151289,358151410
461,-1,358151426,358151557
461,-1,358151572,358151703
461,-1,358151719,358151850
461,-1,358151867,358151997
461,-1,358152012,358152144
471,-1,358152160,358152299
471,-1,358152315,358152454
471,-1,358152470,358152609
471,-1,358152625,358152764
471,-1,358152781,358152920
481,-1,358152939,358153087
481,-1,358153103,358153251
481,-1,358153268,358153416
481,-1,358153432,358153581
481,-1,358153597,358153746
491,-1,358153764,358153924
491,-1,358153941,358154099
491,-1,358154117,358154274
491,-1,358154292,358154449
491,-1,358154467,358154625
501,-1,358154644,358154812
501,-1,358154830,358154997
501,-1,358155017,358155184
501,-1,358155203,358155370
501,-1,358155390,358155557
511,-1,358155575,358155753
511,-1,358155772,358155950
511,-1,358155969,358156146
511,-1,358156165,358156342
511,-1,358156361,358156538
521,-1,358156558,358156746
521,-1,358156766,358156954
521,-1,358156974,358157162
521,-1,358157183,358157370
521,-1,358157389,358157576
531,-1,358157596,358157795
531,-1,358157816,358158014
531,-1,358158034,358158233
531,-1,358158253,358158451
531,-1,358158472,358158671
541,-1,358158694,358158905
541,-1,358158926,358159135
541,-1,358159156,358159365
541,-1,358159387,358159597
541,-1,358159618,358159829
551,-1,358159852,358160074
551,-1,358160097,358160318
551,-1,358160340,358160561
551,-1,358160583,358160805
551,-1,358160828,358161049
561,-1,358161075,358161309
561,-1,358161332,358161565
561,-1,358161588,358161823
561,-1,358161846,358162081
561,-1,358162104,358162339
571,-1,358162363,358162610
571,-1,358162635,358162882
571,-1,358162906,358163153
