Vertices,Edges,StartTime,EndTime
1,-1,361377317,361377317
1,-1,361377317,361377317
1,-1,361377317,361377317
1,-1,361377318,361377318
1,-1,361377318,361377318
11,-1,361377318,361377318
11,-1,361377318,361377318
11,-1,361377319,361377319
11,-1,361377319,361377319
11,-1,361377319,361377319
21,-1,361377320,361377320
21,-1,361377320,361377320
21,-1,361377320,361377320
21,-1,361377320,361377320
21,-1,361377321,361377321
31,-1,361377321,361377321
31,-1,361377321,361377321
31,-1,361377322,361377322
31,-1,361377322,361377322
31,-1,361377322,361377322
41,-1,361377323,361377323
41,-1,361377323,361377323
41,-1,361377324,361377324
41,-1,361377324,361377324
41,-1,361377324,361377324
51,-1,361377325,361377325
51,-1,361377325,361377325
51,-1,361377326,361377326
51,-1,361377326,361377326
51,-1,361377327,361377327
61,-1,361377327,361377327
61,-1,361377328,361377328
61,-1,361377328,361377328
61,-1,361377329,361377329
61,-1,361377329,361377329
71,-1,361377330,361377330
71,-1,361377331,361377331
71,-1,361377331,361377331
71,-1,361377332,361377332
71,-1,361377333,361377333
81,-1,361377333,361377334
81,-1,361377334,361377334
81,-1,361377335,361377335
81,-1,361377336,361377336
81,-1,361377337,361377337
91,-1,361377338,361377338
91,-1,361377338,361377338
91,-1,361377339,361377339
91,-1,361377340,361377340
91,-1,361377341,361377341
101,-1,361377342,361377342
101,-1,361377343,361377343
101,-1,361377344,361377344
101,-1,361377345,361377345
101,-1,361377346,361377346
111,-1,361377347,361377348
111,-1,361377349,361377349
111,-1,361377350,361377350
111,-1,361377351,361377351
111,-1,361377352,361377352
121,-1,361377353,361377353
121,-1,361377355,361377355
121,-1,361377356,361377356
121,-1,361377357,361377357
121,-1,361377359,361377359
131,-1,361377360,361377360
131,-1,361377362,361377362
131,-1,361377363,361377363
131,-1,361377364,361377365
131,-1,361377366,361377366
141,-1,361377368,361377368
141,-1,361377370,361377370
141,-1,361377371,361377371
141,-1,361377373,361377373
141,-1,361377375,361377375
151,-1,361377377,361377377
151,-1,361377378,361377379
151,-1,361377380,361377380
151,-1,361377382,361377382
