Vertices,Edges,StartTime,EndTime
1,-1,358465300,358465300
1,-1,358465300,358465300
1,-1,358465300,358465300
1,-1,358465301,358465301
1,-1,358465301,358465301
11,-1,358465301,358465301
11,-1,358465301,358465301
11,-1,358465302,358465302
11,-1,358465302,358465302
11,-1,358465302,358465302
21,-1,358465303,358465303
21,-1,358465303,358465303
21,-1,358465303,358465303
21,-1,358465303,358465303
21,-1,358465304,358465304
31,-1,358465304,358465304
31,-1,358465304,358465304
31,-1,358465305,358465305
31,-1,358465305,358465305
31,-1,358465305,358465305
41,-1,358465306,358465306
41,-1,358465306,358465306
41,-1,358465307,358465307
41,-1,358465307,358465307
41,-1,358465307,358465307
51,-1,358465308,358465308
51,-1,358465308,358465309
51,-1,358465309,358465309
51,-1,358465309,358465310
51,-1,358465310,358465310
61,-1,358465311,358465311
61,-1,358465311,358465311
61,-1,358465312,358465312
61,-1,358465313,358465313
61,-1,358465313,358465314
71,-1,358465314,358465314
71,-1,358465315,358465315
71,-1,358465316,358465316
71,-1,358465317,358465317
71,-1,358465317,358465318
81,-1,358465318,358465319
81,-1,358465319,358465320
81,-1,358465321,358465321
81,-1,358465322,358465322
81,-1,358465323,358465323
91,-1,358465324,358465324
91,-1,358465325,358465326
91,-1,358465326,358465327
91,-1,358465328,358465328
91,-1,358465329,358465330
101,-1,358465330,358465331
101,-1,358465332,358465333
101,-1,358465334,358465334
101,-1,358465335,358465336
101,-1,358465337,358465337
111,-1,358465338,358465339
111,-1,358465340,358465341
111,-1,358465342,358465343
111,-1,358465344,358465345
111,-1,358465346,358465347
121,-1,358465348,358465349
121,-1,358465350,358465351
121,-1,358465352,358465353
121,-1,358465355,358465356
121,-1,358465357,358465358
131,-1,358465359,358465361
131,-1,358465362,358465363
131,-1,358465365,358465366
131,-1,358465368,358465369
131,-1,358465370,358465372
141,-1,358465373,358465375
141,-1,358465377,358465378
141,-1,358465380,358465381
141,-1,358465383,358465385
141,-1,358465386,358465388
151,-1,358465390,358465392
151,-1,358465393,358465395
151,-1,358465397,358465399
151,-1,358465401,358465403
151,-1,358465404,358465406
161,-1,358465408,358465411
161,-1,358465413,358465415
161,-1,358465417,358465419
161,-1,358465421,358465423
161,-1,358465425,358465428
171,-1,358465430,358465433
171,-1,358465435,358465438
171,-1,358465440,358465443
171,-1,358465445,358465448
171,-1,358465450,358465453
181,-1,358465455,358465458
181,-1,358465461,358465464
181,-1,358465466,358465470
181,-1,358465472,358465475
181,-1,358465478,358465481
191,-1,358465484,358465488
191,-1,358465490,358465494
191,-1,358465497,358465501
191,-1,358465504,358465508
191,-1,358465511,358465515
201,-1,358465518,358465522
201,-1,358465525,358465530
201,-1,358465533,358465537
201,-1,358465540,358465544
201,-1,358465548,358465552
211,-1,358465555,358465560
211,-1,358465564,358465569
211,-1,358465572,358465577
211,-1,358465580,358465585
211,-1,358465588,358465593
221,-1,358465597,358465603
221,-1,358465606,358465612
221,-1,358465616,358465621
221,-1,358465625,358465631
221,-1,358465634,358465640
231,-1,358465644,358465650
231,-1,358465654,358465661
231,-1,358465665,358465671
231,-1,358465675,358465681
231,-1,358465685,358465692
241,-1,358465696,358465703
241,-1,358465708,358465715
241,-1,358465719,358465727
241,-1,358465731,358465738
241,-1,358465742,358465750
251,-1,358465754,358465763
251,-1,358465767,358465776
251,-1,358465780,358465788
251,-1,358465793,358465801
251,-1,358465806,358465814
261,-1,358465819,358465828
261,-1,358465833,358465842
261,-1,358465847,358465856
261,-1,358465861,358465870
261,-1,358465875,358465884
271,-1,358465890,358465900
271,-1,358465905,358465916
271,-1,358465921,358465931
271,-1,358465936,358465947
271,-1,358465952,358465962
281,-1,358465968,358465979
281,-1,358465985,358465996
281,-1,358466002,358466013
281,-1,358466019,358466032
281,-1,358466038,358466050
291,-1,358466056,358466069
291,-1,358466075,358466088
291,-1,358466094,358466107
291,-1,358466113,358466126
291,-1,358466131,358466144
301,-1,358466151,358466165
301,-1,358466172,358466186
301,-1,358466193,358466207
301,-1,358466213,358466227
301,-1,358466234,358466247
311,-1,358466254,358466270
311,-1,358466277,358466293
311,-1,358466300,358466315
311,-1,358466322,358466338
311,-1,358466344,358466360
321,-1,358466368,358466384
321,-1,358466392,358466409
321,-1,358466416,358466433
321,-1,358466440,358466457
321,-1,358466464,358466481
331,-1,358466489,358466508
331,-1,358466516,358466534
331,-1,358466542,358466560
331,-1,358466568,358466587
331,-1,358466595,358466613
341,-1,358466622,358466643
341,-1,358466651,358466671
341,-1,358466680,358466700
341,-1,358466708,358466729
341,-1,358466738,358466758
351,-1,358466767,358466789
351,-1,358466798,358466820
351,-1,358466830,358466852
351,-1,358466861,358466883
351,-1,358466892,358466914
361,-1,358466924,358466948
361,-1,358466957,358466981
361,-1,358466990,358467014
361,-1,358467023,358467048
361,-1,358467057,358467082
371,-1,358467092,358467119
371,-1,358467130,358467156
371,-1,358467166,358467192
371,-1,358467202,358467228
371,-1,358467237,358467263
381,-1,358467274,358467303
381,-1,358467313,358467341
381,-1,358467352,358467380
381,-1,358467390,358467418
381,-1,358467428,358467456
391,-1,358467467,358467497
391,-1,358467508,358467539
391,-1,358467550,358467580
391,-1,358467590,358467620
391,-1,358467631,358467661
401,-1,358467674,358467706
401,-1,358467718,358467751
401,-1,358467762,358467794
401,-1,358467806,358467838
401,-1,358467850,358467883
411,-1,358467895,358467930
411,-1,358467943,358467977
411,-1,358467989,358468025
411,-1,358468037,358468071
411,-1,358468084,358468119
421,-1,358468133,358468171
421,-1,358468184,358468221
421,-1,358468234,358468271
421,-1,358468285,358468322
421,-1,358468335,358468372
431,-1,358468386,358468426
431,-1,358468439,358468479
431,-1,358468493,358468533
431,-1,358468546,358468586
431,-1,358468600,358468640
441,-1,358468655,358468698
441,-1,358468712,358468756
441,-1,358468771,358468813
441,-1,358468828,358468871
441,-1,358468885,358468928
451,-1,358468944,358468991
451,-1,358469007,358469054
451,-1,358469069,358469115
451,-1,358469130,358469175
451,-1,358469190,358469236
461,-1,358469253,358469302
