Vertices,Edges,StartTime,EndTime
1,-1,358586468,358586468
1,-1,358586468,358586468
1,-1,358586469,358586469
1,-1,358586469,358586469
1,-1,358586469,358586469
11,-1,358586469,358586469
11,-1,358586470,358586470
11,-1,358586470,358586470
11,-1,358586470,358586470
11,-1,358586470,358586470
21,-1,358586471,358586471
21,-1,358586471,358586471
21,-1,358586471,358586472
21,-1,358586472,358586472
21,-1,358586472,358586472
31,-1,358586473,358586473
31,-1,358586473,358586474
31,-1,358586474,358586474
31,-1,358586474,358586475
31,-1,358586475,358586475
41,-1,358586476,358586476
41,-1,358586477,358586477
41,-1,358586477,358586478
41,-1,358586478,358586479
41,-1,358586479,358586480
51,-1,358586480,358586481
51,-1,358586481,358586482
51,-1,358586483,358586483
51,-1,358586484,358586485
51,-1,358586485,358586486
61,-1,358586486,358586488
61,-1,358586488,358586489
61,-1,358586490,358586491
61,-1,358586492,358586493
61,-1,358586494,358586495
71,-1,358586496,358586498
71,-1,358586498,358586500
71,-1,358586501,358586503
71,-1,358586503,358586505
71,-1,358586506,358586508
81,-1,358586509,358586511
81,-1,358586512,358586515
81,-1,358586516,358586518
81,-1,358586519,358586522
81,-1,358586523,358586525
91,-1,358586526,358586530
91,-1,358586531,358586534
91,-1,358586535,358586539
91,-1,358586540,358586544
91,-1,358586545,358586548
101,-1,358586549,358586554
101,-1,358586555,358586560
101,-1,358586561,358586566
101,-1,358586567,358586572
101,-1,358586573,358586578
111,-1,358586579,358586585
111,-1,358586586,358586592
111,-1,358586594,358586600
111,-1,358586601,358586607
111,-1,358586609,358586615
121,-1,358586616,358586624
121,-1,358586625,358586633
121,-1,358586634,358586642
121,-1,358586643,358586651
121,-1,358586652,358586660
131,-1,358586661,358586670
131,-1,358586672,358586681
131,-1,358586683,358586692
131,-1,358586693,358586703
131,-1,358586704,358586714
141,-1,358586715,358586726
141,-1,358586728,358586739
141,-1,358586740,358586752
141,-1,358586753,358586764
141,-1,358586766,358586777
151,-1,358586779,358586792
151,-1,358586794,358586807
151,-1,358586808,358586822
151,-1,358586823,358586836
